Time frequency,Agricultural area,Arable land area,Unit of measure,Eurofarm indicators,Geopolitical entity (reporting)\Time,2005.0,2007.0,2010.0,2013.0
Annual,Total,Total,Thousand,"hold: Seeds, seedlings and other crops on arable land",Austria,19.19,17.49,17.8,15.32
Annual,Total,Total,Thousand,"hold: Seeds, seedlings and other crops on arable land",Belgium,0.42,0.36,0.27,0.35
Annual,Total,Total,Thousand,"hold: Seeds, seedlings and other crops on arable land",Bulgaria,0.1,2.2,1.63,1.01
Annual,Total,Total,Thousand,"hold: Seeds, seedlings and other crops on arable land",Switzerland,0.16,0.2,0.35,:
Annual,Total,Total,Thousand,"hold: Seeds, seedlings and other crops on arable land",Cyprus,0.59,0.56,0.45,0.42
Annual,Total,Total,Thousand,"hold: Seeds, seedlings and other crops on arable land",Czechia,0.95,0.54,0.29,0.53
Annual,Total,Total,Thousand,"hold: Seeds, seedlings and other crops on arable land",Germany,2.14,1.79,4.08,4.51
Annual,Total,Total,Thousand,"hold: Seeds, seedlings and other crops on arable land",Denmark,7.08,6.18,7.29,3.76
Annual,Total,Total,Thousand,"hold: Seeds, seedlings and other crops on arable land",Estonia,0.16,0.16,0.08,0.06
Annual,Total,Total,Thousand,"hold: Seeds, seedlings and other crops on arable land",Greece,6.26,4.28,3.57,2.37
Annual,Total,Total,Thousand,"hold: Seeds, seedlings and other crops on arable land",Spain,0.29,0.34,0.64,1.15
Annual,Total,Total,Thousand,"hold: Seeds, seedlings and other crops on arable land",Finland,0.35,0.34,0.83,0.76
Annual,Total,Total,Thousand,"hold: Seeds, seedlings and other crops on arable land",France,7.22,6.56,4.74,3.18
Annual,Total,Total,Thousand,"hold: Seeds, seedlings and other crops on arable land",Croatia,:,0.09,0.2,0.12
Annual,Total,Total,Thousand,"hold: Seeds, seedlings and other crops on arable land",Hungary,1.07,0.66,1.21,2.52
Annual,Total,Total,Thousand,"hold: Seeds, seedlings and other crops on arable land",Ireland,1.54,0.86,0.01,0.0
Annual,Total,Total,Thousand,"hold: Seeds, seedlings and other crops on arable land",Iceland,:,:,0.01,:
Annual,Total,Total,Thousand,"hold: Seeds, seedlings and other crops on arable land",Italy,5.32,6.43,9.82,6.35
Annual,Total,Total,Thousand,"hold: Seeds, seedlings and other crops on arable land",Lithuania,0.94,0.54,0.26,0.61
Annual,Total,Total,Thousand,"hold: Seeds, seedlings and other crops on arable land",Luxembourg,0.14,0.12,0.18,0.17
Annual,Total,Total,Thousand,"hold: Seeds, seedlings and other crops on arable land",Latvia,2.13,2.36,1.39,1.54
Annual,Total,Total,Thousand,"hold: Seeds, seedlings and other crops on arable land",Montenegro,:,:,0.15,:
Annual,Total,Total,Thousand,"hold: Seeds, seedlings and other crops on arable land",Malta,0.0,0.08,0.22,0.05
Annual,Total,Total,Thousand,"hold: Seeds, seedlings and other crops on arable land",Netherlands,6.06,3.38,2.46,1.89
Annual,Total,Total,Thousand,"hold: Seeds, seedlings and other crops on arable land",Norway,1.21,1.18,0.91,0.88
Annual,Total,Total,Thousand,"hold: Seeds, seedlings and other crops on arable land",Poland,29.63,31.15,24.23,19.79
Annual,Total,Total,Thousand,"hold: Seeds, seedlings and other crops on arable land",Portugal,7.93,7.37,7.06,7.95
Annual,Total,Total,Thousand,"hold: Seeds, seedlings and other crops on arable land",Romania,18.25,31.36,20.94,17.6
Annual,Total,Total,Thousand,"hold: Seeds, seedlings and other crops on arable land",Sweden,3.91,4.22,1.02,1.34
Annual,Total,Total,Thousand,"hold: Seeds, seedlings and other crops on arable land",Slovenia,0.75,0.8,0.96,2.13
Annual,Total,Total,Thousand,"hold: Seeds, seedlings and other crops on arable land",Slovakia,0.08,0.07,0.1,0.3
Annual,Total,Total,Thousand,"hold: Seeds, seedlings and other crops on arable land",United Kingdom,5.07,6.97,4.82,3.69
Annual,Total,Total,Thousand,hold: Cereals,Austria,80.85,75.49,66.53,62.01
Annual,Total,Total,Thousand,hold: Cereals,Belgium,26.63,24.94,22.78,21.98
Annual,Total,Total,Thousand,hold: Cereals,Bulgaria,252.98,179.98,106.43,77.58
Annual,Total,Total,Thousand,hold: Cereals,Switzerland,27.05,25.45,23.64,:
Annual,Total,Total,Thousand,hold: Cereals,Cyprus,6.3,5.05,3.79,3.63
Annual,Total,Total,Thousand,hold: Cereals,Czechia,22.22,19.84,12.88,14.94
Annual,Total,Total,Thousand,hold: Cereals,Germany,245.08,226.77,194.01,184.14
Annual,Total,Total,Thousand,hold: Cereals,Denmark,41.42,34.12,29.23,26.8
Annual,Total,Total,Thousand,hold: Cereals,Estonia,10.42,7.97,5.73,5.47
Annual,Total,Total,Thousand,hold: Cereals,Greece,261.43,258.87,199.8,191.49
Annual,Total,Total,Thousand,hold: Cereals,Spain,315.24,286.64,279.39,271.33
Annual,Total,Total,Thousand,hold: Cereals,Finland,56.04,51.03,44.58,40.13
Annual,Total,Total,Thousand,hold: Cereals,France,311.74,287.61,272.81,256.41
Annual,Total,Total,Thousand,hold: Cereals,Croatia,:,128.02,151.82,101.44
Annual,Total,Total,Thousand,hold: Cereals,Hungary,321.9,252.76,237.09,208.88
Annual,Total,Total,Thousand,hold: Cereals,Ireland,14.06,12.29,11.37,12.52
Annual,Total,Total,Thousand,hold: Cereals,Iceland,:,:,0.51,:
Annual,Total,Total,Thousand,hold: Cereals,Italy,632.93,621.99,473.26,418.88
Annual,Total,Total,Thousand,hold: Cereals,Lithuania,183.36,144.25,106.98,101.39
Annual,Total,Total,Thousand,hold: Cereals,Luxembourg,1.6,1.5,1.42,1.34
Annual,Total,Total,Thousand,hold: Cereals,Latvia,47.07,38.85,27.33,23.59
Annual,Total,Total,Thousand,hold: Cereals,Montenegro,:,:,3.94,:
Annual,Total,Total,Thousand,hold: Cereals,Malta,0.0,0.0,0.0,0.0
Annual,Total,Total,Thousand,hold: Cereals,Netherlands,18.13,17.0,14.99,14.01
Annual,Total,Total,Thousand,hold: Cereals,Norway,16.94,15.17,13.49,11.72
Annual,Total,Total,Thousand,hold: Cereals,Poland,1690.54,1666.38,1193.87,1115.19
Annual,Total,Total,Thousand,hold: Cereals,Portugal,123.31,102.34,108.45,85.9
Annual,Total,Total,Thousand,hold: Cereals,Romania,2921.59,2673.66,2168.71,2105.48
Annual,Total,Total,Thousand,hold: Cereals,Sweden,39.17,33.01,29.34,26.17
Annual,Total,Total,Thousand,hold: Cereals,Slovenia,45.21,41.22,36.34,35.83
Annual,Total,Total,Thousand,hold: Cereals,Slovakia,30.93,32.67,15.19,14.04
Annual,Total,Total,Thousand,hold: Cereals,United Kingdom,59.77,56.74,51.78,50.24
Annual,Total,Total,Thousand,hold: Pulses - total,Austria,15.19,12.76,7.61,5.76
Annual,Total,Total,Thousand,hold: Pulses - total,Belgium,0.52,0.33,0.4,0.33
Annual,Total,Total,Thousand,hold: Pulses - total,Bulgaria,50.55,36.6,21.63,16.65
Annual,Total,Total,Thousand,hold: Pulses - total,Switzerland,2.75,2.88,1.95,:
Annual,Total,Total,Thousand,hold: Pulses - total,Cyprus,1.23,0.62,0.7,0.65
Annual,Total,Total,Thousand,hold: Pulses - total,Czechia,1.75,1.38,1.2,0.9
Annual,Total,Total,Thousand,hold: Pulses - total,Germany,17.62,12.67,11.75,9.02
