Time frequency,Unit of measure,Engine power,Fishing gears,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Number,Total,Total,Belgium,83.0,80.0,79.0,76.0,72.0,70.0,68.0,67.0,63.0,65.0,65.0,60.0
Annual,Number,Total,Total,Bulgaria,2366.0,2043.0,2016.0,1970.0,1910.0,1880.0,1854.0,1841.0,1826.0,1814.0,1778.0,1776.0
Annual,Number,Total,Total,Cyprus,1073.0,892.0,949.0,831.0,841.0,804.0,806.0,809.0,806.0,808.0,814.0,818.0
Annual,Number,Total,Total,Germany,1550.0,1532.0,1491.0,1443.0,1414.0,1377.0,1331.0,1309.0,1292.0,1257.0,1181.0,1141.0
Annual,Number,Total,Total,Denmark,2739.0,2625.0,2447.0,2356.0,2261.0,2198.0,2123.0,2077.0,2029.0,1971.0,1882.0,1781.0
Annual,Number,Total,Total,Estonia,1360.0,1445.0,1515.0,1538.0,1557.0,1595.0,1665.0,1742.0,1828.0,1889.0,2002.0,2022.0
Annual,Number,Total,Total,Greece,15854.0,15683.0,15603.0,15351.0,15176.0,14982.0,14745.0,14689.0,14619.0,14551.0,12932.0,12109.0
Annual,Number,Total,Total,Spain,10121.0,9873.0,9632.0,9397.0,9244.0,9145.0,8973.0,8883.0,8838.0,8730.0,8650.0,8548.0
Annual,Number,Total,Total,Finland,3241.0,3211.0,3179.0,2723.0,3093.0,3224.0,3245.0,3207.0,3137.0,3174.0,3198.0,3238.0
Annual,Number,Total,Total,France,7138.0,7120.0,7066.0,6904.0,6833.0,6509.0,6373.0,6228.0,6197.0,6229.0,6076.0,5975.0
Annual,Number,Total,Total,Croatia,:,7739.0,7736.0,7727.0,7627.0,7559.0,7566.0,7604.0,7543.0,7507.0,7487.0,7320.0
Annual,Number,Total,Total,Ireland,2246.0,2193.0,2157.0,2141.0,2114.0,2022.0,2035.0,2040.0,2034.0,2032.0,2034.0,2035.0
Annual,Number,Total,Total,Iceland,1690.0,1696.0,1685.0,1663.0,1647.0,1621.0,1588.0,1581.0,1561.0,1549.0,1540.0,1535.0
Annual,Number,Total,Total,Italy,12696.0,12593.0,12435.0,12300.0,12260.0,12252.0,12102.0,12127.0,12152.0,12179.0,12231.0,12254.0
Annual,Number,Total,Total,Lithuania,146.0,144.0,142.0,145.0,142.0,144.0,143.0,139.0,140.0,132.0,125.0,117.0
Annual,Number,Total,Total,Latvia,715.0,703.0,700.0,686.0,686.0,675.0,671.0,667.0,668.0,653.0,643.0,651.0
Annual,Number,Total,Total,Malta,1037.0,1027.0,1020.0,1007.0,916.0,926.0,915.0,911.0,883.0,885.0,846.0,832.0
Annual,Number,Total,Total,Netherlands,848.0,845.0,830.0,829.0,844.0,849.0,832.0,836.0,834.0,832.0,821.0,769.0
Annual,Number,Total,Total,Norway,6211.0,6126.0,5939.0,5884.0,5947.0,6134.0,6018.0,5982.0,5839.0,5593.0,5503.0,5607 p
Annual,Number,Total,Total,Poland,798.0,838.0,873.0,875.0,843.0,834.0,827.0,826.0,822.0,820.0,824.0,824.0
Annual,Number,Total,Total,Portugal,8245.0,8200.0,8157.0,8035.0,7955.0,7907.0,7834.0,7755.0,7712.0,7678.0,7686.0,6857.0
Annual,Number,Total,Total,Romania,195.0,194.0,158.0,151.0,147.0,155.0,167.0,162.0,175.0,164.0,172.0,174.0
Annual,Number,Total,Total,Sweden,1389.0,1368.0,1359.0,1318.0,1277.0,1230.0,1199.0,1101.0,1072.0,1049.0,1011.0,971.0
Annual,Number,Total,Total,Slovenia,174.0,170.0,169.0,168.0,170.0,170.0,134.0,137.0,136.0,137.0,137.0,136.0
Annual,Number,Total,Total,United Kingdom,6360.0,6300.0,6276.0,6232.0,6197.0,6140.0,6031.0,5905.0,:,:,:,:
