Time frequency,National accounts indicator (ESA 2010),Unit of measure,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Gross fixed capital formation,Percentage change q/q-1 (SCA),Albania,-4.0,7.1,-5.4,4.3,-0.2,2.5 p,-3.7 p,1.8 p,0.0 p,5.8 p,-2.5 p,1.4 p
Quarterly,Gross fixed capital formation,Percentage change q/q-1 (SCA),Austria,-1.6,3.0,-1.4,0.1,0.0,-0.8,-1.3,-2.3,0.3,-1.5,-0.3,0.4
Quarterly,Gross fixed capital formation,Percentage change q/q-1 (SCA),Belgium,-1.5,2.3,-0.7,2.5,1.3,0.8 p,2.4 p,1.4 p,-7.0 p,3.4 p,3.9 p,-2.2 p
Quarterly,Gross fixed capital formation,Percentage change q/q-1 (SCA),Bulgaria,-1.2,5.7,-0.1,0.5,3.9,1.8,3.4,2.3,-0.2,-2.0 p,-0.9 p,1.2 p
Quarterly,Gross fixed capital formation,Percentage change q/q-1 (SCA),Switzerland,2.5,-2.4,0.4,0.6,-0.5,1.7,-1.9,-0.1,-0.8,0.6,-0.5,-0.6
Quarterly,Gross fixed capital formation,Percentage change q/q-1 (SCA),Cyprus,-26.6,49.1,27.9,-27.9,-16.0,93.5,-35.0,16.1,-28.1,20.3,9.8,-1.0
Quarterly,Gross fixed capital formation,Percentage change q/q-1 (SCA),Czechia,1.0,2.8,0.1,1.1,0.3,1.1,1.1,-0.1,0.1,-1.3,1.5,-1.2
Quarterly,Gross fixed capital formation,Percentage change q/q-1 (SCA),Germany,1.0 p,0.9 p,-0.7 p,0.4 p,-0.8 p,0.6 p,-0.2 p,-0.3 p,-1.4 p,0.2 p,-2.1 p,-0.1 p
Quarterly,Gross fixed capital formation,Percentage change q/q-1 (SCA),Denmark,1.5,-0.1,-0.7,-3.4,16.3,-14.9,1.0,3.1,-9.0,2.3,1.9,1.0
Quarterly,Gross fixed capital formation,Percentage change q/q-1 (SCA),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",3.3,-1.1,0.4,0.9,0.1,1.0,-0.3,0.1,1.4,-2.3,-2.4,2.0
