Time frequency,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Males,Percentage,Montenegro,:,: d,:,:,:,:,:,:
Annual,Males,Percentage,North Macedonia,: d,: d,: d,8.49 d,10.55,: d,: d,: d
Annual,Males,Percentage,Malta,0.06,0.17,0.48,0.38,0.35,1.05,0.5,1.23 p
Annual,Males,Percentage,Netherlands,0.38,0.43,0.56,0.54,0.49 e,0.53 e,0.53 e,0.59
Annual,Males,Percentage,Norway,0.29,0.26,0.05,0.18,0.32,0.37,0.32,0.46
Annual,Males,Percentage,Poland,4.35 d,4.73 d,4.98 d,4.83 e,4.69 e,4.45 e,4.01,2.81 de
Annual,Males,Percentage,Portugal,0.37,0.68,0.67,0.78,0.0,0.0,0.0,0.00 p
Annual,Males,Percentage,Romania,8.31,9.49 d,10.23 d,11.12 d,11.22 d,11.83 d,12.04 d,15.71
Annual,Males,Percentage,Serbia,0.09,1.54,1.46,1.61,1.99,2.95,2.47,1.93
Annual,Males,Percentage,Sweden,0.7,0.0,0.0,0.11,0.59,0.53,0.33,0.43
Annual,Males,Percentage,Slovenia,2.61 d,2.62 d,2.21 d,1.42,1.39,1.16,1.73,1.41
Annual,Males,Percentage,Slovakia,4.16,4.33,4.54,4.7,4.73,4.77,4.43,3.23
Annual,Males,Percentage,Türkiye,51.01,49.56,48.89,0.0,0.0,0.0,0.0,0.0
Annual,Total,Percentage,Albania,:,:,:,:,:,:,3.24,2.22 d
Annual,Total,Percentage,Austria,1.34,1.85,1.36,1.2,1.16,1.13,1.04,1.64
Annual,Total,Percentage,Belgium,1.63,1.68,0.89,0.9,0.88,0.96 bd,1.13,1.17
Annual,Total,Percentage,Bulgaria,5.69,7.33,8.37,8.66,9.05,9.94,10.36,11.11
Annual,Total,Percentage,Switzerland,0.83,0.91,0.88,0.87,0.9,0.8,0.82,0.82
Annual,Total,Percentage,Cyprus,1.87,2.31,0.45,0.0,0.0,0.0,0.0,0.0
Annual,Total,Percentage,Czechia,: d,: d,: d,0.73,1.39,1.96,0.0,0.0
Annual,Total,Percentage,Germany,1.05 d,2.04 d,1.44 d,1.37 d,1.35,1.36 bd,0.67,1.42
Annual,Total,Percentage,Denmark,0.72,0.89,0.71,0.67,0.58,0.5,0.57,0.8
Annual,Total,Percentage,Estonia,2.16 d,2.20 d,2.28 d,2.17 d,2.06 d,2.13 d,1.92 d,1.56
Annual,Total,Percentage,Greece,3.3,4.08,3.66,3.65,3.2,3.37,2.39,0.99
Annual,Total,Percentage,Spain,2.86,3.02,2.98,2.9,2.85,2.9,2.78,2.48
Annual,Total,Percentage,European Union - 27 countries (from 2020),2.20 d,2.52 d,2.35 d,2.33,2.17 d,2.12,1.94,2.23
Annual,Total,Percentage,Finland,1.13,0.79,0.69,0.72,0.67,1.3,1.26,1.72
Annual,Total,Percentage,France,2.01,1.56,1.15,0.96 p,0.46 p,0.00 p,0.00 p,0.21 p
Annual,Total,Percentage,Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Total,Percentage,Hungary,2.52,2.86,3.11,3.9,4.37,4.54,5.37,4.78
Annual,Total,Percentage,Ireland,0.00 d,0.00 d,0.00 d,0.00 d,0.0,0.0,0.0,0.0
