Time frequency,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
Annual,Percentage,Total,Total,Austria,4.0,4.0,4.2,4.0,3.6,3.0,3.7,2.8,2.6,2.7
Annual,Percentage,Total,Total,Belgium,5.7,6.3,5.1,5.9,5.8,5.5,5.2,5.0,4.4 b,3.9
Annual,Percentage,Total,Total,Bulgaria,43.6,44.1,43.0,33.1,34.2,31.9 b,30.0,20.9,20.9,19.4
Annual,Percentage,Total,Total,Switzerland,1.0,0.8,0.7,1.3,1.4,1.5,1.2,2.1,2.0,1.3
Annual,Percentage,Total,Total,Cyprus,11.7,15.0,16.1,15.3,15.4,13.6,11.5,10.2,9.1,8.3
Annual,Percentage,Total,Total,Czechia,6.1,6.6,6.6,6.7,5.6,4.8,3.7,2.8,2.7,2.4
Annual,Percentage,Total,Total,Germany,5.3,4.9,5.4,5.0,4.4,3.7,3.4,3.1,2.6,5.6 b
Annual,Percentage,Total,Total,Denmark,2.3,2.7,3.6,3.2,3.7,2.6,3.1,3.4,2.6,2.4
Annual,Percentage,Total,Total,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",6.6 e,7.5 e,7.3 e,7.3 e,7.0 e,6.6 e,5.9 e,5.5 e,4.9,5.7
Annual,Percentage,Total,Total,Euro area - 19 countries  (2015-2022),6.9,7.8,7.5,7.4,7.0,6.6,5.9,5.5,4.9,5.7
Annual,Percentage,Total,Total,Estonia,8.7,9.4,7.6,6.2,4.5,4.7,4.1,3.8,3.3,2.7
Annual,Percentage,Total,Total,Greece,15.2,19.5,20.3,21.5,22.2,22.4,21.1,16.7,16.2,16.6
Annual,Percentage,Total,Total,Spain,4.5,5.8,6.2,7.1,6.4,5.8,5.1,5.4,4.7,7.0
Annual,Percentage,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",8.8 e,9.9 e,9.6 e,8.9 e,8.1 e,7.5 e,6.6 e,5.9 e,5.3 e,:
Annual,Percentage,Total,Total,European Union - 27 countries (2007-2013),8.8,9.9,9.6,8.9,8.1,7.5,6.6,5.9,5.3 e,:
Annual,Percentage,Total,Total,European Union - 27 countries (from 2020),9.4 e,10.2 e,9.8 e,9.1 e,8.4 e,7.9 e,6.9 e,6.1 e,5.5 e,5.9
Annual,Percentage,Total,Total,European Union - 28 countries (2013-2020),8.8,9.9,9.6,8.9,8.1,7.5,6.6,5.9,5.3 e,:
Annual,Percentage,Total,Total,Finland,3.2,2.9,2.5,2.8,2.2,2.2,2.1,2.8,2.4,2.6
Annual,Percentage,Total,Total,France,5.2,5.3,4.9,4.8,4.5,4.4,4.1,4.7,4.7,5.0 b
Annual,Percentage,Total,Total,Croatia,15.2,15.9,14.7,13.9,13.7,12.5,10.3,8.6,7.2,6.9
Annual,Percentage,Total,Total,Hungary,23.4,26.3,27.8,24.0,19.4,16.2,14.5,10.1,8.7,8.0
Annual,Percentage,Total,Total,Ireland,7.8,9.9,9.9,9.2,8.5,6.7,5.2,4.9,5.4 b,4.3 b
Annual,Percentage,Total,Total,Iceland,2.1,2.4,1.9,1.4,1.6,1.9,1.3,0.7,1.0 u,:
Annual,Percentage,Total,Total,Italy,11.1,14.5,12.3,11.6,11.5,12.1,10.1,8.5,7.4,5.9
Annual,Percentage,Total,Total,Lithuania,19.0,19.8,16.0,13.6,13.9,13.5,12.4,11.1,9.4,7.7
Annual,Percentage,Total,Total,Luxembourg,1.2,1.3,1.8,1.4,2.0,1.6 b,1.2,1.3,1.3,1.7 b
Annual,Percentage,Total,Total,Latvia,31.0,25.6,24.0,19.2,16.4,12.8,11.3,9.5,7.8,7.3
Annual,Percentage,Total,Total,North Macedonia,40.3,40.9,37.7,35.7,30.4,30.0,31.1,30.5,30.4,28.6
Annual,Percentage,Total,Total,Malta,6.6,9.2,10.2,10.3,8.5,4.4,3.3,3.0,3.6,3.3
Annual,Percentage,Total,Total,Netherlands,2.5,2.3,2.5,3.2,2.6,2.6 b,2.6,2.4,2.5,2.1
Annual,Percentage,Total,Total,Norway,2.3,1.7,1.9,1.2,1.7,2.0,2.3,2.1,2.0,2.0
Annual,Percentage,Total,Total,Poland,13.0,13.5,11.9,10.4,8.1,6.7,5.9,4.7,3.6,2.6
Annual,Percentage,Total,Total,Portugal,8.3,8.6,10.9,10.6,9.6,8.4,6.9,6.0,5.6,4.6
Annual,Percentage,Total,Total,Romania,29.5,31.1,29.8,25.9,22.7,23.8,19.7,16.8,14.5,15.2
Annual,Percentage,Total,Total,Serbia,:,:,26.9,26.3,24.0,19.5,17.4,15.9,14.6,13.5
Annual,Percentage,Total,Total,Sweden,1.7,1.8,1.9,1.0,1.1,0.8,1.1,1.6,1.8,1.8
Annual,Percentage,Total,Total,Slovenia,6.1,6.6,6.7,6.6,5.8,5.4,4.6,3.7,2.6,3.0
Annual,Percentage,Total,Total,Slovakia,10.6,10.5,10.2,9.9,9.0,8.2,7.0,7.0,7.9,5.9
Annual,Percentage,Total,Total,Türkiye,57.9,55.0,43.8 b,29.3,30.3,32.9,28.7,26.4,26.3,27.4
Annual,Percentage,Total,Total,United Kingdom,5.1,7.8,8.3,7.4,6.1,5.2,4.1 b,4.6,:,:
