Time frequency,Age class,Sex,Demographic indicator,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0
Annual,From 15 to 19 years,Females,Population on 1 January - total,Israel,278820 d,280620 d,282220 d,285880 d,288670 d,291110 d,293360 d,296940 d,301480 d,308070 d,314540 d,323180 d,330018 d,337554 d,345464 d
Annual,From 15 to 19 years,Females,Population on 1 January - total,Jordan,271390 d,279390 d,287400 d,296410 d,305430 d,315440 d,325450 d,329390 d,349840 d,382200 d,414760 d,450610 d,461840 d,473858 d,:
Annual,From 15 to 19 years,Females,Population on 1 January - total,Lebanon,:,:,167642 de,:,184587 de,:,:,164032 d,:,:,:,:,:,:,:
Annual,From 15 to 19 years,Females,Population on 1 January - total,Morocco,1587345.0,1587071.0,1584387.0,1579294.0,1571791.0,1561880.0,1549559.0,1534829.0,1517689.0,1497437.0,1488642.0,1485373.0,1485399.0,1485186.0,1482467.0
Annual,From 15 to 19 years,Females,Population on 1 January - total,Palestine*,:,:,211673.0,216665.0,219609.0,222549.0,225489.0,228433.0,231378.0,234318.0,237258.0,240202.0,243146.0,244215.0,246363.0
Annual,From 15 to 19 years,Females,Population on 1 January - total,Tunisia,523237 d,519221 d,505225 d,492960 d,481239 d,461987 d,444972 d,429818 d,405500 d,409856 di,412109 de,390422 de,384795 de,380893 de,:
Annual,From 15 to 19 years,Males,Population on 1 January - total,Algeria,1930382.0,1917414.0,1898322.0,1873192.0,1843185.0,1867537.0,1833537.0,1795436.0,1711554.0,1663700.0,1567611.0,1567601.0,1529710.0,:,:
Annual,From 15 to 19 years,Males,Population on 1 January - total,Egypt,3885451.0,4371774.0,3885744.0,4154321.0,4114857.0,4069064.0,4026967.0,3998083.0,3986608.0,4259870.0,4368001.0,4471656.0,4677043.0,4748953.0,4837359.0
Annual,From 15 to 19 years,Males,Population on 1 January - total,Israel,291950 d,293870 d,295450 d,299260 d,302970 d,305360 d,307920 d,311900 d,316670 d,323050 d,329870 d,339120 d,346197 d,353785 d,361823 d
Annual,From 15 to 19 years,Males,Population on 1 January - total,Jordan,285170 d,293180 d,302070 d,310760 d,320340 d,329920 d,340590 d,365980 d,388690 d,424650 d,460700 d,499920 d,512460 d,525799 d,:
Annual,From 15 to 19 years,Males,Population on 1 January - total,Lebanon,:,:,195984 de,:,214835 de,:,:,171525 d,:,:,:,:,:,:,:
Annual,From 15 to 19 years,Males,Population on 1 January - total,Morocco,1583575.0,1587581.0,1589588.0,1589594.0,1587601.0,1583608.0,1577616.0,1569624.0,1559632.0,1509527.0,1511874.0,1520962.0,1533108.0,1542834.0,1546568.0
Annual,From 15 to 19 years,Males,Population on 1 January - total,Palestine*,:,:,219508.0,226068.0,229220.0,232368.0,235516.0,238668.0,241821.0,244969.0,248117.0,251269.0,254421.0,255543.0,257582.0
Annual,From 15 to 19 years,Males,Population on 1 January - total,Tunisia,543089 d,542017 d,530529 d,518849 d,507399 d,491514 d,476150 d,458510 d,428789 d,433396 di,428304 de,411502 de,408080 de,406283 de,:
Annual,From 15 to 19 years,Total,Population on 1 January - total,Algeria,3793152.0,3767974.0,3729895.0,3684552.0,3621037.0,3668878.0,3598835.0,3521884.0,3355275.0,3260353.0,3070451.0,3070448.0,2995345.0,:,:
Annual,From 15 to 19 years,Total,Population on 1 January - total,Egypt,7498298.0,8526327.0,7560505.0,8097418.0,8010198.0,7913890.0,7823959.0,7765508.0,7739622.0,8285809.0,8500004.0,8705184.0,9006058.0,9148023.0,9323011.0
Annual,From 15 to 19 years,Total,Population on 1 January - total,Israel,570770 d,574490 d,577670 d,585140 d,591640 d,596470 d,601280 d,608840 d,618160 d,631120 d,644410 d,662300 d,676214 d,691340 d,707287 d
Annual,From 15 to 19 years,Total,Population on 1 January - total,Jordan,556560 d,572570 d,589470 d,607170 d,625770 d,645360 d,666040 d,695370 d,738530 d,806850 d,875460 d,950530 d,974300 d,999657 d,:
Annual,From 15 to 19 years,Total,Population on 1 January - total,Lebanon,:,:,363626 de,:,399422 de,:,:,335557 d,:,:,:,:,:,:,:
Annual,From 15 to 19 years,Total,Population on 1 January - total,Morocco,3170920 e,3174652 e,3173975 e,3168888 e,3159392.0,3145488.0,3127175.0,3104453.0,3077321.0,3006964.0,3000516.0,3006335.0,3018507.0,3028020.0,3029035.0
Annual,From 15 to 19 years,Total,Population on 1 January - total,Palestine*,:,:,431181.0,442733.0,448829.0,454917.0,461005.0,467101.0,473199.0,479287.0,485375.0,491471.0,497567.0,499758.0,503945.0
Annual,From 15 to 19 years,Total,Population on 1 January - total,Tunisia,1066326 d,1061238 d,1035754 d,1011809 d,988638 d,953501 d,921122 d,888328 d,834288 d,843253 dp,840413 de,801924 de,792875 de,787176 de,:
Annual,From 20 to 24 years,Females,Population on 1 January - total,Algeria,1796408.0,1829591.0,1853801.0,1890070.0,1892038.0,1917036.0,1907557.0,1888223.0,1827618.0,1795556.0,1723895.0,1723906.0,1683708.0,:,:
Annual,From 20 to 24 years,Females,Population on 1 January - total,Egypt,3528412.0,3832526.0,3746888.0,3909033.0,3970210.0,4013263.0,4033703.0,4041039.0,4032908.0,4310496.0,4424057.0,4532754.0,3995929.0,4060569.0,4140438.0
Annual,From 20 to 24 years,Females,Population on 1 January - total,Israel,272170 d,275320 d,279090 d,281110 d,283750 d,284530 d,286240 d,288400 d,291480 d,294300 d,297150 d,300000 d,304006 d,308980 d,315767 d
Annual,From 20 to 24 years,Females,Population on 1 January - total,Jordan,258500 d,266150 d,273760 d,282380 d,290960 d,300530 d,310060 d,312910 d,332320 d,363050 d,393990 d,428080 d,438740 d,450161 d,:
Annual,From 20 to 24 years,Females,Population on 1 January - total,Lebanon,:,:,176307 de,:,169759 de,:,:,194322 d,:,:,:,:,:,:,:
Annual,From 20 to 24 years,Females,Population on 1 January - total,Morocco,1536224.0,1548575.0,1559169.0,1568006.0,1575087.0,1580411.0,1583978.0,1585788.0,1585842.0,1548925.0,1542838.0,1527544.0,1507103.0,1487418.0,1472760.0
Annual,From 20 to 24 years,Females,Population on 1 January - total,Palestine*,:,:,160634.0,167851.0,174864.0,181867.0,188870.0,195882.0,202895.0,209898.0,216901.0,223913.0,230926.0,235022.0,235771.0
Annual,From 20 to 24 years,Females,Population on 1 January - total,Tunisia,505728 d,514974 d,522606 d,522026 d,520827 d,518107 d,509800 d,498479 d,472488 d,477724 di,472851 de,444466 de,430218 de,416085 de,:
Annual,From 20 to 24 years,Males,Population on 1 January - total,Algeria,1861556.0,1896671.0,1921074.0,1919418.0,1924384.0,1949809.0,1946325.0,1934638.0,1883638.0,1856217.0,1789133.0,1789120.0,1749397.0,:,:
Annual,From 20 to 24 years,Males,Population on 1 January - total,Egypt,3836983.0,4012982.0,3922226.0,4077555.0,4152263.0,4204324.0,4233015.0,4243177.0,4238138.0,4509175.0,4623632.0,4733348.0,4236015.0,4300833.0,4380438.0
Annual,From 20 to 24 years,Males,Population on 1 January - total,Israel,281460 d,285280 d,289460 d,291430 d,292550 d,293700 d,295820 d,298410 d,302250 d,305540 d,308630 d,311720 d,316108 d,321292 d,327970 d
Annual,From 20 to 24 years,Males,Population on 1 January - total,Jordan,296970 d,305300 d,314560 d,323610 d,333590 d,343570 d,354680 d,381110 d,404770 d,442220 d,479760 d,520600 d,533660 d,547549 d,:
Annual,From 20 to 24 years,Males,Population on 1 January - total,Lebanon,:,:,191471 de,:,179968 de,:,:,187041 d,:,:,:,:,:,:,:
Annual,From 20 to 24 years,Males,Population on 1 January - total,Morocco,1497665.0,1516428.0,1534498.0,1551876.0,1568561.0,1584554.0,1599854.0,1614462.0,1628378.0,1521796.0,1520984.0,1511786.0,1498437.0,1487061.0,1481963.0
Annual,From 20 to 24 years,Males,Population on 1 January - total,Palestine*,:,:,166905.0,175812.0,183270.0,190718.0,198165.0,205623.0,213081.0,220528.0,227976.0,235433.0,242891.0,247044.0,247451.0
Annual,From 20 to 24 years,Males,Population on 1 January - total,Tunisia,507920 d,518050 d,527297 d,531602 d,532557 d,525467 d,525940 d,518885 d,496069 d,501565 di,467007 de,442927 de,430902 de,419189 de,:
Annual,From 20 to 24 years,Total,Population on 1 January - total,Algeria,3657964.0,3726262.0,3774875.0,3809488.0,3816422.0,3866845.0,3853882.0,3822861.0,3711256.0,3651773.0,3513028.0,3513026.0,3433105.0,:,:
Annual,From 20 to 24 years,Total,Population on 1 January - total,Egypt,7365394.0,7845508.0,7669114.0,7986588.0,8122473.0,8217587.0,8266718.0,8284216.0,8271046.0,8819671.0,9047689.0,9266102.0,8231944.0,8361402.0,8520876.0
Annual,From 20 to 24 years,Total,Population on 1 January - total,Israel,553640 d,560600 d,568550 d,572540 d,576290 d,578230 d,582060 d,586810 d,593730 d,599830 d,605780 d,611730 d,620114 d,630272 d,643737 d
Annual,From 20 to 24 years,Total,Population on 1 January - total,Jordan,555470 d,571450 d,588320 d,605990 d,624550 d,644100 d,664740 d,694020 d,737090 d,805270 d,873750 d,948680 d,972400 d,997710 d,:
Annual,From 20 to 24 years,Total,Population on 1 January - total,Lebanon,:,:,367778 de,:,349727 de,:,:,381363 d,:,:,:,:,:,:,:
Annual,From 20 to 24 years,Total,Population on 1 January - total,Morocco,3033889 e,3065003 e,3093667 e,3119882 e,3143648.0,3164965.0,3183832.0,3200250.0,3214220.0,3070721.0,3063822.0,3039330.0,3005540.0,2974479.0,2954723.0
Annual,From 20 to 24 years,Total,Population on 1 January - total,Palestine*,:,:,327539.0,343663.0,358134.0,372585.0,387035.0,401505.0,415976.0,430426.0,444877.0,459346.0,473817.0,482066.0,483222.0
Annual,From 20 to 24 years,Total,Population on 1 January - total,Tunisia,1013648 d,1033024 d,1049902 d,1053628 d,1053385 d,1043574 d,1035740 d,1017365 d,968557 d,979289 dp,939859 de,887393 de,861121 de,835274 de,:
Annual,From 25 to 64 years,Females,Population on 1 January - total,Algeria,6920131.0,7185801.0,7467151.0,7671350.0,7959862.0,8065029.0,8363922.0,8663522.0,9007533.0,9282285.0,9792955.0,9793118.0,10029844.0,:,:
Annual,From 25 to 64 years,Females,Population on 1 January - total,Egypt,14277055.0,15043593.0,15583548.0,15577288.0,16145591.0,16752979.0,17376521.0,18055192.0,18765594.0,18854466.0,19351114.0,19826386.0,20186918.0,20508953.0,20906696.0
Annual,From 25 to 64 years,Females,Population on 1 January - total,Israel,1586080 d,1618960 d,1653440 d,1689740 d,1758630 d,1793080 d,1824690 d,1849630 d,1871870 d,1898280 d,1927840 d,1955410 d,1982154 d,2010039 d,2038706 d
Annual,From 25 to 64 years,Females,Population on 1 January - total,Jordan,1113360 d,1146250 d,1179080 d,1216130 d,1253090 d,1294260 d,1335340 d,1348900 d,1432580 d,1565100 d,1698440 d,1845370 d,1891310 d,1940537 d,:
Annual,From 25 to 64 years,Females,Population on 1 January - total,Lebanon,:,:,930274 de,:,938159 de,:,:,1018136 d,:,:,:,:,:,:,:
Annual,From 25 to 64 years,Females,Population on 1 January - total,Morocco,6679276.0,6861197.0,7048436.0,7240997.0,7438877.0,7642081.0,7850601.0,8064444.0,8283605.0,8171596.0,8353061.0,8527857.0,8696214.0,8858733.0,9015611.0
Annual,From 25 to 64 years,Females,Population on 1 January - total,Palestine*,:,:,590586.0,615148.0,641910.0,668634.0,695359.0,722122.0,748886.0,775614.0,802339.0,829101.0,855862.0,886552.0,921558.0
Annual,From 25 to 64 years,Females,Population on 1 January - total,Tunisia,2338417 d,2403959 d,2507885 d,2576079 d,2646395 d,2723449 d,2801677 d,2866898 d,2949152 d,2985667 di,2984107 de,3046405 de,3086955 de,3119788 de,:
Annual,From 25 to 64 years,Males,Population on 1 January - total,Algeria,6980595.0,7256068.0,7548098.0,7770882.0,8059997.0,8166486.0,8465596.0,8764910.0,9106253.0,9380535.0,9893000.0,9892934.0,10131001.0,:,:
Annual,From 25 to 64 years,Males,Population on 1 January - total,Egypt,14547955.0,15430615.0,15993462.0,15982916.0,16571069.0,17184832.0,17819759.0,18487681.0,19194134.0,19294067.0,19783736.0,20253032.0,21264454.0,21584492.0,21976790.0
Annual,From 25 to 64 years,Males,Population on 1 January - total,Israel,1529800 d,1562870 d,1597200 d,1633280 d,1700740 d,1735040 d,1766870 d,1792790 d,1816580 d,1844160 d,1874540 d,1903240 d,1932333 d,1961855 d,1993439 d
Annual,From 25 to 64 years,Males,Population on 1 January - total,Jordan,1242570 d,1277440 d,1316170 d,1354050 d,1395800 d,1437550 d,1484030 d,1594640 d,1693640 d,1850300 d,2007400 d,2178270 d,2232930 d,2291037 d,:
Annual,From 25 to 64 years,Males,Population on 1 January - total,Lebanon,:,:,807044 de,:,862856 de,:,:,810315 d,:,:,:,:,:,:,:
Annual,From 25 to 64 years,Males,Population on 1 January - total,Morocco,6415143.0,6589444.0,6768223.0,6951480.0,7139220.0,7331435.0,7528133.0,7729309.0,7934966.0,7940213.0,8105483.0,8263871.0,8415806.0,8562020.0,8702998.0
Annual,From 25 to 64 years,Males,Population on 1 January - total,Palestine*,:,:,609771.0,636146.0,663672.0,691161.0,718652.0,746180.0,773706.0,801197.0,828686.0,856214.0,883742.0,915262.0,951242.0
Annual,From 25 to 64 years,Males,Population on 1 January - total,Tunisia,2247020 d,2302418 d,2394648 d,2460979 d,2526579 d,2591843 d,2653906 d,2711195 d,2834528 d,2869590 di,2863359 de,2889162 de,2911489 de,2926722 de,:
