Time frequency,Age class,Sex,Demographic indicator,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0
Annual,65 years or over,Total,Population on 1 January - total,Jordan,206500 d,212450 d,218720 d,225290 d,232180 d,239450 d,247130 d,258020 d,274030 d,299380 d,324830 d,352690 d,361500 d,370912 d,:
Annual,65 years or over,Total,Population on 1 January - total,Lebanon,:,:,362440 de,:,295043 de,:,:,422152 d,:,:,:,:,:,:,:
Annual,65 years or over,Total,Population on 1 January - total,Morocco,1676084 e,1721941 e,1767554 e,1812926 e,1858055.0,1902939.0,1947585.0,1991987.0,2036145.0,2046917.0,2105192.0,2190926.0,2297235.0,2414071.0,2533952.0
Annual,65 years or over,Total,Population on 1 January - total,Palestine*,:,:,115396.0,117901.0,121549.0,125192.0,128835.0,132487.0,136136.0,139778.0,143423.0,147070.0,150718.0,155299.0,160556.0
Annual,65 years or over,Total,Population on 1 January - total,Tunisia,689805 d,699620 d,711323 d,720141 d,731651 d,737893 d,750172 d,761463 d,803119 d,811669 dp,875019 de,922857 de,959679 de,998645 de,:
Annual,75 years or over,Females,Population on 1 January - total,Algeria,303680.0,322219.0,342604.0,349183.0,369426.0,374307.0,395289.0,417297.0,446121.0,468147.0,511334.0,511523.0,532771.0,:,:
Annual,75 years or over,Females,Population on 1 January - total,Egypt,278637.0,360515.0,429079.0,417775.0,446257.0,471189.0,495496.0,524369.0,558395.0,548034.0,562457.0,576247.0,357587 p,456726.0,465539.0
Annual,75 years or over,Females,Population on 1 January - total,Israel,186230 d,191730 d,194520 d,199120 d,206140 d,210550 d,215540 d,221100 d,227550 d,233850 d,238920 d,243250 d,246463 d,248907 d,251593 d
Annual,75 years or over,Females,Population on 1 January - total,Jordan,35240 d,36280 d,37330 d,38490 d,39660 d,40950 d,42260 d,42920 d,45580 d,49800 d,54030 d,58700 d,60160 d,61729 d,:
Annual,75 years or over,Females,Population on 1 January - total,Lebanon,:,:,65878 de,:,50327 de,:,:,87907 d,:,:,:,:,:,:,:
Annual,75 years or over,Females,Population on 1 January - total,Morocco,311065.0,321172.0,331077.0,340782.0,350286.0,359588.0,368690.0,377592.0,386292.0,434587.0,433563.0,443538.0,459944.0,476418.0,488695.0
Annual,75 years or over,Females,Population on 1 January - total,Palestine*,:,:,24256.0,26343.0,26991.0,27638.0,28285.0,28934.0,29581.0,30229.0,30877.0,31524.0,32172.0,32573.0,32597.0
Annual,75 years or over,Females,Population on 1 January - total,Tunisia,117892 d,120373 d,126261 d,131309 d,136616 d,128814 d,137380 d,145379 d,166319 d,167883 di,198427 de,204736 de,209502 de,213901 de,:
Annual,75 years or over,Males,Population on 1 January - total,Algeria,283591.0,298776.0,315124.0,340791.0,359920.0,364675.0,383728.0,402704.0,426354.0,445210.0,483861.0,483884.0,502012.0,:,:
Annual,75 years or over,Males,Population on 1 January - total,Egypt,346772.0,375648.0,427810.0,420876.0,447151.0,468796.0,489799.0,512925.0,540011.0,531129.0,544595.0,557486.0,388885 p,484089.0,492983.0
Annual,75 years or over,Males,Population on 1 January - total,Israel,124420 d,128430 d,130970 d,133900 d,139400 d,143080 d,147330 d,152140 d,157490 d,162650 d,167260 d,170390 d,173694 d,175277 d,178200 d
Annual,75 years or over,Males,Population on 1 January - total,Jordan,33010 d,33940 d,34960 d,35970 d,37080 d,38190 d,39420 d,42360 d,44990 d,49150 d,53330 d,57870 d,59319 d,60862 d,:
Annual,75 years or over,Males,Population on 1 January - total,Lebanon,:,:,69289 de,:,52414 de,:,:,85437 d,:,:,:,:,:,:,:
Annual,75 years or over,Males,Population on 1 January - total,Morocco,301308.0,308036.0,314484.0,320652.0,326541.0,332150.0,337480.0,342530.0,347300.0,398584.0,389339.0,387774.0,390796.0,394356.0,395974.0
Annual,75 years or over,Males,Population on 1 January - total,Palestine*,:,:,21513.0,19936.0,20126.0,20316.0,20505.0,20696.0,20887.0,21076.0,21266.0,21455.0,21645.0,21847.0,22132.0
Annual,75 years or over,Males,Population on 1 January - total,Tunisia,124257 d,127641 d,133205 d,137129 d,140974 d,129943 d,136420 d,142047 d,157451 d,158929 di,186100 de,186873 de,188739 de,190229 de,:
Annual,75 years or over,Total,Population on 1 January - total,Algeria,587271.0,620995.0,657728.0,689974.0,729345.0,738981.0,779018.0,820001.0,872475.0,913357.0,995195.0,995407.0,1034783.0,:,:
Annual,75 years or over,Total,Population on 1 January - total,Egypt,625410.0,736163.0,856889.0,838651.0,893408.0,939985.0,985295.0,1037294.0,1098406.0,1079162.0,1107052.0,1133733.0,746472 p,940815.0,958522.0
Annual,75 years or over,Total,Population on 1 January - total,Israel,310630 d,320150 d,325490 d,333020 d,345520 d,353620 d,362890 d,373230 d,385040 d,396500 d,406180 d,413640 d,420157 d,424185 d,429794 d
Annual,75 years or over,Total,Population on 1 January - total,Jordan,68250 d,70220 d,72290 d,74460 d,76740 d,79140 d,81680 d,85280 d,90570 d,98950 d,107360 d,116570 d,119479 d,122591 d,:
Annual,75 years or over,Total,Population on 1 January - total,Lebanon,:,:,135167 de,:,102741 de,:,:,173344 d,:,:,:,:,:,:,:
Annual,75 years or over,Total,Population on 1 January - total,Morocco,612373 e,629208 e,645561 e,661434 e,676827.0,691738.0,706170.0,720122.0,733592.0,833171.0,822902.0,831312.0,850740.0,870774.0,884669.0
Annual,75 years or over,Total,Population on 1 January - total,Palestine*,:,:,45769.0,46279.0,47117.0,47954.0,48790.0,49630.0,50468.0,51305.0,52143.0,52979.0,53817.0,54420.0,54729.0
Annual,75 years or over,Total,Population on 1 January - total,Tunisia,242149 d,248014 d,259467 d,268438 d,277591 d,258758 d,273800 d,287427 d,323770 d,326812 dp,384526 de,391609 de,398241 de,404129 de,:
Annual,Less than 1 year,Females,Population on 1 January - total,Algeria,313064.0,321323.0,330093.0,381615.0,387771.0,392894.0,415045.0,429629.0,453718.0,465013.0,486643.0,494097.0,498962.0,:,:
Annual,Less than 1 year,Females,Population on 1 January - total,Egypt,888063.0,:,828405.0,866232.0,872435.0,878529.0,883454.0,891741.0,902349.0,918281.0,926716.0,949479.0,1258092.0,1278635.0,1304014.0
Annual,Less than 1 year,Females,Population on 1 January - total,Israel,69840 d,69670 d,71800 d,73540 d,75750 d,78470 d,80630 d,80960 d,83240 d,83030 d,85450 d,86610 d,87771 d,89071 d,89540 d
Annual,Less than 1 year,Females,Population on 1 January - total,Jordan,61330 d,63140 d,64950 d,66990 d,69020 d,71280 d,73550 d,74560 d,79180 d,86500 d,93870 d,101990 d,104526 d,107247 d,:
Annual,Less than 1 year,Females,Population on 1 January - total,Lebanon,:,:,124507 de,:,100014 de,:,:,124040 d,:,:,:,:,:,:,:
Annual,Less than 1 year,Females,Population on 1 January - total,Morocco,289835.0,289066.0,288488.0,288101.0,287907.0,287904.0,288093.0,288473.0,289045.0,357876.0,289297.0,289330.0,289046.0,288450.0,287554.0
Annual,Less than 1 year,Females,Population on 1 January - total,Tunisia,393084 d,396436 d,402400 d,406761 d,411319 d,417046 d,427390 d,437835 d,426204 d,431081 dp,473961 de,510109 de,526476 de,538692 de,:
Annual,Less than 1 year,Males,Population on 1 January - total,Algeria,327972.0,337121.0,346302.0,406785.0,408803.0,414204.0,437768.0,452957.0,477969.0,490263.0,513699.0,521408.0,526266.0,:,:
Annual,Less than 1 year,Males,Population on 1 January - total,Egypt,938384.0,:,895673.0,935134.0,943667.0,950716.0,956155.0,963864.0,974766.0,991593.0,1000936.0,1024682.0,1334896.0,1355724.0,1381401.0
Annual,Less than 1 year,Males,Population on 1 January - total,Israel,73880 d,73590 d,75710 d,77480 d,79250 d,82170 d,85160 d,84930 d,87130 d,87890 d,90560 d,91660 d,93031 d,93940 d,94204 d
Annual,Less than 1 year,Males,Population on 1 January - total,Jordan,61210 d,62930 d,64840 d,66700 d,68760 d,70810 d,73100 d,78550 d,83430 d,91150 d,98890 d,107300 d,109995 d,112857 d,:
Annual,Less than 1 year,Males,Population on 1 January - total,Lebanon,:,:,136514 de,:,107667 de,:,:,126532 d,:,:,:,:,:,:,:
Annual,Less than 1 year,Males,Population on 1 January - total,Morocco,303387.0,302618.0,301961.0,301416.0,300984.0,300664.0,300455.0,300360.0,300376.0,374686.0,302451.0,302496.0,302210.0,301599.0,300673.0
Annual,Less than 1 year,Males,Population on 1 January - total,Tunisia,417616 d,418534 d,421319 d,425589 d,429468 d,436066 d,447124 d,458225 d,447847 d,452971 dp,513423 de,547797 de,562475 de,572180 de,:
Annual,Less than 1 year,Total,Population on 1 January - total,Algeria,641036.0,658444.0,676395.0,788400.0,796574.0,807098.0,852813.0,882586.0,931687.0,955276.0,1000342.0,1015505.0,1025228.0,:,:
Annual,Less than 1 year,Total,Population on 1 January - total,Egypt,1826447.0,:,1724078.0,1801366.0,1816101.0,1829245.0,1839609.0,1855605.0,1877115.0,1909874.0,1927652.0,1974162.0,2592988.0,2634359.0,2685415.0
Annual,Less than 1 year,Total,Population on 1 January - total,Israel,143720 d,143250 d,147510 d,151020 d,155000 d,160640 d,165790 d,165890 d,170380 d,170930 d,176010 d,178270 d,180802 d,183011 d,183744 d
Annual,Less than 1 year,Total,Population on 1 January - total,Jordan,122540 d,126070 d,129790 d,133690 d,137780 d,142090 d,146650 d,153110 d,162610 d,177650 d,192760 d,209290 d,214521 d,220104 d,:
Annual,Less than 1 year,Total,Population on 1 January - total,Lebanon,:,:,261021 de,:,207681 de,:,:,250572 d,:,:,:,:,:,:,:
Annual,Less than 1 year,Total,Population on 1 January - total,Morocco,593222 e,591683 e,590448 e,589518 e,588891.0,588567.0,588548.0,588833.0,589421.0,732562.0,591748.0,591826.0,591256.0,590049.0,588227.0
Annual,Less than 1 year,Total,Population on 1 January - total,Tunisia,810700 d,814970 d,823760 d,832349 d,840787 d,853112 d,874514 d,896061 d,874051 d,884052 dp,987383 de,1057906 de,1088951 de,1110872 de,:
