Annual,Number,Darmstadt,237.0,432.0,353.0,204.0,287.0,199.0,364.0,229.0,185.0,326.0,182.0,151.0,84.0,122 p
Annual,Number,Freiburg im Breisgau,:,93.0,251.0,61.0,70.0,148.0,109.0,220.0,233.0,78.0,58.0,144.0,70.0,30 p
Annual,Number,Regensburg,:,53.0,43.0,:,52.0,48.0,:,34.0,78.0,:,114.0,:,:,35 p
Annual,Number,Schwerin,:,:,:,2.0,:,:,12.0,7.0,3.0,29.0,:,6.0,107.0,23 p
Annual,Number,Erfurt,:,17.0,:,:,:,:,:,:,:,:,21.0,:,:,:
Annual,Number,Augsburg,42.0,74.0,:,91.0,126.0,133.0,175.0,172.0,171.0,202.0,163.0,193.0,275.0,252 p
Annual,Number,Bonn,158.0,196.0,124.0,134.0,145.0,469.0,317.0,204.0,86.0,160.0,137.0,114.0,149.0,32 p
Annual,Number,Karlsruhe,89.0,163.0,378.0,439.0,491.0,346.0,433.0,244.0,164.0,195.0,160.0,265.0,139.0,78 p
Annual,Number,Mönchengladbach,34.0,35.0,45.0,34.0,35.0,87.0,98.0,33.0,30.0,25.0,125.0,93.0,53.0,9 p
Annual,Number,Mainz,50.0,62.0,39.0,231.0,172.0,167.0,76.0,101.0,83.0,85.0,79.0,90.0,90.0,69 p
Annual,Number,Ruhrgebiet,:,:,:,391.0,:,:,794.0,871.0,532.0,:,:,585.0,:,:
Annual,Number,Kiel,:,:,:,:,51.0,:,:,37.0,:,91.0,25.0,79.0,46.0,55 p
Annual,Number,Saarbrücken,:,:,:,26.0,:,48.0,:,:,:,26.0,22.0,12.0,29.0,:
Annual,Number,Koblenz,:,14.0,9.0,16.0,27.0,:,7.0,:,:,32.0,38.0,10.0,5.0,54 p
Annual,Number,Rostock,:,:,:,:,2.0,10.0,:,:,:,7.0,26.0,:,:,3 p
Annual,Number,Kaiserslautern,:,:,:,:,:,:,:,:,:,:,:,7.0,25.0,:
Annual,Number,Iserlohn,131.0,241.0,414.0,623.0,420.0,549.0,607.0,438.0,574.0,379.0,571.0,466.0,534.0,351 p
Annual,Number,Flensburg,6.0,:,2.0,59.0,:,:,88.0,143.0,58.0,85.0,105.0,58.0,68.0,140 p
Annual,Number,Konstanz,10.0,47.0,56.0,26.0,37.0,24.0,10.0,23.0,34.0,21.0,37.0,14.0,42.0,12 p
Annual,Number,Gießen,8.0,6.0,34.0,44.0,5.0,3.0,23.0,21.0,18.0,20.0,61.0,9.0,6.0,24 p
Annual,Number,Bayreuth,21.0,:,115.0,:,156.0,:,:,30.0,45.0,:,40.0,24.0,70.0,:
Annual,Number,Aschaffenburg,:,:,:,205.0,138.0,:,103.0,136.0,117.0,149.0,:,206.0,:,:
Annual,Number,Neubrandenburg,:,:,2.0,:,1.0,:,1.0,2.0,1.0,1.0,:,16.0,:,:
Annual,Number,Rosenheim,138.0,158.0,195.0,196.0,252.0,243.0,279.0,289.0,300.0,319.0,304.0,455.0,789.0,628 p
Annual,Number,Offenburg,53.0,54.0,36.0,60.0,63.0,52.0,80.0,124.0,82.0,359.0,306.0,204.0,183.0,162 p
Annual,Number,Görlitz,31.0,2.0,5.0,2.0,1.0,:,18.0,5.0,9.0,7.0,2.0,2.0,3.0,40 p
Annual,Number,Schweinfurt,:,:,:,8.0,:,:,:,23.0,:,:,:,63.0,32.0,42 p
Annual,Number,Wetzlar,49.0,47.0,59.0,35.0,102.0,41.0,50.0,18.0,29.0,61.0,47.0,38.0,49.0,47 p
Annual,Number,Mannheim-Ludwigshafen,:,:,:,:,:,:,:,:,:,:,:,:,286.0,:
Annual,Number,Münster,16.0,:,26.0,13.0,20.0,78.0,27.0,12.0,93.0,63.0,48.0,43.0,114.0,67 p
Annual,Number,Aachen,25.0,33.0,28.0,17.0,62.0,24.0,19.0,17.0,29.0,29.0,7.0,31.0,23.0,15 p
Annual,Number,Lübeck,:,38.0,:,24.0,29.0,25.0,20.0,16.0,21.0,51.0,42.0,20.0,59.0,122 p
Annual,Number,Kassel,54.0,10.0,62.0,16.0,48.0,:,19.0,47.0,109.0,:,45.0,48.0,8.0,20 p
Annual,Number,Osnabrück,61.0,68.0,141.0,76.0,231.0,91.0,126.0,133.0,74.0,136.0,108.0,67.0,110.0,82 p
