Time frequency,Unit of measure,Quantile,Working time,Geopolitical entity (reporting)\Time,2010.0
Annual,Euro,Ninetieth percentile,Full-time,France,56320.0
Annual,Euro,Ninetieth percentile,Full-time,Croatia,19954.0
Annual,Euro,Ninetieth percentile,Full-time,Hungary,17424.0
Annual,Euro,Ninetieth percentile,Full-time,Ireland,72610.0
Annual,Euro,Ninetieth percentile,Full-time,Iceland,48729.0
Annual,Euro,Ninetieth percentile,Full-time,Italy,51196.0
Annual,Euro,Ninetieth percentile,Full-time,Lithuania,12454.0
Annual,Euro,Ninetieth percentile,Full-time,Luxembourg,86938.0
Annual,Euro,Ninetieth percentile,Full-time,Latvia,14772.0
Annual,Euro,Ninetieth percentile,Full-time,North Macedonia,9560.0
Annual,Euro,Ninetieth percentile,Full-time,Malta,29635.0
Annual,Euro,Ninetieth percentile,Full-time,Netherlands,71081.0
Annual,Euro,Ninetieth percentile,Full-time,Norway,86198.0
Annual,Euro,Ninetieth percentile,Full-time,Poland,17291.0
Annual,Euro,Ninetieth percentile,Full-time,Portugal,36616.0
Annual,Euro,Ninetieth percentile,Full-time,Romania,11038.0
Annual,Euro,Ninetieth percentile,Full-time,Sweden,56434.0
Annual,Euro,Ninetieth percentile,Full-time,Slovenia,33111.0
Annual,Euro,Ninetieth percentile,Full-time,Slovakia,16474.0
Annual,Euro,Ninetieth percentile,Full-time,Türkiye,21061.0
Annual,Euro,Ninetieth percentile,Full-time,United Kingdom,62368.0
Annual,Percentage,Second sextile,Full-time,Austria,15.21
Annual,Percentage,Second sextile,Full-time,Belgium,5.43
Annual,Percentage,Second sextile,Full-time,Bulgaria,25.47
Annual,Percentage,Second sextile,Full-time,Switzerland,10.53
Annual,Percentage,Second sextile,Full-time,Cyprus,21.24
Annual,Percentage,Second sextile,Full-time,Czechia,17.09
Annual,Percentage,Second sextile,Full-time,Germany,20.88
Annual,Percentage,Second sextile,Full-time,Denmark,8.11
Annual,Percentage,Second sextile,Full-time,Euro area - 13 countries (2007),19.94
Annual,Percentage,Second sextile,Full-time,Euro area - 16 countries (2009-2010),20.11
Annual,Percentage,Second sextile,Full-time,Euro area - 17 countries (2011-2013),20.31
Annual,Percentage,Second sextile,Full-time,Estonia,23.18
Annual,Percentage,Second sextile,Full-time,Greece,12.4
Annual,Percentage,Second sextile,Full-time,Spain,16.42
Annual,Percentage,Second sextile,Full-time,European Union - 15 countries (1995-2004),19.92
Annual,Percentage,Second sextile,Full-time,European Union - 25 countries (2004-2006),26.01
Annual,Percentage,Second sextile,Full-time,European Union - 27 countries (2007-2013),28.26
Annual,Percentage,Second sextile,Full-time,European Union - 28 countries (2013-2020),28.57
Annual,Percentage,Second sextile,Full-time,Finland,7.02
Annual,Percentage,Second sextile,Full-time,France,8.87
Annual,Percentage,Second sextile,Full-time,Croatia,20.93
Annual,Percentage,Second sextile,Full-time,Hungary,21.83
Annual,Percentage,Second sextile,Full-time,Ireland,19.94
Annual,Percentage,Second sextile,Full-time,Iceland,10.55
Annual,Percentage,Second sextile,Full-time,Italy,10.85
Annual,Percentage,Second sextile,Full-time,Lithuania,26.5
Annual,Percentage,Second sextile,Full-time,Luxembourg,15.63
Annual,Percentage,Second sextile,Full-time,Latvia,28.08
Annual,Percentage,Second sextile,Full-time,North Macedonia,27.65
Annual,Percentage,Second sextile,Full-time,Malta,14.07
Annual,Percentage,Second sextile,Full-time,Netherlands,14.73
Annual,Percentage,Second sextile,Full-time,Norway,6.04
Annual,Percentage,Second sextile,Full-time,Poland,21.96
Annual,Percentage,Second sextile,Full-time,Portugal,20.66
Annual,Percentage,Second sextile,Full-time,Romania,26.78
Annual,Percentage,Second sextile,Full-time,Sweden,5.6
Annual,Percentage,Second sextile,Full-time,Slovenia,13.55
Annual,Percentage,Second sextile,Full-time,Slovakia,18.07
Annual,Percentage,Second sextile,Full-time,Türkiye,0.5
Annual,Percentage,Second sextile,Full-time,United Kingdom,21.99
