Time frequency,Size classes in number of persons employed,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2010.0,2015.0,2020.0
Annual,From 10 to 49 persons employed,Hour,Austria,6.6,9.4,8.3,7.9
Annual,From 10 to 49 persons employed,Hour,Belgium,13.4,14.2,15.9,9.6
Annual,From 10 to 49 persons employed,Hour,Bulgaria,12.2,12.8,14.1,8.5
Annual,From 10 to 49 persons employed,Hour,Cyprus,9.2,11.0,9.3,7.5
Annual,From 10 to 49 persons employed,Hour,Czechia,13.0,9.3,9.4 b,7.6
Annual,From 10 to 49 persons employed,Hour,Germany,12.3,8.6,9.3,7.8
Annual,From 10 to 49 persons employed,Hour,Denmark,11.7,33.8,10.0,9.5
Annual,From 10 to 49 persons employed,Hour,Estonia,9.3,8.1,8.8,8.5
Annual,From 10 to 49 persons employed,Hour,Greece,7.7,8.0,11.3,7.4
Annual,From 10 to 49 persons employed,Hour,Spain,12.0,8.8,8.7,6.0
Annual,From 10 to 49 persons employed,Hour,European Union - 27 countries (from 2020),11.4,10.9,10.5,10.3
Annual,From 10 to 49 persons employed,Hour,European Union - 28 countries (2013-2020),11.1,10.9,11.9,:
Annual,From 10 to 49 persons employed,Hour,Finland,11.2,10.6,9.0,8.2
Annual,From 10 to 49 persons employed,Hour,France,10.9,10.3,9.7,11.7
Annual,From 10 to 49 persons employed,Hour,Croatia,:,13.1,13.2,12.0
Annual,From 10 to 49 persons employed,Hour,Hungary,8.1,5.8,6.2,23.5 b
Annual,From 10 to 49 persons employed,Hour,Ireland,10.3,:,35.8,16.6
Annual,From 10 to 49 persons employed,Hour,Italy,10.9,8.1,9.8,15.0
Annual,From 10 to 49 persons employed,Hour,Lithuania,9.6,11.2,6.9,6.5
Annual,From 10 to 49 persons employed,Hour,Luxembourg,16.5,20.7,18.2,23.2
Annual,From 10 to 49 persons employed,Hour,Latvia,8.5,7.2,8.4,7.1
Annual,From 10 to 49 persons employed,Hour,North Macedonia,:,:,11.2,6.1
Annual,From 10 to 49 persons employed,Hour,Malta,21.1,14.9,13.6,10.3
Annual,From 10 to 49 persons employed,Hour,Netherlands,11.5,14.9,12.9,14.4
Annual,From 10 to 49 persons employed,Hour,Norway,14.0,12.1,11.3,13.3
Annual,From 10 to 49 persons employed,Hour,Poland,9.4,9.3,7.9,8.6
Annual,From 10 to 49 persons employed,Hour,Portugal,13.7,21.8,16.1,11.9
Annual,From 10 to 49 persons employed,Hour,Romania,9.8,10.7,13.3,9.1
Annual,From 10 to 49 persons employed,Hour,Serbia,:,:,:,9.2
Annual,From 10 to 49 persons employed,Hour,Sweden,13.4,17.4,10.8 b,9.9 b
Annual,From 10 to 49 persons employed,Hour,Slovenia,18.9,26.5,13.0,12.4
Annual,From 10 to 49 persons employed,Hour,Slovakia,14.8,12.9,11.5,9.8
