Time frequency,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Less than 18 years,Percentage,Albania,:,:,:,:,:,:,:,50.1,:,:
Annual,Less than 18 years,Percentage,Austria,:,22.2,20.5,22.7,21.6,20.1,21.9,22.8,21.6,22.7
Annual,Less than 18 years,Percentage,Belgium,:,24.1,23.5,24.2,23.5,23.0 b,22.0,20.5,19.6,19.0
Annual,Less than 18 years,Percentage,Bulgaria,:,47.5,47.3 b,42.4,33.5,35.8,35.5,33.0,33.9,33.9
Annual,Less than 18 years,Percentage,Switzerland,:,20.6,20.7,21.7,22.0,22.2,22.8,19.4,19.3,22.4
Annual,Less than 18 years,Percentage,Cyprus,:,22.9,23.2,21.7,20.5,20.3,19.0,19.2,18.1,16.7
Annual,Less than 18 years,Percentage,Czechia,:,17.8,16.4,14.3,13.0,13.0,12.9,13.7,13.4,15.0
Annual,Less than 18 years,Percentage,Germany,:,19.3,20.6,18.6,17.5,20.4 be,22.3,23.7,24.4,23.9
Annual,Less than 18 years,Percentage,Denmark,:,16.2,14.0,15.1,15.4,13.8,13.4 b,14.0,13.8,15.3
Annual,Less than 18 years,Percentage,Euro area – 20 countries (from 2023),:,25.8,25.8,24.6,23.8,23.8 be,24.4 b,24.8,25.4,25.3
Annual,Less than 18 years,Percentage,Estonia,:,22.2,19.7,18.8,17.0,19.7,17.4,17.4,16.6,18.3
Annual,Less than 18 years,Percentage,Greece,:,37.7,37.2,36.5,34.1,31.2,30.8,32.0,28.1,28.1
Annual,Less than 18 years,Percentage,Spain,:,34.0,33.7,31.9,30.5,31.0,31.6,33.4,32.2,34.5
Annual,Less than 18 years,Percentage,European Union - 27 countries (from 2020),:,27.4,27.1,25.1,23.9,23.6 be,24.0 b,24.4,24.7,24.8
Annual,Less than 18 years,Percentage,Finland,:,14.5,14.1,15.0,15.9,13.8 b,14.5,13.2,14.9 b,13.8
Annual,Less than 18 years,Percentage,France,:,22.4,23.8,23.5,24.0,24.1,23.6 b,22.5,27.1 b,26.6
Annual,Less than 18 years,Percentage,Metropolitan France,:,:,:,:,:,:,:,:,26.5,25.7
Annual,Less than 18 years,Percentage,Croatia,27.9,25.2,24.4,24.5,22.2,19.1,18.4,18.6,18.1,17.3 b
Annual,Less than 18 years,Percentage,Hungary,:,40.3,38.6,33.5,26.4,24.1,21.7,23.3,18.1,24.4
Annual,Less than 18 years,Percentage,Ireland,:,29.2,26.8,26.0,24.7,25.1 b,22.4 b,23.5,22.3,24.3
Annual,Less than 18 years,Percentage,Iceland,:,14.8,13.6,14.2,13.0,13.5,:,:,:,:
Annual,Less than 18 years,Percentage,Italy,:,34.1,32.7,30.8,29.6,27.1,28.9,29.7,28.5,27.1
Annual,Less than 18 years,Percentage,Lithuania,:,34.8,33.2,31.3,28.8,25.8,23.1,21.6,22.4,21.7
Annual,Less than 18 years,Percentage,Luxembourg,:,23.3,22.2 b,21.5,23.4,25.4,24.2 b,29.4 b,24.0 b,26.1
Annual,Less than 18 years,Percentage,Latvia,:,30.7,25.9,25.0,23.6,18.7,19.7,20.1,19.8,20.3
Annual,Less than 18 years,Percentage,Montenegro,:,:,:,:,:,:,:,:,40.4,:
Annual,Less than 18 years,Percentage,North Macedonia,:,47.0,45.2,44.1,42.2,38.4,39.7,:,:,:
Annual,Less than 18 years,Percentage,Malta,:,27.8,23.7,23.6,23.3,23.7,22.3,23.2,23.1,25.2
Annual,Less than 18 years,Percentage,Netherlands,:,17.1,17.2 b,16.4,15.1,15.4,15.8,14.9,13.9,15.9
Annual,Less than 18 years,Percentage,Norway,:,13.6,14.2,16.4,15.5,16.0,16.6,17.2,16.1,15.0
Annual,Less than 18 years,Percentage,Poland,:,26.8,23.5,17.8,16.9,16.2,16.1,16.5,16.7,16.9
Annual,Less than 18 years,Percentage,Portugal,:,31.2,27.5,24.6,22.4,21.9,21.9,22.9,20.7,22.6
Annual,Less than 18 years,Percentage,Romania,:,53.4,56.0,48.7,44.2,39.1,40.7,41.5,41.5,39.0
Annual,Less than 18 years,Percentage,Serbia,:,42.4,34.5,41.0,35.9,34.5,30.4,27.5,27.1,:
Annual,Less than 18 years,Percentage,Sweden,:,19.7,19.7,19.4,20.5,23.0,20.2,19.7,19.9,21.6
Annual,Less than 18 years,Percentage,Slovenia,:,16.6,14.5,15.6,13.1,11.6,12.1,11.0,10.3,10.7
Annual,Less than 18 years,Percentage,Slovakia,:,24.7,24.5,22.7,23.3,21.0,18.4,19.7,24.7,25.3
Annual,Less than 18 years,Percentage,Türkiye,:,35.5,35.6,41.8,42.4,43.2,43.3,45.2,43.6,40.3
Annual,Less than 18 years,Percentage,United Kingdom,:,30.4,27.9,28.1 b,29.2,:,:,:,:,:
