Time frequency,National accounts indicator (ESA 2010),Sector,Unit of measure,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Net lending (+)/net borrowing (-),General government,Million euro (NSA),Austria,-3087.6,-6230.4,-13.2,-3716.3,-4854.2,-5532.3,-1953.3,-2613.7,-2298.7,-6455.2 p,-4326.1 p,-4512.8 p
Quarterly,Net lending (+)/net borrowing (-),General government,Million euro (NSA),Belgium,-290.5,-8646.7,198.7,-10698.1,-1213.6,-13177.1 p,363.0 p,-9866.8 p,-2290.0 p,-12512.8 p,-936.4 p,-11455.2 p
Quarterly,Net lending (+)/net borrowing (-),General government,Million euro (NSA),Bulgaria,-3555.1,-314.3,-301.2,-370.1,-1497.4,-320.0,-512.1,-405.5,-658.9,-822.4 p,-395.8 p,-1542.2 p
Quarterly,Net lending (+)/net borrowing (-),General government,Million euro (NSA),Switzerland,1499.5,2311.1,2687.6,2762.3,2214.3,1232.0,524.7,44.4,-201.7,-144.8 p,111.7 p,512.4 p
Quarterly,Net lending (+)/net borrowing (-),General government,Million euro (NSA),Cyprus,-66.7,264.4,-299.8,778.8,34.5,67.8,-260.8,872.8,-48.3,600.4 p,-39.2 p,867.5 p
Quarterly,Net lending (+)/net borrowing (-),General government,Million euro (NSA),Czechia,-3808.2,-2580.4,77.4,-2262.4,-4060.5,-4730.0,-742.8,-1959.9,-4518.3,-2470.4 p,45.2 p,-1365.6 p
Quarterly,Net lending (+)/net borrowing (-),General government,Million euro (NSA),Germany,-20065.0 p,-2569.0 p,2909.0 p,-31079.0 p,-54136.0 p,-22918.0 p,-16418.0 p,-32708.0 p,-35478.0 p,-29172.0 p,-15188.0 p,-31843.0 p
Quarterly,Net lending (+)/net borrowing (-),General government,Million euro (NSA),Denmark,2632.1,2943.8,4124.5,3355.7,2741.4,3997.2,3977.6,3537.8,935.0,4980.4 p,4852.2 p,2806.1 p
Quarterly,Net lending (+)/net borrowing (-),General government,Million euro (NSA),Euro area - 19 countries  (2015-2022),-97740.6,-116210.8,-72018.2,-123706.4,-162395.7,-143565.0,-116519.6,-118105.8,-142747.7,-146357.0,-106879.3,-88843.5
Quarterly,Net lending (+)/net borrowing (-),General government,Million euro (NSA),Euro area – 20 countries (from 2023),-98457.9,-116242.2,-71574.4,-122794.5,-163622.9,-143803.0,-116355.5,-117123.7,-144323.2,-146570.8,-107455.3,-88115.9
Quarterly,Net lending (+)/net borrowing (-),General government,Million euro (NSA),Estonia,-95.6,-291.4,194.5,-12.5,-282.1,-374.4,37.7,-190.3,-561.1,-427.1 p,-184.8 p,-34.1 p
Quarterly,Net lending (+)/net borrowing (-),General government,Million euro (NSA),Greece,-1799.0,-4314.0,699.0,-1258.0,-231.0,-4969.0,691.0,1383.0,-67.0,-3316.0 p,2759.0 p,3267.0 p
Quarterly,Net lending (+)/net borrowing (-),General government,Million euro (NSA),Spain,-28061.0,-6338.0,-28783.0,8057.0,-36041.0,-3518.0,-32244.0,8388.0,-25295.0,-6485.0 p,-27293.0 p,9318.0 p
Quarterly,Net lending (+)/net borrowing (-),General government,Million euro (NSA),European Union - 27 countries (from 2020),-125327.4,-121228.5,-63450.4,-131983.4,-200641.5,-157598.8,-122826.2,-133002.4,-188729.1,-158399.5,-121243.1,-112134.5
Quarterly,Net lending (+)/net borrowing (-),General government,Million euro (NSA),Finland,-458.0,74.0,2778.0,-2482.0,-847.0,-366.0,-485.0,-3938.0,-3494.0,-1634.0 p,-2147.0 p,-5678.0 p
Quarterly,Net lending (+)/net borrowing (-),General government,Million euro (NSA),France,-8309.1,-39208.5,-27480.2,-36605.2,-22479.7,-39470.1,-41872.8,-43684.5,-29817.5,-45547.2 p,-46141.7 p,-51910.0 p
Quarterly,Net lending (+)/net borrowing (-),General government,Million euro (NSA),Croatia,-717.3,-31.4,443.8,912.0,-1227.2,-238.0,164.0,982.1,-1575.6,-213.8 p,-576.0 p,727.6 p
Quarterly,Net lending (+)/net borrowing (-),General government,Million euro (NSA),Hungary,-4800.9,-1118.0,-661.8,-2371.2,-6036.4,-4118.9,-1526.0,-1966.2,-5525.4,-2627.2 p,-1198.6 p,-1575.8 p
Quarterly,Net lending (+)/net borrowing (-),General government,Million euro (NSA),Ireland,4706.7,-267.6,1657.8,1953.6,5254.0,598.2,1522.3,-198.1,5590.1,418.9 p,3875.0 p,15908.1 p
Quarterly,Net lending (+)/net borrowing (-),General government,Million euro (NSA),Iceland,-492.5,-27.4,-277.7,-368.8,-416.1,-10.3,-240.6,-39.8,-284.1,22.3 p,-532.8 p,-245.0 p
Quarterly,Net lending (+)/net borrowing (-),General government,Million euro (NSA),Italy,-30312.5,-53942.0,-28357.3,-45235.9,-34040.8,-55356.5,-26546.3,-33454.0,-37377.8,-43885.8 p,-17442.5 p,-12440.3 p
Quarterly,Net lending (+)/net borrowing (-),General government,Million euro (NSA),Lithuania,-456.9,94.2,765.1,100.2,-1436.1,-217.3,706.4,198.2,-1196.4,-171.7 p,459.2 p,-131.9 p
Quarterly,Net lending (+)/net borrowing (-),General government,Million euro (NSA),Luxembourg,-21.3,442.9,628.0,-110.9,-811.3,80.4,497.6,-196.9,-997.6,590.5 p,545.7 p,-139.2 p
Quarterly,Net lending (+)/net borrowing (-),General government,Million euro (NSA),Latvia,-1221.2,-176.9,-175.1,-33.9,-1367.7,-102.3,293.9,-170.6,-952.7,88.8 p,316.5 p,100.7 p
Quarterly,Net lending (+)/net borrowing (-),General government,Million euro (NSA),Malta,-260.0,-350.1,-83.2,-178.4,-342.7,-250.1,-14.6,-75.0,-600.4,-118.8 p,41.0 p,29.0 p
Quarterly,Net lending (+)/net borrowing (-),General government,Million euro (NSA),Netherlands,-3145.0,6369.0,3076.0,-6982.0,-2348.0,2793.0 p,-52.0 p,-5797.0 p,-764.0 p,2941.0 p,-758.0 p,-4628.0 p
Quarterly,Net lending (+)/net borrowing (-),General government,Million euro (NSA),Norway,22562.6,32164.7,34713.2,48886.5,29329.2,27187.5,20306.5,12549.1,13933.7,14872.6 p,17211.9 p,12855.2 p
Quarterly,Net lending (+)/net borrowing (-),General government,Million euro (NSA),Poland,-8422.3,594.4,-1151.9,-4229.4,-17732.4,-1545.8,-6276.9,-10117.4,-22321.8,-705.5 p,-14679.8 p,-13027.3 p
Quarterly,Net lending (+)/net borrowing (-),General government,Million euro (NSA),Portugal,-2134.8,-399.9,997.5,3983.1,-5338.0,808.4,638.9,5015.5,-3216.1,50.1 p,1582.8 p,4343.8 p
Quarterly,Net lending (+)/net borrowing (-),General government,Million euro (NSA),Romania,-6816.4,-4905.1,-1546.4,-4229.6,-7307.7,-5453.7,-3740.3,-4276.5,-7715.3,-7793.1 p,-4103.1 p,-6761.2 p
Quarterly,Net lending (+)/net borrowing (-),General government,Million euro (NSA),Sweden,-2098.7,393.1,7583.3,918.0,-3125.6,-1624.6,2349.9,-691.1,-4601.3,-2390.4 p,1692.2 p,-2552.5 p
Quarterly,Net lending (+)/net borrowing (-),General government,Million euro (NSA),Slovenia,-449.6,-401.0,-499.9,-191.0,-623.0,-518.7,-426.5,-212.9,-481.5,-204.0 p,-392.9 p,-89.3 p
Quarterly,Net lending (+)/net borrowing (-),General government,Million euro (NSA),Slovakia,-2213.6,-319.8,-230.1,4.0,-1291.8,-1143.0,-997.2,-857.6,-3401.6,-1117.2 p,-1608.7 p,184.1 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (NSA)",Austria,-2.8,-6.0,0.0,-3.3,-4.1,-4.8,-1.6,-2.2,-1.9,-5.5 p,-3.6 p,-3.8 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (NSA)",Belgium,-0.2,-6.6,0.1,-7.8,-0.8,-9.1 p,0.2 p,-6.9 p,-1.4 p,-8.5 p,-0.6 p,-7.7 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (NSA)",Bulgaria,-17.3,-1.8,-1.5,-1.6,-5.9,-1.6,-2.3,-1.6,-2.4,-3.7 p,-1.6 p,-5.6 p
Quarterly,Net lending (+)/net borrowing (-),General government,"Percentage of gross domestic product (GDP), (NSA)",Switzerland,0.8,1.2,1.4,1.4,1.1,0.6,0.3,0.0,-0.1,-0.1 p,0.1 p,0.2 p
