Time frequency,Business trend indicator,Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,Décembre 2023,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024
Monthly,Production (volume),MIG - non-durable consumer goods,"Index, 2021=100 (SCA)",Austria,115.2,115.8,112.8,116.9,119.6,116.7,116.6,117.6,118.3,118.5,114.6,117.0 p
Monthly,Production (volume),MIG - non-durable consumer goods,"Index, 2021=100 (SCA)",Bosnia and Herzegovina,93.8,:,:,:,:,:,:,:,:,:,:,:
Monthly,Production (volume),MIG - non-durable consumer goods,"Index, 2021=100 (SCA)",Belgium,93.3,89.9,84.9,89.9,90.4,94.3,79.4,92.8,91.7,94.7,82.3,101.0
Monthly,Production (volume),MIG - non-durable consumer goods,"Index, 2021=100 (SCA)",Bulgaria,100.1,100.9 p,99.5 p,98.4 p,98.7 p,97.0 p,98.7 p,98.5,98.4,98.9,100.4,98.2 p
Monthly,Production (volume),MIG - non-durable consumer goods,"Index, 2021=100 (SCA)",Switzerland,114.5,113.9,115.3,115.8,123.0,127.2,126.3,128.7,113.8,122.5,:,:
Monthly,Production (volume),MIG - non-durable consumer goods,"Index, 2021=100 (SCA)",Cyprus,109.7,109.8,108.9,113.2,109.2,112.5,111.0,109.9,111.1,111.6,111.9,112.8
Monthly,Production (volume),MIG - non-durable consumer goods,"Index, 2021=100 (SCA)",Czechia,102.2,102.8,104.8,105.0,103.5,104.2,103.4,102.8,102.2,102.3,102.0,101.6
Monthly,Production (volume),MIG - non-durable consumer goods,"Index, 2021=100 (SCA)",Germany,93.0,95.4,97.5,95.8,96.0,97.1,93.2,93.7,94.3,92.9,91.7,91.8
Monthly,Production (volume),MIG - non-durable consumer goods,"Index, 2021=100 (SCA)",Denmark,185.8,179.8,189.7,177.1,206.2,191.4,191.9,221.9,197.3,186.2,192.6,186.6
Monthly,Production (volume),MIG - non-durable consumer goods,"Index, 2021=100 (SCA)",Euro area - 19 countries  (2015-2022),104.6,104.1,103.9,100.9,104.6,106.6,104.3,106.1,106.3,:,:,:
