Time frequency,Activity and employment status,Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,Employed persons,Percentage of disposable income,Austria,:,78.2 i,74.5 i
Annual,Employed persons,Percentage of disposable income,Belgium,:,73.7 i,59 i
Annual,Employed persons,Percentage of disposable income,Bulgaria,:,72.4 i,59.3 i
Annual,Employed persons,Percentage of disposable income,Cyprus,:,90.8 i,81.3 i
Annual,Employed persons,Percentage of disposable income,Czechia,:,62.5 i,:
Annual,Employed persons,Percentage of disposable income,Germany,:,76 i,71.9 i
Annual,Employed persons,Percentage of disposable income,Denmark,:,64.6 i,57.1 i
Annual,Employed persons,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,76.7 i,68.5 i
Annual,Employed persons,Percentage of disposable income,Euro area – 20 countries (from 2023),:,76.8 i,68.6 i
Annual,Employed persons,Percentage of disposable income,Estonia,:,72.7 i,56 i
Annual,Employed persons,Percentage of disposable income,Greece,:,115.7 i,95 i
Annual,Employed persons,Percentage of disposable income,Spain,:,80.7 i,67.9 i
Annual,Employed persons,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,76.8 i,67.4 i
Annual,Employed persons,Percentage of disposable income,European Union - 27 countries (from 2020),:,76 i,67.4 i
Annual,Employed persons,Percentage of disposable income,Finland,:,80.1 i,:
Annual,Employed persons,Percentage of disposable income,France,:,70.5 i,66.4 i
Annual,Employed persons,Percentage of disposable income,Croatia,:,89 i,74.6 i
Annual,Employed persons,Percentage of disposable income,Hungary,:,82.9 i,74.7 i
Annual,Employed persons,Percentage of disposable income,Ireland,:,71 i,:
Annual,Employed persons,Percentage of disposable income,Lithuania,:,59.8 i,51.5 i
Annual,Employed persons,Percentage of disposable income,Luxembourg,:,74.1 i,66.7 i
Annual,Employed persons,Percentage of disposable income,Latvia,:,67.4 i,66.8 i
Annual,Employed persons,Percentage of disposable income,Malta,:,86 i,75.5 i
Annual,Employed persons,Percentage of disposable income,Netherlands,:,:,52.3 i
Annual,Employed persons,Percentage of disposable income,Poland,:,67.5 i,48.9 i
Annual,Employed persons,Percentage of disposable income,Portugal,96 i,83 i,:
Annual,Employed persons,Percentage of disposable income,Romania,:,90.9 i,81.9 i
Annual,Employed persons,Percentage of disposable income,Sweden,:,69.4 i,:
Annual,Employed persons,Percentage of disposable income,Slovenia,:,80.3 i,79.7 i
Annual,Employed persons,Percentage of disposable income,Slovakia,:,78.8 i,70.6 i
