Time frequency,Unit of measure,International Statistical Classification of Diseases and Related Health Problems (ICD-10 2010),Age class,Sex,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Austria,817.74,844.98,826.55,795.74,820.93,779.04,797.24,784.67,765.68,819.09,807.4
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Belgium,840.14,860.63,849.81,799.78,835.59,789.0,789.61,786.31,759.43,870.67,750.85
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Bulgaria,1394.04,1410.57,1309.79,1353.3,1361.1,1300.24,1321.86,1286.24,1261.39,1408.01,1706.98
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Switzerland,724.11,739.4,731.57,700.6,726.05,686.11,685.32,676.42,667.62,720.74,666.47
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Cyprus,909.11,916.04,794.57,845.27,899.62,831.92,904.04,811.5,834.87,841.74,921.6
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Czechia,1089.62,1088.39,1072.97,1007.87,1051.21,979.46,998.57,990.73,961.64,1085.53,1135.13
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Germany,876.27,879.11,890.72,840.85,876.31,837.39,845.37,853.59,821.26,837.16,854.23
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Denmark,945.47,926.73,910.66,871.92,876.93,867.05,851.97,866.05,827.3,816.87,840.06
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Estonia,1008.38,989.55,986.17,961.79,946.67,916.84,901.61,897.9,856.77,865.38,997.71
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Greece,846.8,874.67,816.16,806.54,843.38,806.37,826.86,778.72,799.83,830.25,894.05
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,Spain,693.42,702.85,663.2,656.46,686.92,648.4,658.51,648.0,619.3,721.26,643.49
Annual,Rate,All causes of death (A00-Y89) excluding S00-T98,Total,Females,European Union - 27 countries (from 2020),857.27,866.51,844.38,815.04,846.68,807.62,817.16,806.89,785.32,852.53,864.63
