Time frequency,Activity and employment status,Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,Employed persons,Percentage of disposable income,Austria,21.7 i,23.1 i,27.2 i
Annual,Employed persons,Percentage of disposable income,Belgium,17.5 i,28.3 i,41.9 i
Annual,Employed persons,Percentage of disposable income,Bulgaria,:,23.3 i,36.9 i
Annual,Employed persons,Percentage of disposable income,Cyprus,10.2 i,11 i,25.3 i
Annual,Employed persons,Percentage of disposable income,Czechia,28.9 i,31.2 i,36.1 i
Annual,Employed persons,Percentage of disposable income,Germany,20.6 i,22.2 i,24.8 i
Annual,Employed persons,Percentage of disposable income,Denmark,14.6 i,35.8 i,45.2 i
Annual,Employed persons,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,23.4 i,29 i
Annual,Employed persons,Percentage of disposable income,Euro area – 20 countries (from 2023),:,23.2 i,29 i
Annual,Employed persons,Percentage of disposable income,Estonia,37.5 i,38.8 i,46.1 i
Annual,Employed persons,Percentage of disposable income,Greece,-21.2 i,-16.4 i,9.1 i
Annual,Employed persons,Percentage of disposable income,Spain,17 i,18.3 i,32.9 i
Annual,Employed persons,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,23.2 i,30.6 i
Annual,Employed persons,Percentage of disposable income,European Union - 27 countries (from 2020),:,23.9 i,30.6 i
Annual,Employed persons,Percentage of disposable income,Finland,22.7 i,21.7 i,:
Annual,Employed persons,Percentage of disposable income,France,27.2 i,31.7 i,31.3 i
Annual,Employed persons,Percentage of disposable income,Croatia,11.9 i,10.6 i,27.2 i
Annual,Employed persons,Percentage of disposable income,Hungary,18.7 i,16.8 i,25.2 i
Annual,Employed persons,Percentage of disposable income,Ireland,21.6 i,27.6 i,:
Annual,Employed persons,Percentage of disposable income,Italy,23.5 i,:,:
Annual,Employed persons,Percentage of disposable income,Lithuania,28.4 i,37.9 i,50.5 i
Annual,Employed persons,Percentage of disposable income,Luxembourg,28.3 i,26.8 i,31.2 i
Annual,Employed persons,Percentage of disposable income,Latvia,15.3 i,31.6 i,35.9 i
Annual,Employed persons,Percentage of disposable income,Malta,14.9 i,18.4 i,30 i
Annual,Employed persons,Percentage of disposable income,Netherlands,:,25.7 i,30.3 i
Annual,Employed persons,Percentage of disposable income,Poland,27.7 i,31.9 i,53.2 i
Annual,Employed persons,Percentage of disposable income,Portugal,8.6 i,16.8 i,:
Annual,Employed persons,Percentage of disposable income,Romania,-5.5 i,12.1 i,9.1 i
Annual,Employed persons,Percentage of disposable income,Sweden,23.9 i,31.7 i,:
Annual,Employed persons,Percentage of disposable income,Slovenia,20.4 i,24.6 i,25.3 i
Annual,Employed persons,Percentage of disposable income,Slovakia,29.9 i,21 i,29 i
Annual,Employed persons,Percentage of disposable income,United Kingdom,28.5 i,19.3 i,:
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Austria,-21 i,-19.4 i,-1.2 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Belgium,-13.3 i,0.3 i,0.8 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Bulgaria,:,3.5 i,12.1 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Cyprus,-6 i,1.4 i,17.7 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Czechia,14.6 i,14.7 i,-5.2 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Germany,-6.9 i,-8.3 i,-3 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Denmark,-24.3 i,-12.7 i,3.8 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,2.3 i,6.7 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Euro area – 20 countries (from 2023),:,2.1 i,6.6 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Estonia,9.5 i,9 i,19 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Greece,-27.8 i,-2.3 i,11.8 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Spain,11.8 i,19 i,23.8 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,-1.5 i,7.1 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,European Union - 27 countries (from 2020),:,2 i,7.1 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Finland,-8.4 i,-13.1 i,:
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,France,12.8 i,14.4 i,17.5 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Croatia,-67.2 i,-58.1 i,-23.9 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Hungary,2.5 i,0.6 i,11.2 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Ireland,6.7 i,15.6 i,:
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Italy,25.4 i,:,:
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Lithuania,-12.1 i,5.4 i,23.7 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Luxembourg,23.5 i,20.3 i,21.7 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Latvia,-10.4 i,2.4 i,13.4 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Malta,7.9 i,15.4 i,22.9 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Netherlands,:,-9.6 i,-16.2 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Poland,13.6 i,15.5 i,38.1 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Portugal,-2.2 i,7.1 i,:
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Romania,-45.5 i,-50 i,-58 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Sweden,-12.2 i,-4.8 i,:
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Slovenia,-23.6 i,-44.6 i,6 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,Slovakia,15.1 i,10.2 i,5.8 i
Annual,Other persons outside the labour force (former name: inactive persons),Percentage of disposable income,United Kingdom,-4.7 i,-16.6 i,:
Annual,Not employed persons,Percentage of disposable income,Austria,12.4 i,17.8 i,17.5 i
Annual,Not employed persons,Percentage of disposable income,Belgium,-3.7 i,7.6 i,17.1 i
Annual,Not employed persons,Percentage of disposable income,Bulgaria,:,10.1 i,12.5 i
Annual,Not employed persons,Percentage of disposable income,Cyprus,15.9 i,9 i,24.7 i
Annual,Not employed persons,Percentage of disposable income,Czechia,15.7 i,17.5 i,22.4 i
Annual,Not employed persons,Percentage of disposable income,Germany,3.5 i,3.8 i,7.6 i
Annual,Not employed persons,Percentage of disposable income,Denmark,-10.9 i,10 i,21.6 i
Annual,Not employed persons,Percentage of disposable income,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,17 i,20 i
Annual,Not employed persons,Percentage of disposable income,Euro area – 20 countries (from 2023),:,16.7 i,19.9 i
Annual,Not employed persons,Percentage of disposable income,Estonia,32.1 i,26.4 i,32.7 i
Annual,Not employed persons,Percentage of disposable income,Greece,-1.6 i,4.1 i,21.7 i
Annual,Not employed persons,Percentage of disposable income,Spain,14.8 i,20.3 i,33.2 i
Annual,Not employed persons,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,14.9 i,19.9 i
Annual,Not employed persons,Percentage of disposable income,European Union - 27 countries (from 2020),:,16.6 i,19.9 i
Annual,Not employed persons,Percentage of disposable income,Finland,21.4 i,16.6 i,:
Annual,Not employed persons,Percentage of disposable income,France,31.6 i,38.3 i,30.4 i
Annual,Not employed persons,Percentage of disposable income,Croatia,-4.4 i,-0.7 i,12 i
Annual,Not employed persons,Percentage of disposable income,Hungary,13.8 i,11.4 i,16.2 i
