Time frequency,Person/support service,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Close person,Percentage,European Union (aggregate changing according to the context),61.1 e
Annual,Close person,Percentage,Finland,50.7
Annual,Close person,Percentage,France,69.1
Annual,Close person,Percentage,Croatia,66.5
Annual,Close person,Percentage,Hungary,50.1
Annual,Close person,Percentage,Ireland,63.6
Annual,Close person,Percentage,Lithuania,66.9
Annual,Close person,Percentage,Luxembourg,56.0
Annual,Close person,Percentage,Latvia,68.9
Annual,Close person,Percentage,Montenegro,28.9 u
Annual,Close person,Percentage,Malta,74.5
Annual,Close person,Percentage,Netherlands,62.3
Annual,Close person,Percentage,Poland,81.1
Annual,Close person,Percentage,Portugal,45.7 u
Annual,Close person,Percentage,Romania,54.6
Annual,Close person,Percentage,Serbia,70.1
Annual,Close person,Percentage,Sweden,50.4
Annual,Close person,Percentage,Slovenia,58.7
Annual,Close person,Percentage,Slovakia,: u
Annual,Close person,Percentage,Kosovo*,29.7 u
Annual,Health or social service,Percentage,Austria,19.3
Annual,Health or social service,Percentage,Belgium,33.3
Annual,Health or social service,Percentage,Bulgaria,33.2
Annual,Health or social service,Percentage,Cyprus,33.8
Annual,Health or social service,Percentage,Czechia,20.4
Annual,Health or social service,Percentage,Germany,25.2
Annual,Health or social service,Percentage,Denmark,: u
Annual,Health or social service,Percentage,Estonia,20.0
Annual,Health or social service,Percentage,Greece,18.3
Annual,Health or social service,Percentage,Spain,30.1
Annual,Health or social service,Percentage,European Union (aggregate changing according to the context),25.1 e
Annual,Health or social service,Percentage,Finland,20.3
Annual,Health or social service,Percentage,France,27.4
Annual,Health or social service,Percentage,Croatia,19.5
Annual,Health or social service,Percentage,Hungary,11.9
Annual,Health or social service,Percentage,Ireland,30.7
Annual,Health or social service,Percentage,Lithuania,17.2
Annual,Health or social service,Percentage,Luxembourg,33.4
Annual,Health or social service,Percentage,Latvia,18.0
Annual,Health or social service,Percentage,Montenegro,: u
Annual,Health or social service,Percentage,Malta,41.6
Annual,Health or social service,Percentage,Netherlands,29.5
Annual,Health or social service,Percentage,Poland,26.7
Annual,Health or social service,Percentage,Portugal,21.8 u
Annual,Health or social service,Percentage,Romania,24.1
Annual,Health or social service,Percentage,Serbia,25.1
Annual,Health or social service,Percentage,Sweden,26.5
Annual,Health or social service,Percentage,Slovenia,20.9 u
Annual,Health or social service,Percentage,Slovakia,: u
Annual,Health or social service,Percentage,Kosovo*,: u
Annual,"Health, social or support service or police",Percentage,Austria,28.5
Annual,"Health, social or support service or police",Percentage,Belgium,47.3
Annual,"Health, social or support service or police",Percentage,Bulgaria,40.0
Annual,"Health, social or support service or police",Percentage,Cyprus,38.3
Annual,"Health, social or support service or police",Percentage,Czechia,23.9
Annual,"Health, social or support service or police",Percentage,Germany,29.7
Annual,"Health, social or support service or police",Percentage,Denmark,: u
Annual,"Health, social or support service or police",Percentage,Estonia,34.1
Annual,"Health, social or support service or police",Percentage,Greece,26.4
Annual,"Health, social or support service or police",Percentage,Spain,39.7
Annual,"Health, social or support service or police",Percentage,European Union (aggregate changing according to the context),32.5 e
Annual,"Health, social or support service or police",Percentage,Finland,26.6
Annual,"Health, social or support service or police",Percentage,France,38.2
Annual,"Health, social or support service or police",Percentage,Croatia,28.9
Annual,"Health, social or support service or police",Percentage,Hungary,15.7
Annual,"Health, social or support service or police",Percentage,Ireland,40.9
Annual,"Health, social or support service or police",Percentage,Lithuania,33.5
Annual,"Health, social or support service or police",Percentage,Luxembourg,38.2
Annual,"Health, social or support service or police",Percentage,Latvia,37.4
Annual,"Health, social or support service or police",Percentage,Montenegro,: u
Annual,"Health, social or support service or police",Percentage,Malta,58.8
Annual,"Health, social or support service or police",Percentage,Netherlands,32.6
Annual,"Health, social or support service or police",Percentage,Poland,40.6
Annual,"Health, social or support service or police",Percentage,Portugal,31.2 u
Annual,"Health, social or support service or police",Percentage,Romania,26.9
Annual,"Health, social or support service or police",Percentage,Serbia,36.2
Annual,"Health, social or support service or police",Percentage,Sweden,33.6
Annual,"Health, social or support service or police",Percentage,Slovenia,31.7 u
Annual,"Health, social or support service or police",Percentage,Slovakia,: u
Annual,"Health, social or support service or police",Percentage,Kosovo*,: u
Annual,Police,Percentage,Austria,15.9
Annual,Police,Percentage,Belgium,34.4
Annual,Police,Percentage,Bulgaria,16.2
Annual,Police,Percentage,Cyprus,14.9
Annual,Police,Percentage,Czechia,10.1 u
Annual,Police,Percentage,Germany,12.4 u
Annual,Police,Percentage,Denmark,: u
Annual,Police,Percentage,Estonia,22.8
