Time frequency,Unit of measure,indic_en,product,geo\TIME_PERIOD,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
Annual,Thousand tonnes of oil equivalent,100100.0,0.0,DZ,179741.0,177289.0,176176.0,175192.0,164576.0,162043.0,157071.0,155606.0,148894.0,154834.0,154387.0,166184.0,165861.0,165241.0
Annual,Thousand tonnes of oil equivalent,100100.0,0.0,EG,78234.0,76987.0,79865.0,81891.0,86935.0,86571.0,86687.0,85660.0,82584.0,80176.0,76297.0,71732.0,:,:
Annual,Thousand tonnes of oil equivalent,100100.0,0.0,IL,1831.0,:,:,:,2903.0,3101.0,4032.0,2163.0,5882.1 b,6930.3,7590.9,8563.3,8990.1,:
Annual,Thousand tonnes of oil equivalent,100100.0,0.0,JO,252.0,223.0,212.0,265.0,251.0,252.0,223.0,261.0,258.0,250.0,304.6,510.4,582.1,593.8
Annual,Thousand tonnes of oil equivalent,100100.0,0.0,LB,99.0,70.0,62.0,46.0,60.0,92.0,92.0,129.0,122.0,56.0,87.0,87.0,99.0,:
Annual,Thousand tonnes of oil equivalent,100100.0,0.0,MA,2630.2,2492.5,2363.7,2214.9,2194.5,2245.2,2083.6,2021.4,2151.5,2083.3,2156.3,2223.6,2209.8,2441.1 p
Annual,Thousand tonnes of oil equivalent,100100.0,0.0,PS,229.3,197.3,210.9,201.0,201.4,267.7,266.6,251.1,243.8,280.2,272.8,290.8,233.5,:
Annual,Thousand tonnes of oil equivalent,100100.0,0.0,TN,:,:,:,:,:,8326.1,7638.6,7570.1,7306.4,6722.0,5220.0,5350.0,5533.3,5403.8
Annual,Thousand tonnes of oil equivalent,100300.0,0.0,DZ,1174.0,1356.0,1907.0,1946.0,2130.0,1819.0,2885.0,5335.0,5776.0,3778.0,4608.0,4124.0,4189.0,1000.0
Annual,Thousand tonnes of oil equivalent,100300.0,0.0,EG,7053.0,2526.0,2538.0,8051.0,6447.0,6080.0,5243.0,3035.0,3159.0,16514.0,21790.0,26511.0,:,:
Annual,Thousand tonnes of oil equivalent,100300.0,0.0,IL,23446.6,:,:,:,23839.0,24319.0,22709.0,25610.0,24520.7 b,22757.4,23411.8,21110.0,22309.9,:
Annual,Thousand tonnes of oil equivalent,100300.0,0.0,JO,7010.0,6994.0,7380.0,7288.0 p,7579.0,7570.0,7029.9 p,8029.0 p,7655.0,8449.0,8856.5,9739.7,10207.2,10269.7
Annual,Thousand tonnes of oil equivalent,100300.0,0.0,LB,4632.0,4521.0,3778.0,4504.0,5460.0,5772.0,6318.0,7132.0,6371.0,7422.0,7781.0,8170.0,8472.0,:
Annual,Thousand tonnes of oil equivalent,100300.0,0.0,MA,13928.2,14011.5,15173.3,14807.7,15586.2,17007.3,18401.9,20670.7,20016.1,20673.3,19212.6,18579.7,19492.4,19950.2 p
Annual,Thousand tonnes of oil equivalent,100300.0,0.0,PS,1188.8,1035.7,1075.3,1030.5,1057.5,1070.3,1194.6,1191.3,1264.4,1362.1,1516.3,1609.0,1624.2,:
Annual,Thousand tonnes of oil equivalent,100300.0,0.0,TN,:,:,:,:,:,6066.9,5617.6,6700.0,6679.4,7385.0,7275.0,7521.0,8115.3,8224.4
Annual,Thousand tonnes of oil equivalent,100500.0,0.0,DZ,144391.0,139788.0,137454.0,134663.0,122126.0,119804.0,113731.0,109414.0,101203.0,99103.0,98978.0,110402.0,108017.0,101400.0
Annual,Thousand tonnes of oil equivalent,100500.0,0.0,EG,25440.0,15866.0,18138.0,20203.0,22597.0,23850.0,21502.0,18105.0,15352.0,16061.0,14455.0,15887.0,:,:
Annual,Thousand tonnes of oil equivalent,100500.0,0.0,IL,3965.5,:,:,:,4078.8,4403.7,4918.5,3925.0,6619.1 b,7073.5,6794.4,6251.8,6364.1,:
Annual,Thousand tonnes of oil equivalent,100500.0,0.0,JO,1.0,3.0,45.0,81.0,36.0,118.3 p,15.4 p,26.0 p,14.0,16.0,12.5,699.0 p,929.8,:
Annual,Thousand tonnes of oil equivalent,100500.0,0.0,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Thousand tonnes of oil equivalent,100500.0,0.0,MA,1381.4,1163.5,1273.8,720.6,844.3,681.8,895.5,1165.7,1402.6,1216.1,478.8,23.6,13.9,30.1 p
Annual,Thousand tonnes of oil equivalent,100500.0,0.0,PS,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.3,0.3,1.4,0.5,0.4,0.3,:
