Time frequency,Stock or flow,"Standard International Trade Classification (SITC Rev. 4, 2006)",Geopolitical entity (partner),Unit of measure,Geopolitical entity (reporting)\Time,Décembre 2023,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024
Monthly,Imports,"Food, drinks and tobacco",Rest of the world,Percentage change m/m-12 (NSA),Euro area – 20 countries (from 2023),-6.4,3.4,4.5,-6.9,13.3,2.7,-1.9,17.7,5.7,12.2,17.8,12.6
Monthly,Imports,"Food, drinks and tobacco",Rest of the world,Percentage change m/m-12 (NSA),European Union - 27 countries (from 2020),-9.4,-1.8,2.5,-9.1,12.1,3.8,-1.3,19.4,8.7,13.6,21.2,18.7
Monthly,Imports,"Food, drinks and tobacco",Rest of the world,Percentage change m/m-1 (SA),Euro area – 20 countries (from 2023),1.6,2.3,3.9,-2.5,4.2,0.8,-2.1,3.9,-0.5,0.0,3.3,0.8
Monthly,Imports,"Food, drinks and tobacco",Rest of the world,Percentage change m/m-1 (SA),European Union - 27 countries (from 2020),3.1,0.2,6.3,-3.3,4.8,1.5,-2.5,3.9,1.2,-0.9,4.8,2.3
Monthly,Imports,"Food, drinks and tobacco",Rest of the world,Trade value in million euro (SA),Euro area – 20 countries (from 2023),15073.8,15426.6,16034.4,15638.9,16294.8,16431.4,16093.6,16714.8,16629.0,16637.1,17188.4,17317.8
Monthly,Imports,"Food, drinks and tobacco",Rest of the world,Trade value in million euro (SA),European Union - 27 countries (from 2020),11861.3,11887.7,12642.3,12230.5,12813.8,13005.1,12680.4,13180.6,13339.6,13222.9,13858.8,14183.8
