Time frequency,Quantile,Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,First quintile,Purchasing power standard (PPS),Austria,821.0,644.0,698.0
Annual,First quintile,Purchasing power standard (PPS),Belgium,633.0,422.0,367.0
Annual,First quintile,Purchasing power standard (PPS),Bulgaria,56.0,87.0,89.0
Annual,First quintile,Purchasing power standard (PPS),Cyprus,165.0,139.0,133 e
Annual,First quintile,Purchasing power standard (PPS),Czechia,318.0,285.0,:
Annual,First quintile,Purchasing power standard (PPS),Germany,467 e,552 e,575 e
Annual,First quintile,Purchasing power standard (PPS),Denmark,865.0,922.0,691.0
Annual,First quintile,Purchasing power standard (PPS),Estonia,119.0,203 e,205 e
Annual,First quintile,Purchasing power standard (PPS),Greece,180.0,189.0,126.0
Annual,First quintile,Purchasing power standard (PPS),Spain,357.0,282.0,136.0
Annual,First quintile,Purchasing power standard (PPS),Finland,622.0,479.0,:
Annual,First quintile,Purchasing power standard (PPS),France,523.0,523 e,511 e
Annual,First quintile,Purchasing power standard (PPS),Croatia,189.0,244.0,203.0
Annual,First quintile,Purchasing power standard (PPS),Hungary,225.0,149.0,140.0
Annual,First quintile,Purchasing power standard (PPS),Ireland,866.0,475.0,:
Annual,First quintile,Purchasing power standard (PPS),Lithuania,94.0,136.0,114.0
Annual,First quintile,Purchasing power standard (PPS),Luxembourg,703.0,442.0,491.0
Annual,First quintile,Purchasing power standard (PPS),Latvia,149.0,185.0,161.0
Annual,First quintile,Purchasing power standard (PPS),Montenegro,93.0,130.0,30.0
Annual,First quintile,Purchasing power standard (PPS),North Macedonia,86.0,167.0,:
Annual,First quintile,Purchasing power standard (PPS),Malta,461.0,380.0,361 e
Annual,First quintile,Purchasing power standard (PPS),Netherlands,:,560.0,550 e
Annual,First quintile,Purchasing power standard (PPS),Norway,:,861.0,:
Annual,First quintile,Purchasing power standard (PPS),Poland,243.0,223.0,202.0
Annual,First quintile,Purchasing power standard (PPS),Portugal,186.0,142.0,:
Annual,First quintile,Purchasing power standard (PPS),Romania,96.0,119.0,:
Annual,First quintile,Purchasing power standard (PPS),Serbia,:,99.0,55.0
Annual,First quintile,Purchasing power standard (PPS),Sweden,844 e,1154 e,:
Annual,First quintile,Purchasing power standard (PPS),Slovenia,479.0,429.0,370.0
Annual,First quintile,Purchasing power standard (PPS),Slovakia,185.0,313.0,178.0
Annual,First quintile,Purchasing power standard (PPS),Türkiye,65.0,104.0,:
Annual,First quintile,Purchasing power standard (PPS),United Kingdom,554.0,486.0,:
Annual,First quintile,Purchasing power standard (PPS),Kosovo*,:,31.0,:
Annual,Second quintile,Purchasing power standard (PPS),Austria,1171.0,845.0,918.0
Annual,Second quintile,Purchasing power standard (PPS),Belgium,909.0,606.0,479.0
Annual,Second quintile,Purchasing power standard (PPS),Bulgaria,101.0,137.0,116.0
Annual,Second quintile,Purchasing power standard (PPS),Cyprus,593.0,345.0,296 e
Annual,Second quintile,Purchasing power standard (PPS),Czechia,472.0,422.0,:
Annual,Second quintile,Purchasing power standard (PPS),Germany,726 e,903 e,799 e
Annual,Second quintile,Purchasing power standard (PPS),Denmark,1171.0,1122.0,863.0
Annual,Second quintile,Purchasing power standard (PPS),Estonia,203.0,287 e,251 e
Annual,Second quintile,Purchasing power standard (PPS),Greece,291.0,207.0,147.0
Annual,Second quintile,Purchasing power standard (PPS),Spain,555.0,408.0,267.0
Annual,Second quintile,Purchasing power standard (PPS),Finland,771.0,640.0,:
Annual,Second quintile,Purchasing power standard (PPS),France,662.0,686 e,628 e
Annual,Second quintile,Purchasing power standard (PPS),Croatia,323.0,380.0,295.0
Annual,Second quintile,Purchasing power standard (PPS),Hungary,333.0,232.0,201.0
Annual,Second quintile,Purchasing power standard (PPS),Ireland,1173.0,886.0,:
Annual,Second quintile,Purchasing power standard (PPS),Lithuania,224.0,232.0,191.0
Annual,Second quintile,Purchasing power standard (PPS),Luxembourg,985.0,745.0,669.0
Annual,Second quintile,Purchasing power standard (PPS),Latvia,241.0,283.0,217.0
Annual,Second quintile,Purchasing power standard (PPS),Montenegro,171.0,237.0,66.0
Annual,Second quintile,Purchasing power standard (PPS),North Macedonia,79.0,99.0,:
Annual,Second quintile,Purchasing power standard (PPS),Malta,767.0,577.0,527 e
Annual,Second quintile,Purchasing power standard (PPS),Netherlands,:,653.0,683 e
Annual,Second quintile,Purchasing power standard (PPS),Norway,:,995.0,:
Annual,Second quintile,Purchasing power standard (PPS),Poland,427.0,305.0,217.0
Annual,Second quintile,Purchasing power standard (PPS),Portugal,357.0,270.0,:
Annual,Second quintile,Purchasing power standard (PPS),Romania,140.0,154.0,:
Annual,Second quintile,Purchasing power standard (PPS),Serbia,:,193.0,96.0
Annual,Second quintile,Purchasing power standard (PPS),Sweden,901 e,1060 e,:
Annual,Second quintile,Purchasing power standard (PPS),Slovenia,699.0,575.0,552.0
Annual,Second quintile,Purchasing power standard (PPS),Slovakia,307.0,438.0,228.0
Annual,Second quintile,Purchasing power standard (PPS),Türkiye,133.0,217.0,:
Annual,Second quintile,Purchasing power standard (PPS),United Kingdom,758.0,787.0,:
Annual,Second quintile,Purchasing power standard (PPS),Kosovo*,:,40.0,:
Annual,Third quintile,Purchasing power standard (PPS),Austria,1441.0,1156.0,1108.0
Annual,Third quintile,Purchasing power standard (PPS),Belgium,1042.0,828.0,624.0
Annual,Third quintile,Purchasing power standard (PPS),Bulgaria,139.0,158.0,146.0
Annual,Third quintile,Purchasing power standard (PPS),Cyprus,1031.0,534.0,513 e
Annual,Third quintile,Purchasing power standard (PPS),Czechia,590.0,529.0,:
Annual,Third quintile,Purchasing power standard (PPS),Germany,955 e,1166 e,1137 e
Annual,Third quintile,Purchasing power standard (PPS),Denmark,1556.0,1408.0,1061.0
Annual,Third quintile,Purchasing power standard (PPS),Estonia,261.0,429 e,417 e
Annual,Third quintile,Purchasing power standard (PPS),Greece,421.0,385.0,240.0
Annual,Third quintile,Purchasing power standard (PPS),Spain,822.0,574.0,381.0
Annual,Third quintile,Purchasing power standard (PPS),Finland,1078.0,746.0,:
Annual,Third quintile,Purchasing power standard (PPS),France,904.0,872 e,851 e
Annual,Third quintile,Purchasing power standard (PPS),Croatia,464.0,555.0,506.0
Annual,Third quintile,Purchasing power standard (PPS),Hungary,443.0,293.0,292.0
Annual,Third quintile,Purchasing power standard (PPS),Ireland,1450.0,947.0,:
Annual,Third quintile,Purchasing power standard (PPS),Lithuania,238.0,358.0,209.0
Annual,Third quintile,Purchasing power standard (PPS),Luxembourg,950.0,922.0,869.0
