Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage of government expenditure,Austria,1.50 d,1.55 d,1.52 d,1.56 d,1.61,1.59 d,1.55 d,1.56 d,1.52 d,1.44 d,1.52 d,1.68 p
Annual,Percentage of government expenditure,Belgium,1.14,1.14,1.22,1.13,1.18,1.27,1.22,1.33,1.25,1.31,1.3,1.17 p
Annual,Percentage of government expenditure,Bulgaria,0.7,0.65,0.57,0.59,0.57,0.6,0.55,0.61,0.57,0.56,0.53,0.57
Annual,Percentage of government expenditure,Switzerland,2.59,:,2.58,2.62,:,2.97 b,2.85,2.9,2.72,2.77,2.97,:
Annual,Percentage of government expenditure,Cyprus,0.85,0.78,0.72,0.82,0.84,0.84,0.73,0.9,1.2,1.06,1.07,1.15
Annual,Percentage of government expenditure,Czechia,1.43,1.51,1.47,1.43,1.47,1.54,1.52,1.51,1.41,1.35,1.27,1.15 p
Annual,Percentage of government expenditure,Germany,1.95,2.01,1.97,1.99,2.04,2.09,2.13,2.17,2.16,2.2,2.24,2.23 p
Annual,Percentage of government expenditure,Denmark,1.73,1.83,1.81,1.84,1.72,1.75 p,1.76 p,1.8,1.82 e,1.82 e,1.82 e,1.86 e
Annual,Percentage of government expenditure,Euro area - 19 countries  (2015-2022),1.40 e,1.40 e,1.39 e,1.38,1.41,1.43,1.47,1.49,1.48,1.51,1.53,1.53 p
Annual,Percentage of government expenditure,Euro area – 20 countries (from 2023),1.40 e,1.40 e,1.39 e,1.39,1.41,1.43,1.47,1.49,1.48,1.51,1.53,1.53 p
Annual,Percentage of government expenditure,Estonia,2.07 e,2.12 e,1.87 e,1.72,1.69,1.53,1.79,1.6,1.52,1.65,1.82,2.03
Annual,Percentage of government expenditure,Greece,0.68,0.75,0.86,0.96,1.08,1.03,1.27,1.46,1.47,1.48,1.4,1.15 bp
Annual,Percentage of government expenditure,Spain,1.21,1.2,1.23,1.27,1.28,1.25,1.25,1.23,1.2,1.23,1.25,1.29 p
Annual,Percentage of government expenditure,European Union - 27 countries (from 2020),1.38 e,1.39 e,1.38 e,1.38 e,1.39,1.41 p,1.43 p,1.46,1.44 e,1.48 e,1.48 e,1.47 e
Annual,Percentage of government expenditure,Finland,1.85,1.74,1.69,1.68,1.52,1.55,1.57,1.57,1.68,1.6,1.68,1.52 p
Annual,Percentage of government expenditure,France,1.25,1.21,1.18,1.12,1.1,1.12,1.17,1.14,1.11,1.18,1.15,1.14
Annual,Percentage of government expenditure,Croatia,1.51,1.26,1.43,1.66,1.58,1.6,1.66,1.65,1.45,1.47,1.47,1.39 p
Annual,Percentage of government expenditure,Hungary,0.69,1.29 d,0.55,0.55,0.83,0.74,0.65,0.59,1.03,0.93,0.63,0.48 p
Annual,Percentage of government expenditure,Ireland,1.01,0.99,0.99,0.96,0.95,0.95,0.92,0.93,0.85,0.9,0.9,0.93
Annual,Percentage of government expenditure,Iceland,2.03,1.6,1.57,1.7,1.75,1.85,1.95,1.9,2.02,2.37,2.32,2.25
Annual,Percentage of government expenditure,Italy,1.07,1.03,1.02,1.01,1.05,1.04,1.05,1.13,1.17,1.14,1.16,1.16 p
Annual,Percentage of government expenditure,Japan,1.83 d,1.76 d,1.76 d,1.66 d,:,:,:,:,:,:,:,:
Annual,Percentage of government expenditure,South Korea,3.55,3.78,3.74,3.74,:,:,:,:,:,:,:,:
Annual,Percentage of government expenditure,Lithuania,0.99,1.01,0.99,0.93,0.92,0.94,0.86,0.89,0.77,0.83,0.9,1.01 p
Annual,Percentage of government expenditure,Luxembourg,1.37,1.48,1.51,1.53,1.51,1.45,1.41,1.43,1.24,1.37,1.26,1.12 p
Annual,Percentage of government expenditure,Latvia,0.38,0.37,0.42,0.49,0.55,0.58,0.56,0.59,0.62,0.57,0.59,0.71
Annual,Percentage of government expenditure,Malta,0.64,0.66,0.54,0.65,0.54,0.53,0.55,0.6,0.56,0.54,0.58,0.68
Annual,Percentage of government expenditure,Netherlands,1.52,1.55,1.57,1.58,1.59,1.58,1.69,1.65,1.59,1.71,1.81,2.02 p
Annual,Percentage of government expenditure,Norway,1.81,1.83,1.85,1.89,1.94,2.04,2.02,1.99 b,1.97,1.89,1.9,1.78
Annual,Percentage of government expenditure,Poland,0.82 b,0.85,1.01,0.98,0.8,0.87,0.69,1.06 b,0.9,1.04,0.97,0.98 p
Annual,Percentage of government expenditure,Portugal,0.72,0.79,0.7,0.79,0.85,0.82,0.84,0.82,0.75,0.76,0.75,0.71 p
Annual,Percentage of government expenditure,Romania,0.57,0.58 b,0.6,0.72 e,0.81,0.56,0.5,0.53,0.43,0.41,0.35,0.31
Annual,Percentage of government expenditure,Russia,1.49,1.62,1.43,1.53,:,:,:,:,:,:,:,:
Annual,Percentage of government expenditure,Sweden,1.63,1.59,1.62,1.58,1.57,1.57,1.5,1.49,1.46,1.58,1.53,1.55 be
Annual,Percentage of government expenditure,Slovenia,1.06,0.79,0.84,0.84,0.87,0.9,0.96,1.04,1.01,1.02,1.14,1.36
Annual,Percentage of government expenditure,Slovakia,0.97,0.91,0.88,0.91,0.87,0.92,0.92,0.94,0.92,0.9,0.89,0.71 p
Annual,Percentage of government expenditure,United Kingdom,1.17,1.28,1.27,1.25,1.24,1.27,1.33,1.36,:,:,:,:
Annual,Percentage of government expenditure,United States,1.81,1.7,1.7,1.69,:,:,:,:,:,:,:,:
