Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2010.0
Annual,Euro,Ostösterreich,40936.0
Annual,Euro,Südösterreich,36348.0
Annual,Euro,Westösterreich,38054.0
Annual,Euro,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,49994.0
Annual,Euro,Vlaams Gewest,42373.0
Annual,Euro,Région wallonne,41491.0
Annual,Euro,Severna i Yugoiztochna Bulgaria,4094.0
Annual,Euro,Yugozapadna i Yuzhna tsentralna Bulgaria,4996.0
Annual,Euro,Schweiz/Suisse/Svizzera,64448.0
Annual,Euro,Kýpros,26927.0
Annual,Euro,Czechia,12592.0
Annual,Euro,Baden-Württemberg,41320.0
Annual,Euro,Bayern,40549.0
Annual,Euro,Berlin,37782.0
Annual,Euro,Brandenburg,30798.0
Annual,Euro,Bremen,41230.0
Annual,Euro,Hamburg,44843.0
Annual,Euro,Hessen,43383.0
Annual,Euro,Mecklenburg-Vorpommern,28438.0
Annual,Euro,Niedersachsen,36200.0
Annual,Euro,Nordrhein-Westfalen,40207.0
Annual,Euro,Rheinland-Pfalz,38111.0
Annual,Euro,Saarland,37191.0
Annual,Euro,Sachsen,30196.0
Annual,Euro,Sachsen-Anhalt,29838.0
Annual,Euro,Schleswig-Holstein,35163.0
Annual,Euro,Thüringen,29279.0
Annual,Euro,Denmark,52407.0
Annual,Euro,Eesti,10395.0
Annual,Euro,Voreia Ellada (NUTS 2010),22487.0
Annual,Euro,Kentriki Ellada (NUTS 2010),23247.0
Annual,Euro,Attiki,27262.0
Annual,Euro,"Nisia Aigaiou, Kriti",23781.0
Annual,Euro,Noroeste,25277.0
Annual,Euro,Noreste,29038.0
Annual,Euro,Comunidad de Madrid,29382.0
Annual,Euro,Centro (ES),24850.0
Annual,Euro,Este,27579.0
Annual,Euro,Sur,24856.0
Annual,Euro,Canarias,22755.0
Annual,Euro,Manner-Suomi,40243.0
Annual,Euro,Åland,45886.0
Annual,Euro,Ile de France,42881.0
Annual,Euro,Bassin Parisien (NUTS 2013),30356.0
Annual,Euro,Nord-Pas-de-Calais (NUTS 2013),30905.0
Annual,Euro,Est (FR) (NUTS 2013),30595.0
Annual,Euro,Ouest (FR) (NUTS 2013),29475.0
Annual,Euro,Sud-Ouest (FR) (NUTS 2013),31292.0
Annual,Euro,Centre-Est (FR) (NUTS 2013),31985.0
Annual,Euro,Méditerranée (NUTS 2013),32186.0
Annual,Euro,Hrvatska,12494.0
Annual,Euro,Közép-Magyarország,12140.0
Annual,Euro,Dunántúl,8835.0
Annual,Euro,Alföld és Észak,8051.0
Annual,Euro,Ireland,42546.0
Annual,Euro,Ísland,31766.0
Annual,Euro,Nord-Ovest,33211.0
Annual,Euro,Sud,29461.0
Annual,Euro,Isole,30451.0
Annual,Euro,Nord-Est,30896.0
Annual,Euro,Centro (IT),32183.0
Annual,Euro,Lithuania,7138.0
Annual,Euro,Luxembourg,51663.0
Annual,Euro,Latvia,8357.0
Annual,Euro,Severna Makedonija,5808.0
Annual,Euro,Malta,18744.0
Annual,Euro,Noord-Nederland,37192.0
Annual,Euro,Oost-Nederland,40285.0
Annual,Euro,West-Nederland,42909.0
Annual,Euro,Zuid-Nederland,38599.0
Annual,Euro,Norway,53982.0
Annual,Euro,Region Centralny (NUTS 2013),12580.0
Annual,Euro,Makroregion południowy,10404.0
Annual,Euro,Region Wschodni (NUTS 2013),8772.0
Annual,Euro,Makroregion północno-zachodni,9528.0
Annual,Euro,Makroregion południowo-zachodni,10278.0
Annual,Euro,Makroregion północny,9441.0
Annual,Euro,Continente,18472.0
Annual,Euro,Região Autónoma dos Açores,14241.0
Annual,Euro,Região Autónoma da Madeira,16382.0
Annual,Euro,Macroregiunea Unu,5202.0
Annual,Euro,Macroregiunea Doi,4846.0
Annual,Euro,Macroregiunea Trei,7515.0
Annual,Euro,Macroregiunea Patru,5104.0
Annual,Euro,Östra Sverige,40776.0
Annual,Euro,Södra Sverige,37234.0
Annual,Euro,Norra Sverige,35796.0
Annual,Euro,Slovenia,21135.0
Annual,Euro,Slovakia,10232.0
Annual,Euro,Türkiye,10413.0
Annual,Euro,North East (UK) (NUTS 2021),31238.0
Annual,Euro,North West (UK) (NUTS 2021),31557.0
Annual,Euro,Yorkshire and The Humber (NUTS 2021),30979.0
Annual,Euro,East Midlands (UK) (NUTS 2021),31522.0
Annual,Euro,West Midlands (UK) (NUTS 2021),31881.0
Annual,Euro,East of England (NUTS 2021),33277.0
Annual,Euro,London (NUTS 2021),55451.0
Annual,Euro,South East (UK) (NUTS 2021),37007.0
Annual,Euro,South West (UK) (NUTS 2021),31915.0
Annual,Euro,Wales (NUTS 2021),29287.0
Annual,Euro,Scotland (NUTS 2021),32756.0
Annual,Euro,Northern Ireland (UK) (NUTS 2021),29710.0
