Time frequency,Unit of measure,Transport coverage,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Million vehicle-kilometres (VKM),International transport,Belgium,:,61.0,57.0,61.0,52.0,37.0,:,:,:,:,:,:
Annual,Million vehicle-kilometres (VKM),International transport,Bulgaria,:,61.6,50.4,72.2,106.6,128.4,63.8,200.4,22.6,30.4,44.9,62.6
Annual,Million vehicle-kilometres (VKM),International transport,Estonia,:,20.0,18.0,30.0,25.0,31.0,32.0,34.0,11.0,4.0,10.0,19.0
Annual,Million vehicle-kilometres (VKM),International transport,Finland,:,7.0,7.0,6.0,6.0,6.0,:,:,:,:,:,:
Annual,Million vehicle-kilometres (VKM),International transport,Iceland,:,:,:,:,:,:,:,:,:,0.0,:,:
Annual,Million vehicle-kilometres (VKM),International transport,North Macedonia,:,:,:,17.974,13.59,19.4,36.067,53.788,12.824,13.539,14.444,15.628
Annual,Million vehicle-kilometres (VKM),International transport,Malta,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:
Annual,Million vehicle-kilometres (VKM),International transport,Poland,:,104.0,113.0,108.0,108.0,108.0,99.0,105.0,60.0,50.0,85.0,108.0
Annual,Million vehicle-kilometres (VKM),International transport,Portugal,:,52.0,43.0,43.09,52.1,43.77,41.24,37.7,8.86,14.95,31.950 p,37.69
Annual,Million vehicle-kilometres (VKM),International transport,Slovenia,:,:,:,:,:,:,:,:,11.0,18 b,25 b,33 p
Annual,Million vehicle-kilometres (VKM),International transport - incoming,Czechia,:,24.0,:,:,:,:,:,:,:,:,:,:
Annual,Million vehicle-kilometres (VKM),International transport - incoming,Lithuania,:,26.2,26.7,30.8,32.6,38.8,40.2,43.7,11.9,8.2,20.7,33.4
Annual,Million vehicle-kilometres (VKM),International transport - incoming,Malta,:,: m,: m,: m,: m,: m,: m,: m,: m,: m,:,:
Annual,Million vehicle-kilometres (VKM),International transport - incoming,Slovenia,:,:,:,:,:,:,:,:,:,:,25 b,33 p
Annual,Million vehicle-kilometres (VKM),International transport - occasional,Belgium,:,61.0,57.0,61.0,52.0,37.0,:,:,:,:,:,:
