Time frequency,Stock or flow,"Standard International Trade Classification (SITC Rev. 4, 2006)",Geopolitical entity (partner),Unit of measure,Geopolitical entity (reporting)\Time,Décembre 2023,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024
Monthly,Exports,"Food, drinks and tobacco",Rest of the world,Percentage change m/m-12 (NSA),Euro area – 20 countries (from 2023),-5.8,3.8,4.0,-4.9,11.8,1.5,-4.9,13.0,2.4,5.5,10.3,1.7
Monthly,Exports,"Food, drinks and tobacco",Rest of the world,Percentage change m/m-12 (NSA),European Union - 27 countries (from 2020),-6.3,1.3,2.5,-6.9,9.0,0.6,-6.2,13.1,1.4,2.9,8.4,0.1
Monthly,Exports,"Food, drinks and tobacco",Rest of the world,Percentage change m/m-1 (SA),Euro area – 20 countries (from 2023),3.2,1.3,0.3,0.1,1.2,-1.6,0.5,1.2,0.0,-0.1,-1.5,0.7
Monthly,Exports,"Food, drinks and tobacco",Rest of the world,Percentage change m/m-1 (SA),European Union - 27 countries (from 2020),1.2,1.7,0.0,1.5,-0.7,0.2,0.1,2.0,-1.6,-0.8,-0.3,0.4
Monthly,Exports,"Food, drinks and tobacco",Rest of the world,Trade value in million euro (SA),Euro area – 20 countries (from 2023),19167.7,19409.3,19461.7,19482.2,19722.3,19398.2,19490.1,19730.5,19736.2,19721.0,19427.7,19564.8
Monthly,Exports,"Food, drinks and tobacco",Rest of the world,Trade value in million euro (SA),European Union - 27 countries (from 2020),16911.2,17195.0,17199.7,17461.5,17339.3,17381.0,17399.1,17751.3,17464.4,17323.7,17268.3,17338.8
