Time frequency,Unit of measure,Rail network Segment (2015),Train category\Time,2015.0
Annual,Number,Delta - Karlovac,Goods trains,2691.0
Annual,Number,Delta - Karlovac,Passenger trains,5944.0
Annual,Number,Karlovac - O¿tarije,Goods trains,3547.0
Annual,Number,Karlovac - O¿tarije,Passenger trains,5520.0
Annual,Number,O¿tarije - Ogulin,Goods trains,3426.0
Annual,Number,O¿tarije - Ogulin,Passenger trains,3992.0
Annual,Number,Ogulin - Moravice,Goods trains,2593.0
Annual,Number,Ogulin - Moravice,Passenger trains,3061.0
Annual,Number,Moravice - Lokve,Goods trains,2582.0
Annual,Number,Moravice - Lokve,Passenger trains,2293.0
Annual,Number,Lokve - ¿krljevo,Goods trains,2584.0
Annual,Number,Lokve - ¿krljevo,Passenger trains,2296.0
Annual,Number,¿krljevo - Su¿ak Pecine,Goods trains,1934.0
Annual,Number,¿krljevo - Su¿ak Pecine,Passenger trains,2295.0
Annual,Number,Su¿ak Pecine - Rijeka,Goods trains,1365.0
Annual,Number,Su¿ak Pecine - Rijeka,Passenger trains,2293.0
Annual,Number,Beli Manastir DG - Beli Manastir,Goods trains,200.0
Annual,Number,Beli Manastir DG - Beli Manastir,Passenger trains,520.0
Annual,Number,Beli Manastir - Osijek,Goods trains,384.0
Annual,Number,Beli Manastir - Osijek,Passenger trains,2960.0
Annual,Number,Osijek - Strizivojna Vrpolje,Goods trains,44.0
Annual,Number,Osijek - Strizivojna Vrpolje,Passenger trains,2016.0
Annual,Number,Strizivojna Vrpolje - Slavonski ¿amac,Goods trains,182.0
Annual,Number,Strizivojna Vrpolje - Slavonski ¿amac,Passenger trains,0.0
Annual,Number,Slavonski ¿amac - Slavonski ¿amac DG,Goods trains,182.0
Annual,Number,Slavonski ¿amac - Slavonski ¿amac DG,Passenger trains,0.0
Annual,Number,Metkovic DG - Metkovic,Goods trains,1349.0
Annual,Number,Metkovic DG - Metkovic,Passenger trains,1.0
Annual,Number,Metkovic - Ploce,Goods trains,1349.0
Annual,Number,Metkovic - Ploce,Passenger trains,1.0
Annual,Number,O¿tarije - Krpelj,Goods trains,0.0
Annual,Number,O¿tarije - Krpelj,Passenger trains,725.0
Annual,Number,Krpelj - Vrhovine,Goods trains,1040.0
Annual,Number,Krpelj - Vrhovine,Passenger trains,1640.0
Annual,Number,Vrhovine - Gracac,Goods trains,1008.0
Annual,Number,Vrhovine - Gracac,Passenger trains,962.0
Annual,Number,Gracac - Knin,Goods trains,1004.0
Annual,Number,Gracac - Knin,Passenger trains,962.0
Annual,Number,Knin - Perkovic,Goods trains,1028.0
Annual,Number,Knin - Perkovic,Passenger trains,2404.0
Annual,Number,Perkovic - Solin,Goods trains,739.0
Annual,Number,Perkovic - Solin,Passenger trains,4367.0
Annual,Number,Solin - Split Predgrade,Goods trains,128.0
Annual,Number,Solin - Split Predgrade,Passenger trains,4986.0
Annual,Number,Ogulin - Krpelj,Goods trains,1053.0
Annual,Number,Ogulin - Krpelj,Passenger trains,1206.0
Annual,Number,Knin - Bibinje,Goods trains,74.0
Annual,Number,Knin - Bibinje,Passenger trains,0.0
Annual,Number,Bibinje - Zadar,Goods trains,21.0
Annual,Number,Bibinje - Zadar,Passenger trains,0.0
Annual,Number,Perkovic - Ra¿ine,Goods trains,451.0
Annual,Number,Perkovic - Ra¿ine,Passenger trains,2278.0
Annual,Number,Ra¿ine - ¿ibenik,Goods trains,12.0
Annual,Number,Ra¿ine - ¿ibenik,Passenger trains,2277.0
Annual,Number,Split Predgrade - Split,Goods trains,0.0
Annual,Number,Split Predgrade - Split,Passenger trains,5233.0
Annual,Number,Vara¿din - Koprivnica,Goods trains,212.0
Annual,Number,Vara¿din - Koprivnica,Passenger trains,3070.0
Annual,Number,Koprivnica - Klo¿tar,Goods trains,340.0
Annual,Number,Koprivnica - Klo¿tar,Passenger trains,2934.0
Annual,Number,Klo¿tar - Virovitica,Goods trains,395.0
Annual,Number,Klo¿tar - Virovitica,Passenger trains,4228.0
Annual,Number,Virovitica - Pcelic,Goods trains,357.0
Annual,Number,Virovitica - Pcelic,Passenger trains,2897.0
Annual,Number,Pcelic - Na¿ice,Goods trains,311.0
Annual,Number,Pcelic - Na¿ice,Passenger trains,2899.0
Annual,Number,Na¿ice - Bizovac,Goods trains,299.0
Annual,Number,Na¿ice - Bizovac,Passenger trains,3791.0
Annual,Number,Bizovac - Osijek,Goods trains,318.0
Annual,Number,Bizovac - Osijek,Passenger trains,3771.0
Annual,Number,Osijek - Dalj,Goods trains,71.0
Annual,Number,Osijek - Dalj,Passenger trains,952.0
Annual,Number,Cakovec DG - Cakovec,Goods trains,111.0
Annual,Number,Cakovec DG - Cakovec,Passenger trains,1956.0
Annual,Number,Cakovec - Kotoriba,Goods trains,170.0
Annual,Number,Cakovec - Kotoriba,Passenger trains,3972.0
Annual,Number,Kotoriba - Kotoriba DG,Goods trains,129.0
Annual,Number,Kotoriba - Kotoriba DG,Passenger trains,0.0
Annual,Number,Rijeka - ¿apjane,Goods trains,768.0
Annual,Number,Rijeka - ¿apjane,Passenger trains,777.0
Annual,Number,¿apjane - ¿apjane DG,Goods trains,548.0
Annual,Number,¿apjane - ¿apjane DG,Passenger trains,771.0
Annual,Number,Vinkovci - Vukovar Borovo Naselje,Goods trains,470.0
Annual,Number,Vinkovci - Vukovar Borovo Naselje,Passenger trains,1318.0
Annual,Number,Vukovar Borovo Naselje - Vukovar,Goods trains,415.0
Annual,Number,Vukovar Borovo Naselje - Vukovar,Passenger trains,1317.0
Annual,Number,¿krljevo - Bakar,Goods trains,1421.0
Annual,Number,¿krljevo - Bakar,Passenger trains,0.0
Annual,Number,Su¿ak Pecine - Rijeka Brajdica,Goods trains,573.0
Annual,Number,Su¿ak Pecine - Rijeka Brajdica,Passenger trains,0.0
Annual,Number,Sunja - Volinja,Goods trains,279.0
Annual,Number,Sunja - Volinja,Passenger trains,1484.0
Annual,Number,Volinja - Volinja DG,Goods trains,254.0
Annual,Number,Volinja - Volinja DG,Passenger trains,368.0
Annual,Number,Vukovar Borovo Naselje - Dalj,Goods trains,51.0
Annual,Number,Vukovar Borovo Naselje - Dalj,Passenger trains,0.0
Annual,Number,Dalj - Erdut,Goods trains,56.0
Annual,Number,Dalj - Erdut,Passenger trains,514.0
Annual,Number,Erdut - Erdut DG,Goods trains,27.0
Annual,Number,Erdut - Erdut DG,Passenger trains,26.0
Annual,Number,Vara¿din - Cakovec,Goods trains,199.0
Annual,Number,Vara¿din - Cakovec,Passenger trains,6060.0
Annual,Number,Savski Marof - Savski Marof DG,Goods trains,1671.0
Annual,Number,Savski Marof - Savski Marof DG,Passenger trains,2307.0
Annual,Number,Zapre¿ic - Savski Marof,Goods trains,1723.0
Annual,Number,Zapre¿ic - Savski Marof,Passenger trains,13429.0
Annual,Number,Zagreb ZK - Zapre¿ic,Goods trains,2067.0
Annual,Number,Zagreb ZK - Zapre¿ic,Passenger trains,18669.0
Annual,Number,Zagreb GK - Zagreb ZK,Goods trains,1656.0
Annual,Number,Zagreb GK - Zagreb ZK,Passenger trains,18669.0
Annual,Number,Zagreb Borongaj - Zagreb GK,Goods trains,1661.0
Annual,Number,Zagreb Borongaj - Zagreb GK,Passenger trains,24757.0
Annual,Number,Sesvete - Zagreb Borongaj,Goods trains,1609.0
Annual,Number,Sesvete - Zagreb Borongaj,Passenger trains,24332.0
Annual,Number,Dugo Selo - Sesvete,Goods trains,4422.0
Annual,Number,Dugo Selo - Sesvete,Passenger trains,24398.0
Annual,Number,Kutina - Dugo Selo,Goods trains,2174.0
Annual,Number,Kutina - Dugo Selo,Passenger trains,7366.0
Annual,Number,Banova Jaruga - Kutina,Goods trains,2010.0
Annual,Number,Banova Jaruga - Kutina,Passenger trains,6913.0
Annual,Number,Novska - Banova Jaruga,Goods trains,1972.0
Annual,Number,Novska - Banova Jaruga,Passenger trains,6912.0
Annual,Number,Nova Kapela Batrina - Novska,Goods trains,1927.0
Annual,Number,Nova Kapela Batrina - Novska,Passenger trains,6080.0
Annual,Number,Slavonski Brod - Nova Kapela Batrina,Goods trains,1969.0
Annual,Number,Slavonski Brod - Nova Kapela Batrina,Passenger trains,6234.0
Annual,Number,Strizivojna Vrpolje - Slavonski Brod,Goods trains,1971.0
Annual,Number,Strizivojna Vrpolje - Slavonski Brod,Passenger trains,6573.0
Annual,Number,Vinkovci - Strizivojna Vrpolje,Goods trains,2140.0
Annual,Number,Vinkovci - Strizivojna Vrpolje,Passenger trains,6423.0
Annual,Number,Tovarnik - Vinkovci,Goods trains,1419.0
Annual,Number,Tovarnik - Vinkovci,Passenger trains,1756.0
Annual,Number,Tovarnik DG - Tovarnik,Goods trains,1404.0
Annual,Number,Tovarnik DG - Tovarnik,Passenger trains,902.0
