Time frequency,Economical indicator for structural business statistics,Size classes in number of persons employed,Cross border trade,Geopolitical entity (reporting)\Time,2004.0
Annual,Enterprises - number,From 1 to 49 persons employed,Enterprises not carrying out cross border trade,Germany,224649.0
Annual,Enterprises - number,From 1 to 49 persons employed,Enterprises not carrying out cross border trade,Denmark,20442.0
Annual,Enterprises - number,From 1 to 49 persons employed,Enterprises not carrying out cross border trade,Greece,91180.0
Annual,Enterprises - number,From 1 to 49 persons employed,Enterprises not carrying out cross border trade,Spain,290411.0
Annual,Enterprises - number,From 1 to 49 persons employed,Enterprises not carrying out cross border trade,Finland,15132.0
Annual,Enterprises - number,From 1 to 49 persons employed,Enterprises not carrying out cross border trade,Lithuania,4090.0
Annual,Enterprises - number,From 1 to 49 persons employed,Enterprises not carrying out cross border trade,Latvia,3471.0
Annual,Enterprises - number,From 1 to 49 persons employed,Enterprises not carrying out cross border trade,Malta,2169.0
Annual,Enterprises - number,From 1 to 49 persons employed,Enterprises not carrying out cross border trade,Norway,29236.0
Annual,Enterprises - number,From 1 to 49 persons employed,Enterprises not carrying out cross border trade,Poland,37142.0
Annual,Enterprises - number,From 1 to 49 persons employed,Enterprises not carrying out cross border trade,Romania,39353.0
Annual,Enterprises - number,From 1 to 49 persons employed,Enterprises not carrying out cross border trade,Sweden,114405.0
Annual,Enterprises - number,From 1 to 49 persons employed,Enterprises not carrying out cross border trade,Slovenia,11857.0
Annual,Enterprises - number,From 1 to 49 persons employed,Enterprises not carrying out cross border trade,Slovakia,3578.0
Annual,Enterprises - number,From 1 to 49 persons employed,Enterprises not carrying out cross border trade,United Kingdom,256476.0
Annual,Enterprises - number,From 1 to 49 persons employed,Total,Germany,282307.0
Annual,Enterprises - number,From 1 to 49 persons employed,Total,Denmark,26911.0
Annual,Enterprises - number,From 1 to 49 persons employed,Total,Greece,92635.0
Annual,Enterprises - number,From 1 to 49 persons employed,Total,Spain,296033.0
Annual,Enterprises - number,From 1 to 49 persons employed,Total,Finland,17573.0
Annual,Enterprises - number,From 1 to 49 persons employed,Total,Lithuania,5035.0
Annual,Enterprises - number,From 1 to 49 persons employed,Total,Latvia,4327.0
Annual,Enterprises - number,From 1 to 49 persons employed,Total,Malta,2255.0
Annual,Enterprises - number,From 1 to 49 persons employed,Total,Norway,35516.0
Annual,Enterprises - number,From 1 to 49 persons employed,Total,Poland,40463.0
Annual,Enterprises - number,From 1 to 49 persons employed,Total,Romania,41127.0
Annual,Enterprises - number,From 1 to 49 persons employed,Total,Sweden,128102.0
Annual,Enterprises - number,From 1 to 49 persons employed,Total,Slovenia,13644.0
Annual,Enterprises - number,From 1 to 49 persons employed,Total,Slovakia,5050.0
Annual,Enterprises - number,From 1 to 49 persons employed,Total,United Kingdom,307478.0
Annual,Enterprises - number,From 1 to 49 persons employed,Enterprises carrying out cross border trade,Germany,57658.0
Annual,Enterprises - number,From 1 to 49 persons employed,Enterprises carrying out cross border trade,Denmark,6469.0
Annual,Enterprises - number,From 1 to 49 persons employed,Enterprises carrying out cross border trade,Greece,1455.0
Annual,Enterprises - number,From 1 to 49 persons employed,Enterprises carrying out cross border trade,Spain,5622.0
Annual,Enterprises - number,From 1 to 49 persons employed,Enterprises carrying out cross border trade,Finland,2441.0
Annual,Enterprises - number,From 1 to 49 persons employed,Enterprises carrying out cross border trade,Lithuania,945.0
Annual,Enterprises - number,From 1 to 49 persons employed,Enterprises carrying out cross border trade,Latvia,856.0
Annual,Enterprises - number,From 1 to 49 persons employed,Enterprises carrying out cross border trade,Malta,86.0
Annual,Enterprises - number,From 1 to 49 persons employed,Enterprises carrying out cross border trade,Norway,6280.0
Annual,Enterprises - number,From 1 to 49 persons employed,Enterprises carrying out cross border trade,Poland,3321.0
Annual,Enterprises - number,From 1 to 49 persons employed,Enterprises carrying out cross border trade,Romania,1774.0
Annual,Enterprises - number,From 1 to 49 persons employed,Enterprises carrying out cross border trade,Sweden,13697.0
Annual,Enterprises - number,From 1 to 49 persons employed,Enterprises carrying out cross border trade,Slovenia,1787.0
Annual,Enterprises - number,From 1 to 49 persons employed,Enterprises carrying out cross border trade,Slovakia,1472.0
Annual,Enterprises - number,From 1 to 49 persons employed,Enterprises carrying out cross border trade,United Kingdom,51002.0
Annual,Enterprises - number,50 persons employed or more,Enterprises not carrying out cross border trade,Germany,2376.0
Annual,Enterprises - number,50 persons employed or more,Enterprises not carrying out cross border trade,Denmark,118.0
Annual,Enterprises - number,50 persons employed or more,Enterprises not carrying out cross border trade,Greece,100.0
Annual,Enterprises - number,50 persons employed or more,Enterprises not carrying out cross border trade,Spain,1192.0
Annual,Enterprises - number,50 persons employed or more,Enterprises not carrying out cross border trade,Finland,131.0
Annual,Enterprises - number,50 persons employed or more,Enterprises not carrying out cross border trade,Lithuania,25.0
Annual,Enterprises - number,50 persons employed or more,Enterprises not carrying out cross border trade,Latvia,16.0
Annual,Enterprises - number,50 persons employed or more,Enterprises not carrying out cross border trade,Malta,9.0
Annual,Enterprises - number,50 persons employed or more,Enterprises not carrying out cross border trade,Norway,109.0
Annual,Enterprises - number,50 persons employed or more,Enterprises not carrying out cross border trade,Poland,52.0
Annual,Enterprises - number,50 persons employed or more,Enterprises not carrying out cross border trade,Romania,243.0
Annual,Enterprises - number,50 persons employed or more,Enterprises not carrying out cross border trade,Sweden,179.0
Annual,Enterprises - number,50 persons employed or more,Enterprises not carrying out cross border trade,Slovenia,18.0
Annual,Enterprises - number,50 persons employed or more,Enterprises not carrying out cross border trade,Slovakia,27.0
Annual,Enterprises - number,50 persons employed or more,Enterprises not carrying out cross border trade,United Kingdom,16035.0
Annual,Enterprises - number,50 persons employed or more,Total,Germany,4161.0
Annual,Enterprises - number,50 persons employed or more,Total,Denmark,315.0
Annual,Enterprises - number,50 persons employed or more,Total,Greece,145.0
Annual,Enterprises - number,50 persons employed or more,Total,Spain,1699.0
Annual,Enterprises - number,50 persons employed or more,Total,Finland,322.0
Annual,Enterprises - number,50 persons employed or more,Total,Lithuania,69.0
Annual,Enterprises - number,50 persons employed or more,Total,Latvia,45.0
Annual,Enterprises - number,50 persons employed or more,Total,Malta,13.0
Annual,Enterprises - number,50 persons employed or more,Total,Norway,252.0
Annual,Enterprises - number,50 persons employed or more,Total,Poland,97.0
Annual,Enterprises - number,50 persons employed or more,Total,Romania,332.0
Annual,Enterprises - number,50 persons employed or more,Total,Sweden,539.0
Annual,Enterprises - number,50 persons employed or more,Total,Slovenia,44.0
Annual,Enterprises - number,50 persons employed or more,Total,Slovakia,100.0
Annual,Enterprises - number,50 persons employed or more,Total,United Kingdom,28486.0
Annual,Enterprises - number,50 persons employed or more,Enterprises carrying out cross border trade,Germany,1785.0
Annual,Enterprises - number,50 persons employed or more,Enterprises carrying out cross border trade,Denmark,197.0
Annual,Enterprises - number,50 persons employed or more,Enterprises carrying out cross border trade,Greece,45.0
Annual,Enterprises - number,50 persons employed or more,Enterprises carrying out cross border trade,Spain,507.0
Annual,Enterprises - number,50 persons employed or more,Enterprises carrying out cross border trade,Finland,191.0
Annual,Enterprises - number,50 persons employed or more,Enterprises carrying out cross border trade,Lithuania,44.0
Annual,Enterprises - number,50 persons employed or more,Enterprises carrying out cross border trade,Latvia,29.0
Annual,Enterprises - number,50 persons employed or more,Enterprises carrying out cross border trade,Malta,4.0
Annual,Enterprises - number,50 persons employed or more,Enterprises carrying out cross border trade,Norway,143.0
Annual,Enterprises - number,50 persons employed or more,Enterprises carrying out cross border trade,Poland,45.0
Annual,Enterprises - number,50 persons employed or more,Enterprises carrying out cross border trade,Romania,89.0
Annual,Enterprises - number,50 persons employed or more,Enterprises carrying out cross border trade,Sweden,360.0
Annual,Enterprises - number,50 persons employed or more,Enterprises carrying out cross border trade,Slovenia,26.0
Annual,Enterprises - number,50 persons employed or more,Enterprises carrying out cross border trade,Slovakia,73.0
Annual,Enterprises - number,50 persons employed or more,Enterprises carrying out cross border trade,United Kingdom,12451.0
Annual,Enterprises - number,Total,Enterprises not carrying out cross border trade,Germany,227026.0
Annual,Enterprises - number,Total,Enterprises not carrying out cross border trade,Denmark,20560.0
Annual,Enterprises - number,Total,Enterprises not carrying out cross border trade,Greece,91280.0
Annual,Enterprises - number,Total,Enterprises not carrying out cross border trade,Spain,291603.0
