Time frequency,Waste categories,Hazard class,Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,2004.0,2006.0,2008.0,2010.0,2012.0,2014.0,2016.0,2018.0,2020.0,2022.0
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Albania,:,:,:,:,:,:,:,:,:,4 d
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Austria,124.0,116.0,160.0,176.0,126.0,149.0,144.0,149.0,144.0,163.0
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Bosnia and Herzegovina,:,:,:,:,246.0,2.0,4.0,4.0,:,4.0
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Belgium,499.0,383 e,553.0,438.0,251.0,264.0,336.0,343.0,342.0,189.0
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Bulgaria,1542.0,1783.0,1741.0,1833.0,1835.0,1690.0,1870.0,1912.0,2012.0,2172.0
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Cyprus,153.0,23.0,30.0,45.0,36.0,203.0,187.0,258.0,36.0,63.0
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Czechia,142.0,128.0,145.0,130.0,141.0,110.0,103.0,159 b,164.0,146.0
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Germany,242.0,263.0,272.0,244.0,273.0,269.0,280.0,292.0,282.0,272.0
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Denmark,59.0,69.0,76.0,221.0,218.0,304.0,351.0,361.0,235.0,223.0
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Estonia,5382.0,4914.0,5638.0,6731.0,6925.0,7919.0,7358.0,8230.0,1198 b,1130.0
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Greece,31.0,25.0,23.0,26.0,27.0,20.0,47.0,58.0,52.0,71 p
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Spain,73.0,91.0,79.0,64.0,67.0,64.0,68.0,69.0,70.0,74.0
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),186.0,213.0,200.0,206.0,203.0,201.0,212.0,228.0,214.0,266.0
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,European Union - 28 countries (2013-2020),180.0,204.0,190.0,191.0,189.0,187.0,197.0,210.0,:,:
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Finland,412.0,515.0,407.0,477.0,305.0,366.0,435.0,344.0,592.0,5267.0
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,France,140 i,140 i,170.0,178.0,173.0,163.0,165.0,180.0,166.0,167.0
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Croatia,26.0,179.0,51.0,17.0,28.0,31.0,42.0,43.0,46.0,47.0
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Hungary,135 e,129 e,67 e,54.0,71.0,60.0,47.0,56.0,59.0,62.0
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Ireland,178.0,166 e,166.0,432.0,104.0,104.0,112.0,130.0,178.0,130.0
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Iceland,29.0,:,285.0,26.0,51.0,111.0,143.0,92.0,113.0,:
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Italy,106.0,128.0,117.0,144.0,151.0,146.0,160.0,168.0,168.0,171.0
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Liechtenstein,:,:,203.0,232.0,99.0,154.0,96.0,69.0,28.0,32.0
Annual,Total waste,Hazardous,All NACE activities plus households,Kilograms per capita,Lithuania,27.0,29.0,36.0,34.0,46.0,56.0,61.0,69.0,92.0,85.0
