Time frequency,Unit of measure,Degree of urbanisation,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0
Annual,Percentage,Urban areas,Algeria,:,96.2,:,:,:,:,96.4 d,:,:,:,:
Annual,Percentage,Urban areas,Egypt,82.5 e,:,:,:,:,:,:,:,:,:,:
Annual,Percentage,Urban areas,Jordan,:,65.2,:,:,:,:,:,:,:,:,:
Annual,Percentage,Urban areas,Libya,:,:,:,:,98.1,98.1,:,:,:,:,:
Annual,Percentage,Urban areas,Morocco,66.0,64.6,64.1,65.9,66.4,65.6,65.5,62.9,63.6,63.9,61.4
Annual,Percentage,Rural areas,Algeria,:,92.2,:,:,:,:,95.8 d,:,:,:,:
Annual,Percentage,Rural areas,Jordan,:,84.2,:,:,:,:,:,:,:,:,:
Annual,Percentage,Rural areas,Libya,:,:,:,:,66.0,66.0,:,:,:,:,:
Annual,Percentage,Rural areas,Morocco,91.7,88.7,89.4,90.9,88.4,88.8,91.4,92.2,92.1,91.1,91.0
Annual,Percentage,Total,Algeria,:,94.6,:,:,:,:,96.1 d,:,:,:,:
Annual,Percentage,Total,Jordan,:,68.3,:,:,:,:,:,:,:,:,:
Annual,Percentage,Total,Libya,:,:,:,:,94.4,94.0,:,:,:,:,:
Annual,Percentage,Total,Morocco,76.1,74.0,73.8,75.0,74.6,74.1,74.8,73.2,73.6,73.2,71.4
