Time frequency,Stock or flow,Unit of measure,Geopolitical entity (reporting)\Time,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Imports,Percentage,Croatia,49.3,49.2,47.5,48.6,51.4,52.9,48.7
Annual,Imports,Percentage,Hungary,63.2,62.7,61.5,59.6,62.1,63.5,63.7
Annual,Imports,Percentage,Ireland,36.7,38.8,37.3,43.3,46.7,53.0,51.3
Annual,Imports,Percentage,Italy,55.9,56.7,55.9,55.9,58.5,62.0,59.2
Annual,Imports,Percentage,Lithuania,53.6,55.4,54.6,52.1,55.9,58.1,54.2
Annual,Imports,Percentage,Luxembourg,44.8,47.4,43.7,45.5,49.9,52.3,48.4
Annual,Imports,Percentage,Latvia,43.3,45.3,42.1,43.2,47.0,48.6,44.4
Annual,Imports,Percentage,Malta,37.0,40.3,34.0,39.0,37.8,38.7,42.1
Annual,Imports,Percentage,Netherlands,50.0,50.9,50.3,48.4,51.1,54.8,53.2
Annual,Imports,Percentage,Poland,58.0,57.9,56.5,55.3,57.5,60.0,57.4
Annual,Imports,Percentage,Portugal,55.6,56.3,54.1,54.8,57.9,60.4,56.6
Annual,Imports,Percentage,Romania,62.1,61.8,60.5,58.7,59.9,63.1,59.5
Annual,Imports,Percentage,Sweden,49.1,50.6,49.1,46.9,49.4,53.5,51.2
Annual,Imports,Percentage,Slovenia,53.8,53.9,52.4,53.0,56.9,63.4,64.4
Annual,Imports,Percentage,Slovakia,59.5,61.9,61.6,60.9,62.4,63.6,62.4
Annual,Total,Million euro,Austria,161417.0,171400.3,169911.7,155684.4,193285.5,233310.8,216943.8
Annual,Total,Million euro,Belgium,393820.8,431336.6,423078.3,386388.1,512745.6,739798.3,613250.5
Annual,Total,Million euro,Bulgaria,33692.3,35592.2,36638.4,34109.5,44373.8,63410.4,54131.3
Annual,Total,Million euro,Cyprus,2832.9,3332.2,3167.8,2912.7,3721.6,5416.8,4892.7
Annual,Total,Million euro,Czechia,163852.3,173401.3,174019.3,157324.6,192833.7,238905.8,230635.4
Annual,Total,Million euro,Germany,1136506.4,1199269.2,1184553.4,1090177.2,1302100.8,1672898.3,1511889.4
Annual,Total,Million euro,Denmark,78491.9,81437.3,85908.0,83527.5,96968.4,115443.5,108432.0
Annual,Total,Million euro,Estonia,12683.6,14981.3,14710.4,14324.3,20097.3,23523.4,18539.3
Annual,Total,Million euro,Greece,39133.3,46221.7,45785.0,40655.8,55204.1,82702.9,70710.4
Annual,Total,Million euro,Spain,287500.9,308725.4,307067.7,265250.1,344126.1,471389.1,423977.4
Annual,Total,Million euro,European Union - 27 countries (from 2020),1857356.6,1993032.7,2029285.6,1802450.1,2206327.9,3057882.0,2715992.1
Annual,Total,Million euro,Finland,68289.9,73802.6,73139.7,64088.4,81673.0,105022.3,88470.5
Annual,Total,Million euro,France,489195.9,513985.5,516549.6,433769.5,525260.5,705433.9,657472.2
Annual,Total,Million euro,Croatia,18109.3,19414.9,19876.6,19606.8,25515.8,36379.8,31785.2
Annual,Total,Million euro,Hungary,111257.6,115921.9,119738.6,111049.1,133918.7,171115.7,171780.8
Annual,Total,Million euro,Ireland,98458.0,115557.0,123360.3,131142.6,143900.3,233142.1,218619.4
Annual,Total,Million euro,Italy,427956.8,454313.0,452227.8,406039.9,518056.1,705017.9,635254.7
Annual,Total,Million euro,Lithuania,26995.2,29921.7,31311.7,29106.2,38459.9,52553.3,41733.4
Annual,Total,Million euro,Luxembourg,17552.3,18292.9,17846.7,15788.5,19701.6,23457.8,20778.4
Annual,Total,Million euro,Latvia,12824.6,14797.0,14311.8,14234.0,19503.5,26489.4,21403.0
Annual,Total,Million euro,Malta,3506.3,3911.5,3986.6,3460.0,3872.6,5295.8,5450.6
Annual,Total,Million euro,Netherlands,511559.8,549431.1,561863.6,504196.0,639606.6,863404.9,806301.3
Annual,Total,Million euro,Poland,219897.3,238226.1,246926.8,238076.9,303290.4,381676.6,367800.1
Annual,Total,Million euro,Portugal,67128.8,71839.1,73112.5,64566.1,81274.1,108094.0,100196.7
Annual,Total,Million euro,Romania,83226.7,92210.5,93548.5,83892.7,104123.8,134578.7,127574.2
Annual,Total,Million euro,Sweden,136015.0,143005.6,141093.7,128463.0,159414.0,207325.7,189562.2
Annual,Total,Million euro,Slovenia,35365.0,39185.2,41467.0,39814.7,53147.0,84163.5,86586.0
Annual,Total,Million euro,Slovakia,75957.1,82690.4,82303.7,74225.9,92642.5,113941.4,110035.6
Annual,Total,Percentage,Austria,53.5,54.1,52.9,52.7,54.8,55.8,54.7
Annual,Total,Percentage,Belgium,54.0,55.5,54.3,54.1,56.4,62.9,60.0
Annual,Total,Percentage,Bulgaria,61.4,61.7,60.4,60.9,62.5,64.8,61.2
Annual,Total,Percentage,Cyprus,26.5,25.8,29.5,29.0,31.6,35.8,29.7
Annual,Total,Percentage,Czechia,53.9,53.1,51.7,49.8,52.2,52.7,51.5
Annual,Total,Percentage,Germany,51.5,52.0,51.7,51.3,53.3,57.6,54.8
Annual,Total,Percentage,Denmark,46.5,46.5,47.0,47.1,47.5,47.8,46.5
Annual,Total,Percentage,Estonia,49.5,51.7,51.2,51.8,55.4,54.0,50.3
Annual,Total,Percentage,Greece,53.0,54.2,52.7,52.5,54.4,56.7,54.7
Annual,Total,Percentage,Spain,50.2,51.6,50.5,49.5,52.4,56.2,52.9
Annual,Total,Percentage,European Union - 27 countries (from 2020),50.5,51.4,51.1,50.6,52.6,56.7,54.7
Annual,Total,Percentage,Finland,59.1,60.0,58.7,58.0,60.9,62.3,59.9
Annual,Total,Percentage,France,49.1,49.4,48.5,47.7,49.0,52.4,50.6
Annual,Total,Percentage,Croatia,50.1,50.3,49.1,51.0,53.5,54.6,50.5
Annual,Total,Percentage,Hungary,59.4,59.1,57.6,56.4,58.7,60.8,60.5
Annual,Total,Percentage,Ireland,48.9,50.7,51.7,54.2,55.0,68.0,65.9
Annual,Total,Percentage,Italy,51.2,51.8,51.0,51.1,52.9,56.4,53.6
Annual,Total,Percentage,Lithuania,50.7,52.0,52.1,51.7,54.6,55.6,51.3
Annual,Total,Percentage,Luxembourg,52.8,55.0,50.5,53.2,56.2,58.7,55.1
Annual,Total,Percentage,Latvia,48.4,50.3,47.9,48.6,52.7,53.8,49.7
Annual,Total,Percentage,Malta,44.9,46.5,42.4,46.2,44.9,47.3,50.8
Annual,Total,Percentage,Netherlands,48.4,48.7,48.0,46.3,48.9,52.6,50.7
Annual,Total,Percentage,Poland,53.5,53.3,52.4,51.1,53.1,55.4,53.4
Annual,Total,Percentage,Portugal,53.9,53.9,52.3,53.0,55.4,57.6,54.9
Annual,Total,Percentage,Romania,62.5,61.7,60.8,59.3,60.8,62.3,60.0
Annual,Total,Percentage,Sweden,52.3,52.3,51.3,49.9,51.9,55.3,53.2
Annual,Total,Percentage,Slovenia,53.7,53.5,52.2,52.3,54.6,63.5,64.7
Annual,Total,Percentage,Slovakia,52.1,52.4,51.4,50.0,52.8,54.4,51.6
