Time frequency,Agricultural area,Eurofarm indicators,Unit of measure,Age class,Geopolitical entity (reporting)\Time,2005.0,2007.0,2010.0,2013.0
Annual,Total,hold: Total number of holdings,Thousand,From 35 to 44 years,Slovenia,11.07,9.8,10.44,10.39
Annual,Total,hold: Total number of holdings,Thousand,From 35 to 44 years,Slovakia,9.57,8.31,3.64,3.64
Annual,Total,hold: Total number of holdings,Thousand,From 35 to 44 years,United Kingdom,45.67,33.96,24.78,20.32
Annual,Total,hold: Total number of holdings,Thousand,From 45 to 54 years,Austria,52.86,55.01,53.64,51.21
Annual,Total,hold: Total number of holdings,Thousand,From 45 to 54 years,Belgium,13.52,13.72,13.78,12.41
Annual,Total,hold: Total number of holdings,Thousand,From 45 to 54 years,Bulgaria,96.15,86.1,68.5,47.0
Annual,Total,hold: Total number of holdings,Thousand,From 45 to 54 years,Switzerland,:,:,20.44,:
Annual,Total,hold: Total number of holdings,Thousand,From 45 to 54 years,Cyprus,12.69,10.72,9.74,7.59
Annual,Total,hold: Total number of holdings,Thousand,From 45 to 54 years,Czechia,12.08,10.73,6.14,6.24
Annual,Total,hold: Total number of holdings,Thousand,From 45 to 54 years,Germany,126.22,125.74,109.27,106.02
Annual,Total,hold: Total number of holdings,Thousand,From 45 to 54 years,Denmark,14.02,13.0,13.8,11.87
Annual,Total,hold: Total number of holdings,Thousand,From 45 to 54 years,Estonia,6.17,5.4,4.66,4.5
Annual,Total,hold: Total number of holdings,Thousand,From 45 to 54 years,Greece,175.75,185.46,163.06,169.66
Annual,Total,hold: Total number of holdings,Thousand,From 45 to 54 years,Spain,240.56,243.11,237.04,241.61
Annual,Total,hold: Total number of holdings,Thousand,From 45 to 54 years,Finland,22.83,21.83,20.21,16.4
Annual,Total,hold: Total number of holdings,Thousand,From 45 to 54 years,France,170.8,165.86,166.99,154.41
Annual,Total,hold: Total number of holdings,Thousand,From 45 to 54 years,Croatia,:,42.36,58.42,37.43
Annual,Total,hold: Total number of holdings,Thousand,From 45 to 54 years,Hungary,185.69,145.34,122.01,95.54
Annual,Total,hold: Total number of holdings,Thousand,From 45 to 54 years,Ireland,32.95,31.59,34.92,35.1
