Time frequency,Indicator used in Euro_Med,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
Annual,"Gross capital formation, as a share of GDP (%)",Algeria,31.7 d,30.2 d,34.5 d,37.3 d,46.9 d,41.4 d,38.1 d,39.2 d,43.4 d,45.6 d,50.8 d,50.8 d,48.0 d,47.1 d
Annual,"Gross capital formation, as a share of GDP (%)",Egypt,18.0 d,18.7 d,20.9 d,22.4 d,19.2 d,19.5 d,17.1 d,16.0 d,14.2 d,13.6 d,14.3 d,15.0 d,15.3 d,:
Annual,"Gross capital formation, as a share of GDP (%)",Israel,20.5,20.5,21.4,20.2,18.4,18.8,21.1,21.3,20.1,20.5,20.0,21.2,21.5,21.8
Annual,"Gross capital formation, as a share of GDP (%)",Jordan,34.1 de,28.3 de,30.3 de,30.2 e,28.3 e,29.5 e,26.9 e,24.9 e,22.0 e,21.5 e,20.8 e,19.4 e,:,:
Annual,"Gross capital formation, as a share of GDP (%)",Lebanon,23.2,20.8,24.5,28.2,27.1,25.2,26.8,24.2,27.5,23.9,21.2,20.8,:,:
Annual,"Gross capital formation, as a share of GDP (%)",Libya,24.0 d,20.7 d,21.0 d,23.0 d,34.0 d,28.0 d,18.0 d,13.0 d,:,:,:,:,:,:
Annual,"Gross capital formation, as a share of GDP (%)",Morocco,28.8,29.4,33.9,39.1,35.0,34.1,35.8,35.0,:,32.5,30.8,32.4,32.6,33.5
Annual,"Gross capital formation, as a share of GDP (%)",Palestine*,25.7 e,23.5 e,21.9 e,20.6 e,20.7 e,21.6 e,17.8 e,21.1 e,21.7 e,19.0 e,21.1 e,21.1 e,22.8 e,24.2
Annual,"Gross capital formation, as a share of GDP (%)",Tunisia,21.7 d,23.4 d,23.7 d,25.5 d,24.3 d,25.6 d,23.1 d,24.4 d,22.7 d,23.1 d,20.0,:,:,:
Annual,"Gross fixed  capital formation, as a share of GDP (%)",Algeria,22.4 d,23.2 d,26.3 d,29.2 d,38.2 d,36.3 d,31.7 d,30.8 d,34.2 d,37.4 d,42.3 d,43.1 d,41.4 d,40.5 d
Annual,"Gross fixed  capital formation, as a share of GDP (%)",Egypt,17.9 d,18.7 d,20.9 d,22.3 d,18.9 d,19.2 d,16.7 d,14.7 d,13.0 d,12.4 d,13.7 d,14.5 d,14.8 d,:
Annual,"Gross fixed  capital formation, as a share of GDP (%)",Israel,19.0,19.3,20.2,19.8,18.7,18.8,20.4,20.9,20.4,19.9,19.2,20.7,20.8,21.4
Annual,"Gross fixed  capital formation, as a share of GDP (%)",Jordan,30.6 de,25.5 de,27.5 de,28.0 e,27.5 e,27.5 e,25.3 e,21.7 e,20.0 e,19.8 e,19.4 e,17.8 e,:,:
Annual,"Gross fixed  capital formation, as a share of GDP (%)",Lebanon,22.2,22.1,24.7,27.5,28.2,25.3,25.5,24.7,26.9,23.3,20.7,20.3,:,:
Annual,"Gross fixed  capital formation, as a share of GDP (%)",Libya,22.0 d,20.0 d,21.0 d,22.0 d,34.0 d,28.0 d,16.0 d,13.0 d,:,:,:,:,:,:
Annual,"Gross fixed  capital formation, as a share of GDP (%)",Morocco,27.5,28.1,32.2,34.4,31.7,30.7,31.5,32.6,:,29.9,28.4,30.0,28.6,28.5
Annual,"Gross fixed  capital formation, as a share of GDP (%)",Palestine*,25.3 e,22.8 e,21.1 e,19.7 e,20.2 e,20.5 e,22.5 e,22.2 e,23.8 e,21.6 e,23.6 e,22.3 e,22.4 e,23.2
Annual,"Gross fixed  capital formation, as a share of GDP (%)",Tunisia,21.4 dp,22.6 d,23.0 d,23.6 d,24.3 d,24.6 d,21.9 d,22.5 d,21.9 d,20.3 d,19.9,:,:,:
Annual,"Change in stocks, as a share of GDP (%)",Algeria,9.3 d,7.0 d,8.1 d,8.1 d,8.6 d,5.1 d,6.4 d,8.4 d,9.2 d,8.1 d,8.5 d,7.7 d,6.6 d,6.6 d
Annual,"Change in stocks, as a share of GDP (%)",Egypt,0.1 d,0.0 d,0.0 d,0.1 d,0.3 d,0.3 d,0.4 d,1.3 d,1.2 d,1.2 d,0.6 d,0.6 d,0.5 d,:
Annual,"Change in stocks, as a share of GDP (%)",Israel,1.5,1.2,1.2,0.3,-0.3,0.0,0.7,0.4,-0.3,0.6,0.8,0.5,0.7,0.4
Annual,"Change in stocks, as a share of GDP (%)",Jordan,3.5 de,2.9 de,2.8 de,2.2 e,0.9 e,2.0 e,1.6 e,3.2 e,2.0 e,1.7 e,1.4 e,1.6 e,:,:
Annual,"Change in stocks, as a share of GDP (%)",Libya,1.6 d,0.6 d,0.0 d,1.0 d,0.0 d,0.0 d,2.0 d,0.0 d,:,:,:,:,:,:
Annual,"Change in stocks, as a share of GDP (%)",Morocco,1.3,1.3,1.7,4.7,3.4,3.4,4.3,2.4,:,2.7,2.4,2.4,4.0,5.1
Annual,"Change in stocks, as a share of GDP (%)",Palestine*,0.4 e,0.7 e,0.8 e,0.9 e,0.5 e,1.1 e,-4.7 e,-1.1 e,-2.1 e,-2.6 e,-2.5 e,-1.3 e,0.4 e,1.0
Annual,"Change in stocks, as a share of GDP (%)",Tunisia,0.2 dp,0.9 d,0.6 d,1.9 d,0.0 d,1.0 d,1.2 d,2.0 d,0.8 d,2.8 d,0.1,:,:,:
