Time frequency,Unit of measure,Stock or flow,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Percentage,Exports,Armenia,46.6 i,47.3 i,48.6 i,54.2 i,43.7 i,48.3 i,38.3 i,31.9 i,33.4 i,30.0 i,27.8 i,26.6 i,28.1 i,28.0 i,21.9 i,16.9 i,21.8 i,14.8 i
Annual,Percentage,Exports,Belarus,37.7 i,38.7 i,37.5 i,39.4 i,39.9 i,26.5 i,37.0 i,36.9 i,25.4 i,21.4 i,21.0 i,19.4 i,18.7 i,21.0 i,18.5 i,18.7 i,:,:
Annual,Percentage,Exports,Georgia,21.4 di,22.0 di,19.9 di,19.5 di,20.2 di,17.4 di,18.8 di,14.0 di,19.8 di,21.0 di,28.3 di,26.0 di,23.4 di,21.1 di,21.2 di,20.9 di,16.9 di,15.4 di
Annual,Percentage,Exports,Moldova,39.7 i,48.4 i,48.1 i,48.2 i,47.5 i,41.9 i,44.2 i,43.0 i,42.4 i,48.7 i,54.9 i,59.6 i,60.1 i,65.9 i,64.1 i,66.4 i,61.0 i,58.4 i
Annual,Percentage,Imports,Armenia,33.2 i,33.0 i,33.5 i,30.7 i,27.1 i,27.6 i,23.7 i,20.6 i,25.3 i,24.4 i,24.1 i,21.7 i,21.2 i,22.4 i,19.5 i,18.8 i,17.4 i,17.2 i
Annual,Percentage,Imports,Belarus,20.8 i,21.8 i,21.1 i,21.1 i,22.1 i,20.8 i,18.3 i,19.3 i,23.5 i,22.5 i,18.7 i,19.4 i,18.7 i,17.8 i,17.9 i,19.8 i,:,:
Annual,Percentage,Imports,Georgia,27.4 di,28.7 di,28.3 di,26.5 di,28.5 di,26.8 di,27.8 di,28.8 di,27.1 di,26.5 di,27.3 di,28.4 di,26.4 di,26.2 di,24.2 di,22.9 di,22.9 di,22.6 di
Annual,Percentage,Imports,Moldova,44.7 i,44.0 i,44.6 i,41.6 i,41.8 i,43.0 i,42.1 i,43.5 i,43.9 i,46.9 i,47.7 i,47.5 i,48.3 i,48.4 i,48.5 i,45.6 i,43.8 i,47.4 i
