Time frequency,Classification of activities for time use,Reason,Level of activity limitation,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2022.0
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Romania,10.6
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Serbia,10.4
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Sweden,7.3
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Slovenia,7.1
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Slovakia,4.8
Annual,"Live performances (theatre, concerts, ballet)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Türkiye,11.6
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Albania,22.6
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Austria,0.0 n
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Belgium,14.2
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Bulgaria,8.1
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Switzerland,7.6 u
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Cyprus,7.3
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Czechia,5.6
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Germany,: u
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Denmark,9.4
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Estonia,7.3
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Greece,6.8
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Spain,15.5
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Finland,3.1
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Some or severe,Total,16 years or over,Percentage,France,13.9
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Croatia,3.7
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Hungary,19.9
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Ireland,8.7
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Italy,7.7
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Lithuania,10.2
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Luxembourg,11.7
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Latvia,14.2
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Montenegro,5.0
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Malta,7.5
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Netherlands,8.7
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Norway,5.0
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Poland,6.8
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Portugal,12.9
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Romania,11.0
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Serbia,8.1
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Sweden,6.4
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Slovenia,8.1
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Slovakia,4.8
Annual,"Cultural sites (historical monuments, museums, art galleries or archaeological sites)",Financial reasons,Some or severe,Total,16 years or over,Percentage,Türkiye,12.3
Annual,Sports events,Financial reasons,Some or severe,Total,16 years or over,Percentage,Albania,21.9
