Time frequency,Unit of measure,Transport coverage\Time,Janvier-Mars 2005,Avril-Juin 2005,Jullet-Septembre 2005,Octobre-Décembre 2005,Janvier-Mars 2006,Avril-Juin 2006,Jullet-Septembre 2006,Octobre-Décembre 2006,Janvier-Mars 2007,Avril-Juin 2007,Jullet-Septembre 2007,Octobre-Décembre 2007,Janvier-Mars 2008,Avril-Juin 2008,Jullet-Septembre 2008,Octobre-Décembre 2008,Janvier-Mars 2009,Avril-Juin 2009,Jullet-Septembre 2009,Octobre-Décembre 2009,Janvier-Mars 2010,Avril-Juin 2010,Jullet-Septembre 2010,Octobre-Décembre 2010,Janvier-Mars 2011,Avril-Juin 2011,Jullet-Septembre 2011,Octobre-Décembre 2011,Janvier-Mars 2012,Avril-Juin 2012,Jullet-Septembre 2012,Octobre-Décembre 2012,Janvier-Mars 2013,Avril-Juin 2013,Jullet-Septembre 2013,Octobre-Décembre 2013,Janvier-Mars 2014,Avril-Juin 2014,Jullet-Septembre 2014,Octobre-Décembre 2014,Janvier-Mars 2015,Avril-Juin 2015,Jullet-Septembre 2015,Octobre-Décembre 2015,Janvier-Mars 2016,Avril-Juin 2016,Jullet-Septembre 2016,Octobre-Décembre 2016,Janvier-Mars 2017,Avril-Juin 2017,Jullet-Septembre 2017,Octobre-Décembre 2017,Janvier-Mars 2018,Avril-Juin 2018,Jullet-Septembre 2018,Octobre-Décembre 2018,Janvier-Mars 2019,Avril-Juin 2019,Jullet-Septembre 2019,Octobre-Décembre 2019,Janvier-Mars 2020,Avril-Juin 2020,Jullet-Septembre 2020,Octobre-Décembre 2020,Janvier-Mars 2021,Avril-Juin 2021,Jullet-Septembre 2021,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024
Quarterly,Growth rate on the same quarter in previous year,International transport Intra-EU27 (from 2020),:,:,:,:,4.1,2.8,4.1,0.2,1.6,2.9,0.7,2.2,1.9,1.5,2.1,-6.4,-14.6,-16.7,-10.9,-4.2,8.3,12.8,7.8,8.7,5.6,1.9,-2.1,-0.6,-0.5,-2.5,-0.8,-2.3,-1.0,1.5,3.1,3.3,1.9,1.7,2.6,3.6,4.1,1.7,1.3,-2.2,-1.3,-0.1,0.9,6.6,2.1,1.6,5.1,0.3,2.9,8.9,4.5,6.1,0.9,3.3,-2.3,-4.5,-1.8,-14.8,-7.0,-1.4,1.3,7.9,6.9,3.9,1.1,3.5,-0.6,-2.2,1.4,-1.2,-1.8,1.1,-1.2
Quarterly,Growth rate on the same quarter in previous year,International transport Extra-EU27 (from 2020),:,:,:,:,3.4,4.1,2.7,5.2,3.8,3.1,4.8,2.2,5.2,5.4,2.1,-3.7,-13.9,-16.8,-14.2,-8.9,2.8,8.9,8.6,6.8,3.1,4.1,2.9,1.8,3.9,0.0,-0.3,-0.4,-0.1,-0.5,-1.0,-0.4,-0.3,0.9,2.1,4.4,3.1,2.1,-0.4,-0.9,-0.9,-2.1,1.7,-0.3,2.3,3.3,1.7,3.7,3.4,2.4,3.8,4.0,5.4,4.5,0.8,-0.2,-6.4,-12.5,-9.4,-5.4,-1.6,9.4,8.3,4.9,0.5,0.2,-4.1,-6.3,-2.8,-5.3,-3.1,-0.8,-3.0
Quarterly,Growth rate on the same quarter in previous year,National transport,:,:,:,:,1.4,0.1,2.7,2.1,10.5,6.5,6.3,5.0,-4.3,-3.5,-8.2,-16.0,-6.0,-11.8,-10.3,-3.0,-10.1,8.9,6.9,13.2,17.2,2.1,4.3,-1.9,-4.5,-4.9,-6.5,-9.4,-6.1,-0.7,-1.0,-0.6,4.6,2.4,4.5,6.9,-0.9,2.7,3.2,1.4,2.7,8.1,5.1,5.7,0.1,-4.1,3.6,6.0,1.8,3.3,0.8,2.1,6.6,7.7,-1.2,-2.5,-2.0,-11.8,-7.8,-4.5,-10.9,-2.7,7.5,2.6,9.4,9.6,3.5,0.8,7.6,-1.2,-3.1,0.3,-7.5
Quarterly,Growth rate on the same quarter in previous year,Total transport,:,:,:,:,3.6,3.5,3.7,3.8,4.1,3.7,3.8,2.5,3.3,3.2,0.5,-5.8,-13.0,-16.0,-12.5,-7.0,2.0,9.0,7.4,7.4,5.9,4.0,2.5,1.4,1.7,-1.1,-1.1,-1.8,-1.0,0.0,0.2,0.6,0.8,1.2,2.2,4.1,3.7,2.7,1.5,0.3,-0.4,0.6,1.9,2.0,2.6,2.1,3.6,3.7,2.6,3.7,2.7,3.7,2.8,2.9,-1.5,-3.2,-4.6,-13.0,-8.4,-4.0,-2.1,7.5,7.7,4.1,2.4,5.0,0.8,-1.4,-0.7,-5.7,-4.9,-2.7,-3.2
Quarterly,Growth rate on the same quarter in previous year,Unknown,:,:,:,:,35.3,35.4,67.1,30.0,5.5,17.3,-7.7,2.1,23.7,4.9,-13.4,7.3,-2.4,-2.3,19.8,-5.6,-25.4,-43.2,-40.5,-39.8,51.1,89.4,86.4,90.7,7.3,6.8,2.4,11.4,3.2,4.4,12.9,8.1,-1.3,-5.4,-13.4,-13.7,54.3,40.1,66.4,81.2,6.2,40.2,1.1,-3.3,24.6,8.5,35.6,26.4,-12.6,-12.1,-23.2,-15.0,-52.8,-56.8,-50.1,-60.4,2.2,-10.0,1.6,23.4,-8.6,11.7,-4.9,-10.6,64.5,227.9,247.0,241.4,-13.7,-53.9,-53.2,-61.3,-5.8
Quarterly,Thousand tonnes,International transport Intra-EU27 (from 2020),192964.0,197901.0,191641.0,201720.0,200788.0,203511.0,199457.0,202113.0,204072.0,209354.0,200811.0,206579.0,207888.0,212449.0,205038.0,193428.0,177564.0,176890.0,182758.0,185391.0,192336.0,199501.0,197057.0,201579.0,203113.0,203338.0,192962.0,200362.0,202044.0,198276.0,191457.0,195762.0,199934.0,201162.0,197400.0,202282.0,203679.0,204587.0,202603.0,209588.0,212098.0,207996.0,205285.0,205063.0,209345.0,207735.0,207120.0,218656.0,213799.0,211085.0,217759.0,219264.0,219936.0,229973.0,227631.0,232566.0,221876.0,237673.0,222503.0,222063.0,217985.0,202464.0,206990.0,218911.0,220712.0,218522.0,221253.0,227369.0,223067.0,226074.0,219988.0,222476.0,226133.0,223281.0,215967.0,224904.0,223314.0
Quarterly,Thousand tonnes,International transport Extra-EU27 (from 2020),446029.0,460549.0,465162.0,471382.0,461028.0,479429.0,477914.0,496076.0,478536.0,494530.0,501024.0,506849.0,503647.0,521126.0,511705.0,488195.0,433605.0,433455.0,438967.0,444887.0,445821.0,472225.0,476834.0,475191.0,459593.0,491471.0,490575.0,483696.0,477720.0,491499.0,489340.0,481705.0,477328.0,489010.0,484609.0,479647.0,475725.0,493401.0,494914.0,500757.0,490342.0,503813.0,492782.0,496079.0,486099.0,493340.0,501152.0,494491.0,497508.0,509452.0,509621.0,512987.0,514460.0,521899.0,528975.0,533636.0,542475.0,545532.0,533096.0,532510.0,507771.0,477115.0,483196.0,503660.0,499787.0,522048.0,523470.0,528350.0,502084.0,522916.0,501875.0,494977.0,488134.0,495113.0,486150.0,490902.0,473348.0
Quarterly,Thousand tonnes,National transport,93978.0,100773.0,101426.0,97673.0,95262.0,100910.0,104173.0,99688.0,105293.0,107452.0,110702.0,104633.0,100744.0,103662.0,101570.0,87893.0,94743.0,91385.0,91115.0,85298.0,85156.0,99491.0,97397.0,96550.0,99821.0,101616.0,101555.0,94720.0,95322.0,96601.0,94963.0,85805.0,89528.0,95917.0,94018.0,85260.0,93645.0,98210.0,98206.0,91144.0,92804.0,100874.0,101357.0,92411.0,95269.0,109040.0,106574.0,97641.0,95332.0,104622.0,110441.0,103458.0,97080.0,108073.0,111332.0,105579.0,103482.0,116394.0,109975.0,102945.0,101452.0,102631.0,101360.0,98314.0,90348.0,99892.0,108995.0,100897.0,98798.0,109486.0,112794.0,101727.0,106304.0,108162.0,109247.0,102075.0,98382.0
Quarterly,Thousand tonnes,Total transport,739279.0,766433.0,765271.0,778652.0,765609.0,793613.0,793310.0,808113.0,796904.0,822788.0,823400.0,828508.0,823411.0,849249.0,827724.0,780721.0,716774.0,713460.0,724113.0,726158.0,731419.0,777883.0,778001.0,779690.0,774773.0,809048.0,797602.0,790928.0,788230.0,799856.0,788566.0,776808.0,780360.0,800162.0,790482.0,781826.0,786435.0,809506.0,808235.0,814123.0,815893.0,831325.0,820245.0,816447.0,812640.0,836247.0,835894.0,832917.0,833970.0,853504.0,866370.0,863687.0,855366.0,884866.0,889868.0,895563.0,879106.0,910366.0,876520.0,866931.0,838731.0,791905.0,802663.0,832505.0,821379.0,851289.0,864284.0,867008.0,841269.0,893977.0,871326.0,854657.0,835527.0,842926.0,828515.0,831625.0,809132.0
Quarterly,Thousand tonnes,Unknown,6307.0,7210.0,7042.0,7877.0,8531.0,9763.0,11765.0,10236.0,9002.0,11453.0,10863.0,10446.0,11132.0,12012.0,9411.0,11204.0,10861.0,11730.0,11273.0,10582.0,8106.0,6666.0,6712.0,6370.0,12247.0,12622.0,12511.0,12150.0,13143.0,13480.0,12806.0,13536.0,13569.0,14073.0,14455.0,14637.0,13387.0,13308.0,12512.0,12634.0,20650.0,18642.0,20820.0,22894.0,21927.0,26133.0,21048.0,22129.0,27331.0,28344.0,28549.0,27977.0,23890.0,24922.0,21929.0,23782.0,11273.0,10767.0,10945.0,9413.0,11523.0,9695.0,11117.0,11620.0,10532.0,10827.0,10567.0,10392.0,17320.0,35501.0,36669.0,35477.0,14956.0,16370.0,17151.0,13744.0,14089.0
Quarterly,Sum of the last 4 quarters (in thousand tonnes),International transport Intra-EU27 (from 2020),:,:,:,784227.0,792051.0,797660.0,805477.0,805869.0,809153.0,814996.0,816349.0,820815.0,824632.0,827727.0,831955.0,818804.0,788480.0,752920.0,730640.0,722603.0,737375.0,759986.0,774285.0,790473.0,801250.0,805087.0,800992.0,799774.0,798705.0,793643.0,792139.0,787539.0,785430.0,788316.0,794259.0,800779.0,804523.0,807948.0,813151.0,820457.0,828876.0,832284.0,834967.0,830442.0,827689.0,827428.0,829263.0,842856.0,847309.0,850660.0,861300.0,861908.0,868045.0,886933.0,896805.0,910107.0,912046.0,919746.0,914618.0,904114.0,900224.0,865015.0,849502.0,846350.0,849076.0,865134.0,879397.0,887856.0,890211.0,897763.0,896498.0,891605.0,894671.0,891879.0,887857.0,890286.0,887466.0
Quarterly,Sum of the last 4 quarters (in thousand tonnes),International transport Extra-EU27 (from 2020),:,:,:,1843122.0,1858121.0,1877001.0,1889753.0,1914447.0,1931955.0,1947056.0,1970166.0,1980939.0,2006050.0,2032646.0,2043327.0,2024673.0,1954631.0,1866960.0,1794222.0,1750914.0,1763130.0,1801900.0,1839767.0,1870071.0,1883842.0,1903089.0,1916830.0,1925335.0,1943463.0,1943491.0,1942256.0,1940265.0,1939873.0,1937383.0,1932652.0,1930594.0,1928992.0,1933383.0,1943688.0,1964798.0,1979415.0,1989826.0,1987694.0,1983016.0,1978773.0,1968300.0,1976670.0,1975081.0,1986491.0,2002604.0,2011073.0,2029569.0,2046520.0,2058967.0,2078321.0,2098969.0,2126984.0,2150618.0,2154739.0,2153613.0,2118909.0,2050492.0,2000592.0,1971742.0,1963758.0,2008691.0,2048965.0,2073655.0,2075952.0,2076820.0,2055225.0,2021852.0,2007902.0,1980099.0,1964374.0,1960299.0,1945512.0
Quarterly,Sum of the last 4 quarters (in thousand tonnes),National transport,:,:,:,393850.0,395134.0,395271.0,398018.0,400033.0,410065.0,416606.0,423136.0,428081.0,423531.0,419741.0,410609.0,393869.0,387869.0,375592.0,365136.0,362541.0,352954.0,361060.0,367343.0,378594.0,393259.0,395384.0,399542.0,397712.0,393213.0,388198.0,381606.0,372691.0,366897.0,366213.0,365269.0,364723.0,368840.0,371133.0,375321.0,381205.0,380364.0,383028.0,386179.0,387446.0,389911.0,398077.0,403294.0,408525.0,408588.0,404170.0,408036.0,413853.0,415602.0,419053.0,419944.0,422065.0,428467.0,436788.0,435431.0,432797.0,430766.0,417004.0,408388.0,403757.0,392653.0,389914.0,397549.0,400132.0,408581.0,418176.0,421974.0,422805.0,430312.0,428987.0,425441.0,425789.0,417866.0
Quarterly,Sum of the last 4 quarters (in thousand tonnes),Total transport,:,:,:,3049635.0,3075965.0,3103145.0,3131184.0,3160644.0,3191940.0,3221115.0,3251205.0,3271600.0,3298107.0,3324568.0,3328893.0,3281106.0,3174468.0,3038679.0,2935068.0,2880505.0,2895150.0,2959573.0,3013461.0,3066993.0,3110347.0,3141512.0,3161113.0,3172351.0,3185807.0,3176615.0,3167579.0,3153460.0,3145590.0,3145896.0,3147813.0,3152830.0,3158906.0,3168250.0,3186003.0,3218300.0,3247758.0,3269577.0,3281587.0,3283910.0,3280657.0,3285579.0,3301228.0,3317698.0,3339028.0,3356285.0,3386761.0,3417531.0,3438927.0,3470289.0,3493787.0,3525664.0,3549403.0,3574903.0,3561555.0,3532922.0,3492548.0,3374087.0,3300229.0,3265803.0,3248451.0,3307835.0,3369457.0,3403960.0,3423850.0,3466538.0,3473580.0,3461230.0,3455487.0,3404436.0,3361625.0,3338593.0,3312198.0
Quarterly,Sum of the last 4 quarters (in thousand tonnes),Unknown,:,:,:,28436.0,30659.0,33212.0,37936.0,40295.0,40767.0,42456.0,41554.0,41764.0,43894.0,44454.0,43002.0,43760.0,43489.0,43207.0,45069.0,44446.0,41691.0,36627.0,32066.0,27855.0,31996.0,37952.0,43751.0,49530.0,50426.0,51284.0,51579.0,52965.0,53391.0,53984.0,55633.0,56733.0,56551.0,55786.0,53843.0,51841.0,59104.0,64438.0,72747.0,83006.0,84284.0,91774.0,92001.0,91237.0,96640.0,98852.0,106353.0,112201.0,108760.0,105337.0,98718.0,94523.0,81906.0,67751.0,56767.0,42398.0,42648.0,41576.0,41748.0,43955.0,42964.0,44096.0,43546.0,42318.0,49106.0,73780.0,99882.0,124967.0,122603.0,103471.0,83953.0,62220.0,61354.0
