Time frequency,n_book,lev_limit,sex,age,unit,geo\TIME_PERIOD,2022.0
Annual,0.0,SEV,T,Y_GE16,PC,AT,55.1
Annual,0.0,SEV,T,Y_GE16,PC,BE,51.7
Annual,0.0,SEV,T,Y_GE16,PC,BG,80.9
Annual,0.0,SEV,T,Y_GE16,PC,CH,28.2
Annual,0.0,SEV,T,Y_GE16,PC,CY,77.3
Annual,0.0,SEV,T,Y_GE16,PC,CZ,47.6
Annual,0.0,SEV,T,Y_GE16,PC,DE,: u
Annual,0.0,SEV,T,Y_GE16,PC,DK,35.8
Annual,0.0,SEV,T,Y_GE16,PC,EA20,62.0 e
Annual,0.0,SEV,T,Y_GE16,PC,EE,46.3
Annual,0.0,SEV,T,Y_GE16,PC,EL,73.9
Annual,0.0,SEV,T,Y_GE16,PC,ES,63.9
Annual,0.0,SEV,T,Y_GE16,PC,EU27_2020,62.3 e
Annual,0.0,SEV,T,Y_GE16,PC,FI,48.7
Annual,0.0,SEV,T,Y_GE16,PC,FR,53.6
Annual,0.0,SEV,T,Y_GE16,PC,HR,76.5
Annual,0.0,SEV,T,Y_GE16,PC,HU,69.5
Annual,0.0,SEV,T,Y_GE16,PC,IE,46.9
Annual,0.0,SEV,T,Y_GE16,PC,IT,81.2
Annual,0.0,SEV,T,Y_GE16,PC,LT,71.8
Annual,0.0,SEV,T,Y_GE16,PC,LU,38.2
Annual,0.0,SEV,T,Y_GE16,PC,LV,61.9
Annual,0.0,SEV,T,Y_GE16,PC,ME,84.6
Annual,0.0,SEV,T,Y_GE16,PC,MT,70.5
Annual,0.0,SEV,T,Y_GE16,PC,NL,46.4
Annual,0.0,SEV,T,Y_GE16,PC,NO,34.9
Annual,0.0,SEV,T,Y_GE16,PC,PL,63.9
Annual,0.0,SEV,T,Y_GE16,PC,PT,77.3
Annual,0.0,SEV,T,Y_GE16,PC,RO,88.7
Annual,0.0,SEV,T,Y_GE16,PC,RS,84.6
Annual,0.0,SEV,T,Y_GE16,PC,SE,48.6
Annual,0.0,SEV,T,Y_GE16,PC,SI,55.0
Annual,0.0,SEV,T,Y_GE16,PC,SK,66.5
Annual,0.0,SEV,T,Y_GE16,PC,TR,86.5
Annual,0.0,SM_SEV,T,Y_GE16,PC,AT,44.9
Annual,0.0,SM_SEV,T,Y_GE16,PC,BE,47.4
Annual,0.0,SM_SEV,T,Y_GE16,PC,BG,73.3
Annual,0.0,SM_SEV,T,Y_GE16,PC,CH,21.5
Annual,0.0,SM_SEV,T,Y_GE16,PC,CY,72.1
Annual,0.0,SM_SEV,T,Y_GE16,PC,CZ,40.5
Annual,0.0,SM_SEV,T,Y_GE16,PC,DE,: u
Annual,0.0,SM_SEV,T,Y_GE16,PC,DK,31.3
Annual,0.0,SM_SEV,T,Y_GE16,PC,EA20,53.2 e
Annual,0.0,SM_SEV,T,Y_GE16,PC,EE,37.0
Annual,0.0,SM_SEV,T,Y_GE16,PC,EL,70.0
Annual,0.0,SM_SEV,T,Y_GE16,PC,ES,52.9
Annual,0.0,SM_SEV,T,Y_GE16,PC,EU27_2020,54.1 e
Annual,0.0,SM_SEV,T,Y_GE16,PC,FI,35.9
Annual,0.0,SM_SEV,T,Y_GE16,PC,FR,45.3
Annual,0.0,SM_SEV,T,Y_GE16,PC,HR,71.1
Annual,0.0,SM_SEV,T,Y_GE16,PC,HU,59.6
Annual,0.0,SM_SEV,T,Y_GE16,PC,IE,41.0
Annual,0.0,SM_SEV,T,Y_GE16,PC,IT,72.4
Annual,0.0,SM_SEV,T,Y_GE16,PC,LT,60.1
Annual,0.0,SM_SEV,T,Y_GE16,PC,LU,29.5
