Time frequency,Unit of measure,Sex,Age class,Reason,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage of employees,Total,From 15 to 64 years,Job only available with a temporary contract,Austria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.7 b,2.7,2.9
Annual,Percentage of employees,Total,From 15 to 64 years,Job only available with a temporary contract,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.8 b,1.1,2.0
Annual,Percentage of employees,Total,From 15 to 64 years,Job only available with a temporary contract,Belgium,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.1 b,1.7,2.0
Annual,Percentage of employees,Total,From 15 to 64 years,Job only available with a temporary contract,Bulgaria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.5 b,0.6,0.6
Annual,Percentage of employees,Total,From 15 to 64 years,Job only available with a temporary contract,Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.6 b,1.7,1.7
Annual,Percentage of employees,Total,From 15 to 64 years,Job only available with a temporary contract,Cyprus,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.5 b,0.7,0.5
Annual,Percentage of employees,Total,From 15 to 64 years,Job only available with a temporary contract,Czechia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.5 b,1.8,2.6
Annual,Percentage of employees,Total,From 15 to 64 years,Job only available with a temporary contract,Germany,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.7 b,2.9,2.6
Annual,Percentage of employees,Total,From 15 to 64 years,Job only available with a temporary contract,Denmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.6 b,1.2,1.2
Annual,Percentage of employees,Total,From 15 to 64 years,Job only available with a temporary contract,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3.2 b,3.3,3.1
Annual,Percentage of employees,Total,From 15 to 64 years,Job only available with a temporary contract,Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: bu,0.2 u,0.4 u
