Time frequency,Unit of measure,Sex,Age class,Geopolitical entity (reporting)\Time,2014.0,2019.0
Annual,Percentage,Females,55 years or over,Sweden,:,45.3
Annual,Percentage,Females,55 years or over,Slovenia,:,29.9
Annual,Percentage,Females,55 years or over,Slovakia,:,21.4
Annual,Percentage,Females,55 years or over,Türkiye,:,11.7
Annual,Percentage,Females,65 years or over,Austria,38.0,55.4
Annual,Percentage,Females,65 years or over,Belgium,54.8,78.5
Annual,Percentage,Females,65 years or over,Bulgaria,22.7,27.9
Annual,Percentage,Females,65 years or over,Cyprus,58.6,53.5
Annual,Percentage,Females,65 years or over,Czechia,33.5,27.5
Annual,Percentage,Females,65 years or over,Germany,52.2,59.3
Annual,Percentage,Females,65 years or over,Denmark,91.4 u,82.0 u
Annual,Percentage,Females,65 years or over,Estonia,22.7,17.0
Annual,Percentage,Females,65 years or over,Greece,36.5,36.6
Annual,Percentage,Females,65 years or over,Spain,52.2,52.2
Annual,Percentage,Females,65 years or over,European Union - 27 countries (from 2020),50.7,51.3
Annual,Percentage,Females,65 years or over,European Union - 28 countries (2013-2020),49.7,:
Annual,Percentage,Females,65 years or over,Finland,69.4,67.0
Annual,Percentage,Females,65 years or over,France,75.6,67.8
Annual,Percentage,Females,65 years or over,Croatia,29.9,41.2
Annual,Percentage,Females,65 years or over,Hungary,40.1,47.0
Annual,Percentage,Females,65 years or over,Ireland,65.4,68.8
Annual,Percentage,Females,65 years or over,Iceland,66.4 u,60.5 u
Annual,Percentage,Females,65 years or over,Italy,54.7,54.2
Annual,Percentage,Females,65 years or over,Lithuania,27.4,27.9
Annual,Percentage,Females,65 years or over,Luxembourg,: u,: u
Annual,Percentage,Females,65 years or over,Latvia,29.5,30.7
Annual,Percentage,Females,65 years or over,Malta,61.3 u,43.7 u
Annual,Percentage,Females,65 years or over,Netherlands,70.8,74.6
Annual,Percentage,Females,65 years or over,Norway,61.1 u,58.0 u
Annual,Percentage,Females,65 years or over,Poland,32.8,36.2
Annual,Percentage,Females,65 years or over,Portugal,31.3,31.7
Annual,Percentage,Females,65 years or over,Romania,25.4,16.8
Annual,Percentage,Females,65 years or over,Serbia,:,28.4
Annual,Percentage,Females,65 years or over,Sweden,44.0 u,50.7
Annual,Percentage,Females,65 years or over,Slovenia,43.3,31.6
Annual,Percentage,Females,65 years or over,Slovakia,32.6,22.3
Annual,Percentage,Females,65 years or over,Türkiye,8.9,11.3
Annual,Percentage,Females,65 years or over,United Kingdom,37.3,:
Annual,Percentage,Females,75 years or over,Austria,46.0 u,56.6
Annual,Percentage,Females,75 years or over,Belgium,51.7,80.7
Annual,Percentage,Females,75 years or over,Bulgaria,25.9,31.7
Annual,Percentage,Females,75 years or over,Cyprus,59.4,58.0
Annual,Percentage,Females,75 years or over,Czechia,34.8,31.8
Annual,Percentage,Females,75 years or over,Germany,53.8,61.9
Annual,Percentage,Females,75 years or over,Denmark,: u,87.3 u
Annual,Percentage,Females,75 years or over,Estonia,22.6,21.7
Annual,Percentage,Females,75 years or over,Greece,37.7,35.9
Annual,Percentage,Females,75 years or over,Spain,56.2,53.4
Annual,Percentage,Females,75 years or over,European Union - 27 countries (from 2020),53.3,53.8
Annual,Percentage,Females,75 years or over,European Union - 28 countries (2013-2020),52.9,:
Annual,Percentage,Females,75 years or over,Finland,72.2,70.7 u
Annual,Percentage,Females,75 years or over,France,78.7,73.2
Annual,Percentage,Females,75 years or over,Croatia,32.0,42.7
Annual,Percentage,Females,75 years or over,Hungary,43.3,53.6 u
Annual,Percentage,Females,75 years or over,Ireland,71.5,76.9 u
Annual,Percentage,Females,75 years or over,Iceland,: u,: u
Annual,Percentage,Females,75 years or over,Italy,56.3,55.3
Annual,Percentage,Females,75 years or over,Lithuania,28.0,28.3
Annual,Percentage,Females,75 years or over,Luxembourg,: u,: u
Annual,Percentage,Females,75 years or over,Latvia,30.1,32.8
Annual,Percentage,Females,75 years or over,Malta,61.6 u,: u
Annual,Percentage,Females,75 years or over,Netherlands,84.2,81.6
Annual,Percentage,Females,75 years or over,Norway,: u,: u
Annual,Percentage,Females,75 years or over,Poland,33.0,40.8
