Time frequency,Unit of measure,Sex,Age class,Geopolitical entity (reporting)\Time,2014.0,2019.0
Annual,Percentage,Total,55 years or over,Malta,:,39.4 u
Annual,Percentage,Total,55 years or over,Netherlands,:,62.9
Annual,Percentage,Total,55 years or over,Norway,:,51.6
Annual,Percentage,Total,55 years or over,Poland,:,32.6
Annual,Percentage,Total,55 years or over,Portugal,:,28.1
Annual,Percentage,Total,55 years or over,Romania,:,16.4
Annual,Percentage,Total,55 years or over,Serbia,:,28.2
Annual,Percentage,Total,55 years or over,Sweden,:,47.6
Annual,Percentage,Total,55 years or over,Slovenia,:,28.8
Annual,Percentage,Total,55 years or over,Slovakia,:,23.9
Annual,Percentage,Total,55 years or over,Türkiye,:,10.7
Annual,Percentage,Total,65 years or over,Austria,36.3,51.3
Annual,Percentage,Total,65 years or over,Belgium,55.0,75.5
Annual,Percentage,Total,65 years or over,Bulgaria,23.7,25.9
Annual,Percentage,Total,65 years or over,Cyprus,53.7,49.6
Annual,Percentage,Total,65 years or over,Czechia,35.1,27.1
Annual,Percentage,Total,65 years or over,Germany,48.9,56.1
Annual,Percentage,Total,65 years or over,Denmark,86.7 u,81.7
Annual,Percentage,Total,65 years or over,Estonia,21.2,14.6
Annual,Percentage,Total,65 years or over,Greece,35.8,36.8
Annual,Percentage,Total,65 years or over,Spain,51.0,51.7
Annual,Percentage,Total,65 years or over,European Union - 27 countries (from 2020),49.5,49.6
Annual,Percentage,Total,65 years or over,European Union - 28 countries (2013-2020),48.7,:
Annual,Percentage,Total,65 years or over,Finland,68.5,60.2
Annual,Percentage,Total,65 years or over,France,76.7,64.2
Annual,Percentage,Total,65 years or over,Croatia,28.9,45.2
Annual,Percentage,Total,65 years or over,Hungary,38.8,38.8
Annual,Percentage,Total,65 years or over,Ireland,62.0,66.6
Annual,Percentage,Total,65 years or over,Iceland,64.8 u,64.7 u
Annual,Percentage,Total,65 years or over,Italy,52.9,52.1
Annual,Percentage,Total,65 years or over,Lithuania,26.7,26.1
Annual,Percentage,Total,65 years or over,Luxembourg,32.2 u,60.5 u
Annual,Percentage,Total,65 years or over,Latvia,29.4,29.3
Annual,Percentage,Total,65 years or over,Malta,60.8 u,38.1 u
Annual,Percentage,Total,65 years or over,Netherlands,68.3,71.2
Annual,Percentage,Total,65 years or over,Norway,58.1 u,59.1 u
Annual,Percentage,Total,65 years or over,Poland,31.5,34.7
Annual,Percentage,Total,65 years or over,Portugal,30.5,29.4
Annual,Percentage,Total,65 years or over,Romania,24.8,16.9
Annual,Percentage,Total,65 years or over,Serbia,:,29.7
Annual,Percentage,Total,65 years or over,Sweden,48.0 u,54.1
Annual,Percentage,Total,65 years or over,Slovenia,41.2,30.4
Annual,Percentage,Total,65 years or over,Slovakia,30.4,24.7
Annual,Percentage,Total,65 years or over,Türkiye,8.8,10.5
Annual,Percentage,Total,65 years or over,United Kingdom,38.5,:
Annual,Percentage,Total,75 years or over,Austria,45.2 u,54.9
Annual,Percentage,Total,75 years or over,Belgium,54.2,75.7
Annual,Percentage,Total,75 years or over,Bulgaria,26.1,27.6
Annual,Percentage,Total,75 years or over,Cyprus,56.7,56.4
Annual,Percentage,Total,75 years or over,Czechia,38.7,30.6
Annual,Percentage,Total,75 years or over,Germany,51.3,58.9
Annual,Percentage,Total,75 years or over,Denmark,87.1 u,87.9 u
Annual,Percentage,Total,75 years or over,Estonia,21.3,19.8
Annual,Percentage,Total,75 years or over,Greece,36.2,36.6
Annual,Percentage,Total,75 years or over,Spain,54.9,53.4
Annual,Percentage,Total,75 years or over,European Union - 27 countries (from 2020),52.4,52.4
Annual,Percentage,Total,75 years or over,European Union - 28 countries (2013-2020),52.1,:
Annual,Percentage,Total,75 years or over,Finland,73.1,66.7
Annual,Percentage,Total,75 years or over,France,80.3,71.1
Annual,Percentage,Total,75 years or over,Croatia,30.5,43.6
Annual,Percentage,Total,75 years or over,Hungary,40.2,48.7
Annual,Percentage,Total,75 years or over,Ireland,70.2,73.6
Annual,Percentage,Total,75 years or over,Iceland,72.1 u,72.9 u
Annual,Percentage,Total,75 years or over,Italy,53.9,53.1
Annual,Percentage,Total,75 years or over,Lithuania,26.2,27.2
Annual,Percentage,Total,75 years or over,Luxembourg,38.7 u,57.2 u
Annual,Percentage,Total,75 years or over,Latvia,29.9,29.4
Annual,Percentage,Total,75 years or over,Malta,61.5 u,39.0 u
Annual,Percentage,Total,75 years or over,Netherlands,78.7,77.1
Annual,Percentage,Total,75 years or over,Norway,71.4 u,66.3 u
Annual,Percentage,Total,75 years or over,Poland,32.1,40.2
Annual,Percentage,Total,75 years or over,Portugal,33.5,31.6
Annual,Percentage,Total,75 years or over,Romania,23.4,18.2
Annual,Percentage,Total,75 years or over,Serbia,:,33.7
Annual,Percentage,Total,75 years or over,Sweden,57.9 u,62.3
Annual,Percentage,Total,75 years or over,Slovenia,44.4,33.5
Annual,Percentage,Total,75 years or over,Slovakia,30.3,29.7
Annual,Percentage,Total,75 years or over,Türkiye,10.4,11.3
Annual,Percentage,Total,75 years or over,United Kingdom,45.9,:
