Time frequency,Economical indicator for structural business statistics,Means of goods and services supply,Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Enterprises - number,Services provided electronically,Services of the business economy (except trade),Number,Italy,881.0
Annual,Enterprises - number,Services provided electronically,Services of the business economy (except trade),Number,Latvia,121.0
Annual,Enterprises - number,Services provided electronically,Services of the business economy (except trade),Number,Portugal,452.0
Annual,Enterprises - number,Services provided electronically,Total - all NACE activities,Number,Bulgaria,329.0
Annual,Enterprises - number,Services provided electronically,Total - all NACE activities,Number,Denmark,691.0
Annual,Enterprises - number,Services provided electronically,Total - all NACE activities,Number,Hungary,567.0
Annual,Enterprises - number,Services provided electronically,Total - all NACE activities,Number,Italy,1950.0
Annual,Enterprises - number,Services provided electronically,Total - all NACE activities,Number,Latvia,165.0
Annual,Enterprises - number,Services provided electronically,Total - all NACE activities,Number,Portugal,733.0
Annual,Enterprises - number,Services provided by people resident where the services take place,Industry and construction (except manufacturing),Number,Bulgaria,: @C
Annual,Enterprises - number,Services provided by people resident where the services take place,Industry and construction (except manufacturing),Number,Denmark,16.0
Annual,Enterprises - number,Services provided by people resident where the services take place,Industry and construction (except manufacturing),Number,Hungary,7.0
Annual,Enterprises - number,Services provided by people resident where the services take place,Industry and construction (except manufacturing),Number,Italy,67.0
Annual,Enterprises - number,Services provided by people resident where the services take place,Industry and construction (except manufacturing),Number,Latvia,15.0
Annual,Enterprises - number,Services provided by people resident where the services take place,Industry and construction (except manufacturing),Number,Portugal,33.0
Annual,Enterprises - number,Services provided by people resident where the services take place,Manufacturing,Number,Bulgaria,51.0
Annual,Enterprises - number,Services provided by people resident where the services take place,Manufacturing,Number,Denmark,114.0
Annual,Enterprises - number,Services provided by people resident where the services take place,Manufacturing,Number,Hungary,87.0
Annual,Enterprises - number,Services provided by people resident where the services take place,Manufacturing,Number,Italy,696.0
Annual,Enterprises - number,Services provided by people resident where the services take place,Manufacturing,Number,Latvia,29.0
Annual,Enterprises - number,Services provided by people resident where the services take place,Manufacturing,Number,Portugal,51.0
Annual,Enterprises - number,Services provided by people resident where the services take place,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Bulgaria,: @C
Annual,Enterprises - number,Services provided by people resident where the services take place,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Denmark,69.0
Annual,Enterprises - number,Services provided by people resident where the services take place,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Hungary,45.0
Annual,Enterprises - number,Services provided by people resident where the services take place,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Italy,113.0
Annual,Enterprises - number,Services provided by people resident where the services take place,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Latvia,17.0
Annual,Enterprises - number,Services provided by people resident where the services take place,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Portugal,24.0
Annual,Enterprises - number,Services provided by people resident where the services take place,Services of the business economy (except trade),Number,Bulgaria,45.0
Annual,Enterprises - number,Services provided by people resident where the services take place,Services of the business economy (except trade),Number,Denmark,220.0
Annual,Enterprises - number,Services provided by people resident where the services take place,Services of the business economy (except trade),Number,Hungary,156.0
Annual,Enterprises - number,Services provided by people resident where the services take place,Services of the business economy (except trade),Number,Italy,583.0
Annual,Enterprises - number,Services provided by people resident where the services take place,Services of the business economy (except trade),Number,Latvia,54.0
Annual,Enterprises - number,Services provided by people resident where the services take place,Services of the business economy (except trade),Number,Portugal,137.0
Annual,Enterprises - number,Services provided by people resident where the services take place,Total - all NACE activities,Number,Bulgaria,111.0
Annual,Enterprises - number,Services provided by people resident where the services take place,Total - all NACE activities,Number,Denmark,419.0
Annual,Enterprises - number,Services provided by people resident where the services take place,Total - all NACE activities,Number,Hungary,295.0
Annual,Enterprises - number,Services provided by people resident where the services take place,Total - all NACE activities,Number,Italy,1459.0
Annual,Enterprises - number,Services provided by people resident where the services take place,Total - all NACE activities,Number,Latvia,115.0
