Time frequency,Unit of measure,Meat product,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Thousand tonnes,Bovine meat,Armenia,34.4,40.4,43.3,49.3,49.6,48.0,48.2,47.6,53.6,59.0,63.6,68.1,70.8,68.8,68.1,68.6,69.4,65.6
Annual,Thousand tonnes,Bovine meat,Azerbaijan,95.9,97.8,98.4,100.5,102.3,112.4,115.5,118.4,120.8,122.4,129.8,131.0,132.9,135.6,137.9,143.1,145.0,148.6
Annual,Thousand tonnes,Bovine meat,Belarus,255.8,271.8,274.4,268.9,307.9,308.1,297.8,293.0,315.7,295.5,339.0,327.2,317.3,326.0,328.0,340.5,:,:
Annual,Thousand tonnes,Bovine meat,Georgia,46.4,33.0 bd,31.3,25.1,29.2,26.7,21.3,16.2,20.2,22.8 bd,24.4,21.5,21.4,22.9,22.1,20.1,20.5,23.8
Annual,Thousand tonnes,Bovine meat,Moldova,15.6 d,15.0 d,15.2 d,10.6 d,11.1 d,10.2 d,9.7 d,9.5 d,8.3 d,8.2 d,8.4 d,9.5 d,7.6 d,8.1 d,7.6 d,8.3 d,7.3 d,10.0 d
Annual,Thousand tonnes,Bovine meat,Ukraine,561.8,567.4,546.1,479.7,453.5,427.7,399.1,388.5,427.8,412.7 d,384.0 d,375.6 d,363.5 d,358.9 d,369.5 d,345.4 d,310.5 d,268.4 d
Annual,Thousand tonnes,Pigmeat,Armenia,9.4,14.1,13.3,7.5,7.2,7.9,9.4,9.5,12.6,16.2,17.5,18.0,16.6,16.3,16.1,15.7,15.8,14.9
Annual,Thousand tonnes,Pigmeat,Azerbaijan,2.1,1.9,1.4,1.2,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Annual,Thousand tonnes,Pigmeat,Belarus,321.0,345.9,371.9,376.0,388.2,398.4,419.3,442.9,468.9,360.3,361.6,384.4,399.6,397.4,382.8,402.7,:,:
Annual,Thousand tonnes,Pigmeat,Georgia,33.3,31.1 bd,21.4,11.4,8.2,12.8,11.6,11.8,14.9,17.3 bd,18.7,16.1,15.5,17.6,18.3,19.8,21.8,20.7
Annual,Thousand tonnes,Pigmeat,Moldova,39.7 d,48.0 d,58.9 d,35.1 d,42.2 d,56.9 d,63.9 d,64.5 d,61.1 d,64.6 d,71.9 d,72.7 d,62.2 d,65.9 d,64.9 d,62.9 d,68.1 d,63.7 d
Annual,Thousand tonnes,Pigmeat,Ukraine,493.7,526.1,634.7,589.9,526.5,631.2,704.4,700.8,748.3,742.6 d,759.7 d,747.6 d,735.9 d,702.6 d,708.3 d,697.2 d,724.0 d,658.7 d
Annual,Thousand tonnes,Sheepmeat,Armenia,7.6 d,7.2 d,7.3 d,7.4 d,8.9 d,8.2 d,8.4 d,8.5 d,9.0 d,9.1 d,9.8 d,10.3 d,11.0 d,10.8 d,10.7 d,10.8,10.8 d,10.8
Annual,Thousand tonnes,Sheepmeat,Azerbaijan,53.7 d,56.6 d,57.9 d,61.1 d,64.8 d,70.0 d,70.1 d,70.4 d,70.9 d,68.7 d,70.9 d,75.2 d,79.1 d,80.8 d,85.3 d,87.0 d,87.7 d,89.0 d
Annual,Thousand tonnes,Sheepmeat,Georgia,7.6 d,7.6 d,7.5 d,7.5 d,4.1 d,4.9 d,4.0 d,2.5 d,2.8 d,4.1 d,4.8 d,4.6 d,6.7 d,9.1 d,5.9 d,4.9 d,4.4 d,5.2 d
Annual,Thousand tonnes,Sheepmeat,Ukraine,8.2,7.9,7.2,8.4,8.6,10.4,11.3,12.2,11.6,8.9 d,8.4 d,8.5 d,7.5 d,7.8 d,7.7 d,6.3 d,6.6 d,6.0 d
Annual,Thousand tonnes,Goat meat,Ukraine,8.0,6.7,8.1,8.7,9.2,10.6,8.3,7.5,7.1,5.5 d,5.3 d,4.9 d,6.0 d,6.5 d,6.2 d,5.2 d,5.6 d,4.9 d
Annual,Thousand tonnes,Poultry meat,Armenia,4.6,5.1,5.8,6.7,5.0,5.4,5.7,8.3,8.2,8.8,9.5,9.7,10.6,12.3,12.4,12.6,14.6,11.9
Annual,Thousand tonnes,Poultry meat,Azerbaijan,46.3,48.4,61.0,65.2,63.6,61.7,68.6,86.5,94.5,99.4,97.2,95.5,104.3,109.1,112.0,115.4,124.4,130.1
Annual,Thousand tonnes,Poultry meat,Belarus,115.2,145.2,165.2,192.5,220.1,260.4,298.7,353.7,384.2,414.1,445.6,457.7,488.3,500.1,526.7,539.6,:,:
Annual,Thousand tonnes,Poultry meat,Georgia,16.9,11.2 bd,12.4,12.9,12.4,11.6,12.0,11.7,10.1,14.6 bd,18.4,23.5,22.3,22.6,22.8,24.2,25.5,24.5
Annual,Thousand tonnes,Poultry meat,Moldova,28.0 d,30.9 d,31.8 d,29.6 d,34.5 d,40.9 d,41.4 d,38.8 d,42.9 d,46.7 d,47.0 d,52.4 d,44.4 d,45.2 d,43.2 d,45.5 d,39.9 d,44.6 d
Annual,Thousand tonnes,Poultry meat,Ukraine,496.6,589.3,689.4,794.0,894.2,953.5,995.2,1074.7,1168.3,1164.7 d,1143.7 d,1166.8 d,1184.7 d,1258.9 d,1381.4 d,1404.7 d,1373.5 d,1252.9 d
