Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,"Index, 2015=100",Austria,90.8 e,96.1,97.4,99.0,100.0,100.8,100.2,90.7 be,87.5 e,81.5 e,79.3 e,81.3 e
Annual,"Index, 2015=100",Belgium,110.5,114.0 be,111.5 e,103.7 be,100.0,97.4 e,96.6 e,95.5 e,93.8 e,80.8 e,79.3 e,83.3 ep
Annual,"Index, 2015=100",Bulgaria,91.1 e,91.8 e,94.4 e,99.1 e,100.0,96.0 e,93.9 e,89.7 e,88.7 e,75.4 e,72.3 e,76.5 e
Annual,"Index, 2015=100",Switzerland,103.6,102.9,101.9 e,100.7 e,100.0,99.8 e,99.6 e,97.1 e,97.5 e,79.1 e,79.3 e,84.6 e
Annual,"Index, 2015=100",Cyprus,87.2 e,91.1 e,96.8 e,100.4 e,100.0,97.9 e,94.2 e,92.4 e,90.1 e,74.9 e,73.3 e,76.2 ep
Annual,"Index, 2015=100",Czechia,100.0,99.6,100.7 e,103.1 e,100.0,100.7 e,99.2 e,100.9,101.5,83.8 e,99.2,105.3
Annual,"Index, 2015=100",Germany,101.0 b,101.1,100.9,100.2,100.0,100.0,94.6 e,93.8 e,91.1 ep,80.0 p,78.1 p,83.0 p
Annual,"Index, 2015=100",Denmark,99.3 e,98.5 e,98.0 e,98.4 e,100.0,99.9 e,98.8 e,97.0 e,98.3 e,88.1 e,85.7 e,91.6 e
Annual,"Index, 2015=100",Estonia,90.6 e,91.9 e,93.9 e,95.9 e,100.0,104.2 e,99.8 e,97.8 e,100.0 e,79.2 e,78.3 e,87.6 e
Annual,"Index, 2015=100",Greece,90.6 e,96.3 e,98.0 e,98.4 e,100.0,101.6 e,101.7 e,101.3 e,100.9 e,92.0 e,90.7 ep,93.8 ep
Annual,"Index, 2015=100",Spain,106.6,105.9,105.8,99.4,100.0,100.6 be,94.4 e,94.8 e,93.6 e,77.3 e,88.1 ep,94.7 ep
Annual,"Index, 2015=100",European Union - 27 countries (from 2020),102.1 be,100.9 be,100.8 e,100.1 be,100.0,100.2 be,98.3 e,96.6 be,95.4 e,78.6 e,81.9 e,87.2 e
Annual,"Index, 2015=100",Finland,96.6,97.9,98.6,99.2,100.0,98.5 b,95.7,94.9,94.0,89.2,85.3,83.5
Annual,"Index, 2015=100",France,107.1 e,106.6,99.6,99.8,100.0,100.2,99.0,96.7,94.6,79.2,85.8 p,96.2 p
Annual,"Index, 2015=100",Croatia,96.7 e,101.1 e,101.8 e,102.3 e,100.0,96.8 e,94.4 e,89.1 e,85.9 e,70.9 e,71.9 e,71.8 ep
Annual,"Index, 2015=100",Hungary,105.7,107.3 e,104.3 e,101.3 e,100.0,103.1 e,103.5 e,100.7 e,99.3 e,91.8 e,89.8 e,96.3 e
Annual,"Index, 2015=100",Ireland,126.2 e,123.8 e,125.5 e,114.4 e,100.0,104.0 e,98.8 e,93.0 e,90.6 e,69.9 e,64.6 e,65.1 e
Annual,"Index, 2015=100",Iceland,96.0 e,96.1 e,94.6 e,97.8 e,100.0,109.0 e,114.5 e,112.5 e,109.5 e,91.0 e,103.6 e,103.9 e
Annual,"Index, 2015=100",Italy,94.7 e,87.3,94.4 e,96.5,100.0,102.0,105.3,102.0,102.9,68.6,80.1,83.0
Annual,"Index, 2015=100",Lithuania,134.2,146.0,138.1,101.1,100.0,100.7,115.5,107.5,106.9 e,93.5 e,94.6 e,100.1 e
Annual,"Index, 2015=100",Luxembourg,98.8 e,99.4 e,98.3 e,98.8 e,100.0,97.6 e,98.5 e,99.4 e,99.0 e,84.2 e,84.2 e,90.6 e
Annual,"Index, 2015=100",Latvia,102.7,96.5,95.8,99.0,100.0,99.3,102.0,99.9,100.8,94.1,79.4,76.2
Annual,"Index, 2015=100",Montenegro,101.0 e,105.8 e,104.7 e,101.8 e,100.0,106.7 e,103.7 e,104.5 e,105.2 e,99.9 e,97.9 e,98.9 e
Annual,"Index, 2015=100",North Macedonia,83.0 e,77.7,96.3,102.6,100.0,96.2,95.0,96.9,93.0,103.8 e,109.7,112.3 ep
Annual,"Index, 2015=100",Malta,115.2 e,111.0 e,106.9 e,104.6 e,100.0,99.8 e,91.0 e,86.5 e,82.8 e,74.8 e,71.2 e,71.8 e
Annual,"Index, 2015=100",Netherlands,105.9 e,106.8 e,108.0 e,106.8 e,100.0,99.0 e,95.0 e,97.0 e,97.0 e,68.4 e,71.5 e,77.6 ep
Annual,"Index, 2015=100",Norway,101.0,98.1,98.5,99.6,100.0,100.2 e,87.0 e,87.0 e,86.8 e,77.9 e,77.8 e,81.0 e
Annual,"Index, 2015=100",Poland,110.4,104.9,104.5 e,102.4 e,100.0,101.8 e,99.9 e,96.1 e,94.4 e,84.9 e,83.4 e,84.3 e
Annual,"Index, 2015=100",Portugal,95.7 e,98.3 e,98.7 e,99.3 e,100.0,104.4 e,103.8 e,104.7 e,104.8 e,95.3 e,97.7 e,100.7 ep
