Time frequency,Unit of measure,Land use category (km²),Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
Annual,Percentage,Agricultural irrigated land,Algeria,9.6 i,9.9 i,9.9 i,10.2 i,10.5 i,11.7 i,11.7 i,12.3 i,12.9 i,13.6 i,14.1 i,14.7 i,15.2 i,:
Annual,Percentage,Agricultural irrigated land,Jordan,28.0 i,33.1 i,31.0 i,35.5 i,35.7 i,39.3 i,36.9 i,35.8 i,35.1 i,37.7 i,38.1 i,35.8 i,30.7 i,29.8 i
Annual,Percentage,Agricultural irrigated land,Lebanon,:,:,:,:,:,:,48.9 i,:,:,:,:,53.7 i,:,:
Annual,Percentage,Agricultural irrigated land,Palestine*,13.0 i,14.3 i,14.7 i,14.2 i,:,8.2 i,16.2 i,:,:,:,:,:,:,:
Annual,Percentage,Agricultural irrigated land,Tunisia,3.8 i,4.0 i,4.1 i,4.3 i,4.4 i,4.7 i,4.5 i,4.5 i,4.2 i,4.4 i,4.3 i,4.5 i,:,:
