Time frequency,International Standard Classification of Education (ISCED 2011),Classification of activities for time use,Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2015.0,2022.0
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Active citizenship,16 years or over,Total,Percentage,Austria,3.7,5.6
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Active citizenship,16 years or over,Total,Percentage,Belgium,1.6,2.6
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Active citizenship,16 years or over,Total,Percentage,Bulgaria,1.5,0.8
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Active citizenship,16 years or over,Total,Percentage,Switzerland,15.6,13.7
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Active citizenship,16 years or over,Total,Percentage,Cyprus,1.3,0.6
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Active citizenship,16 years or over,Total,Percentage,Czechia,2.0,2.9
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Active citizenship,16 years or over,Total,Percentage,Germany,7.2,: u
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Active citizenship,16 years or over,Total,Percentage,Denmark,6.1,7.2
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Active citizenship,16 years or over,Total,Percentage,Euro area – 20 countries (from 2023),:,3.7 e
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Active citizenship,16 years or over,Total,Percentage,Estonia,4.6,4.5
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Active citizenship,16 years or over,Total,Percentage,Greece,5.7,3.6
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Active citizenship,16 years or over,Total,Percentage,Spain,3.9,2.6
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Active citizenship,16 years or over,Total,Percentage,European Union - 27 countries (from 2020),5.8,3.6 e
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Active citizenship,16 years or over,Total,Percentage,Finland,13.6,:
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Active citizenship,16 years or over,Total,Percentage,France,12.5,4.6
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Active citizenship,16 years or over,Total,Percentage,Croatia,1.9,1.5
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Active citizenship,16 years or over,Total,Percentage,Hungary,1.6,1.1
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Active citizenship,16 years or over,Total,Percentage,Ireland,7.9 u,2.8
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Active citizenship,16 years or over,Total,Percentage,Iceland,15.1,:
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Active citizenship,16 years or over,Total,Percentage,Italy,3.5,1.3
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Active citizenship,16 years or over,Total,Percentage,Lithuania,1.8,1.6
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Active citizenship,16 years or over,Total,Percentage,Luxembourg,10.3,18.5
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Active citizenship,16 years or over,Total,Percentage,Latvia,2.4,1.2
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Active citizenship,16 years or over,Total,Percentage,Montenegro,1.2,2.0
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Active citizenship,16 years or over,Total,Percentage,North Macedonia,4.1,:
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Active citizenship,16 years or over,Total,Percentage,Malta,9.7,9.5
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Active citizenship,16 years or over,Total,Percentage,Netherlands,12.5,8.7
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Active citizenship,16 years or over,Total,Percentage,Norway,12.2,32.6
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Active citizenship,16 years or over,Total,Percentage,Poland,3.0 u,1.4
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Active citizenship,16 years or over,Total,Percentage,Portugal,5.2,4.4
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Active citizenship,16 years or over,Total,Percentage,Romania,2.0,1.7
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Active citizenship,16 years or over,Total,Percentage,Serbia,2.3,2.0
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Active citizenship,16 years or over,Total,Percentage,Sweden,24.3,11.7
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Active citizenship,16 years or over,Total,Percentage,Slovenia,4.3,2.1
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Active citizenship,16 years or over,Total,Percentage,Slovakia,1.1,2.8
Annual,"Less than primary, primary and lower secondary education (levels 0-2)",Active citizenship,16 years or over,Total,Percentage,United Kingdom,9.0 u,:
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Active citizenship,16 years or over,Total,Percentage,Austria,10.2,9.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Active citizenship,16 years or over,Total,Percentage,Belgium,4.1,3.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Active citizenship,16 years or over,Total,Percentage,Bulgaria,3.1,1.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Active citizenship,16 years or over,Total,Percentage,Switzerland,25.7,22.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Active citizenship,16 years or over,Total,Percentage,Cyprus,1.8,1.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Active citizenship,16 years or over,Total,Percentage,Czechia,3.8,4.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Active citizenship,16 years or over,Total,Percentage,Germany,13.1,: u
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Active citizenship,16 years or over,Total,Percentage,Denmark,8.2,7.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Active citizenship,16 years or over,Total,Percentage,Euro area – 20 countries (from 2023),:,8.1 e
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Active citizenship,16 years or over,Total,Percentage,Estonia,8.0,6.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Active citizenship,16 years or over,Total,Percentage,Greece,8.9,6.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Active citizenship,16 years or over,Total,Percentage,Spain,9.5,5.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Active citizenship,16 years or over,Total,Percentage,European Union - 27 countries (from 2020),11.7,7.0 e
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Active citizenship,16 years or over,Total,Percentage,Finland,23.3,:
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Active citizenship,16 years or over,Total,Percentage,France,22.7,10.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Active citizenship,16 years or over,Total,Percentage,Croatia,6.5,2.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Active citizenship,16 years or over,Total,Percentage,Hungary,4.2,2.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Active citizenship,16 years or over,Total,Percentage,Ireland,12.0 u,4.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Active citizenship,16 years or over,Total,Percentage,Iceland,23.5,:
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Active citizenship,16 years or over,Total,Percentage,Italy,7.5,2.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Active citizenship,16 years or over,Total,Percentage,Lithuania,4.5,4.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Active citizenship,16 years or over,Total,Percentage,Luxembourg,18.9,22.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Active citizenship,16 years or over,Total,Percentage,Latvia,4.3,1.7
