Time frequency,Unit of measure,Activity and employment status,International Standard Classification of Occupations 2008 (ISCO-08),Geopolitical entity (reporting)\Time,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Per hundred thousand inhabitants,Licensed to practice,Medical doctors,Belgium,485.45,491.54,501.18,514.09,524.5,533.41,546.26,559.24,582.49,598.17,610.28,628.19
Annual,Per hundred thousand inhabitants,Licensed to practice,Medical doctors,Cyprus,:,:,:,:,350.50 bd,371.85 d,390.46 d,401.27 d,421.58 d,444.36 d,:,:
Annual,Per hundred thousand inhabitants,Licensed to practice,Medical doctors,Czechia,466.18,401.73,395.61,401.11,395.91,397.24,403.94,408.54,413.46,412.24,529.06,537.1
Annual,Per hundred thousand inhabitants,Licensed to practice,Medical doctors,Germany,539.73,557.48,568.34,580.86,591.67,592.22,600.05,609.58,619.31,630.02,642.91,656.58
Annual,Per hundred thousand inhabitants,Licensed to practice,Medical doctors,Denmark,552.65,565.2,575.72,585.24,594.9,605.76,619.41,634.82,651.23,667.31,:,:
Annual,Per hundred thousand inhabitants,Licensed to practice,Medical doctors,Estonia,432.9,443.26,454.98,467.3,478.43,488.06,496.66,505.85,513.32,518.65,524.4,530.88 p
Annual,Per hundred thousand inhabitants,Licensed to practice,Medical doctors,Greece,575.76,577.63,577.98,581.26,586.7,590.21,612.21,606.62,610.4,616.12,619.5,:
Annual,Per hundred thousand inhabitants,Licensed to practice,Medical doctors,Spain,479.82,484.41,489.42,499.39,512.55,522.86,533.43,544.71,556.84,568.57,583.13,:
Annual,Per hundred thousand inhabitants,Licensed to practice,Medical doctors,Finland,378.61,393.41 b,399.39,405.5,410.86,415.62,420.3,423.48,425.51,429.55,432.51,:
Annual,Per hundred thousand inhabitants,Licensed to practice,Medical doctors,Croatia,:,:,:,:,:,:,:,411.95,428.56,457.59,446.18,:
Annual,Per hundred thousand inhabitants,Licensed to practice,Medical doctors,Hungary,484.66,494.1,500.11,523.08,535.77,552.03,568.64,568.08,578.38,595.5,600.77,612.90 p
Annual,Per hundred thousand inhabitants,Licensed to practice,Medical doctors,Ireland,412.73,410.36,394.97,392.75,408.78,435.58,458.45,472.88,478.83,477.43,497.55,518.46
Annual,Per hundred thousand inhabitants,Licensed to practice,Medical doctors,Iceland,674.76,689.94,704.99,720.9,732.16,745.43,741.42 b,752.19,764.34,772.96,:,:
Annual,Per hundred thousand inhabitants,Licensed to practice,Medical doctors,Italy,626.63,639.83,638.35,637.43,633.11,639.18,646.38,654.67,669.47,685.32,710.83,:
Annual,Per hundred thousand inhabitants,Licensed to practice,Medical doctors,Liechtenstein,299.82,313.95,324.64,329.88,327.54,338.72,331.42,366.16,352.98,373.42,372.74,348.23
Annual,Per hundred thousand inhabitants,Licensed to practice,Medical doctors,Lithuania,:,449.16 b,473.7,494.95,487.01,491.24,499.26,515.41,529.57,497.76,494.44,493.44
Annual,Per hundred thousand inhabitants,Licensed to practice,Medical doctors,Luxembourg,423.91,402.43,381.77,387.96,404.98,436.62 b,408.94,418.72,:,:,:,:
Annual,Per hundred thousand inhabitants,Licensed to practice,Medical doctors,Latvia,:,:,:,:,:,:,:,:,455.23,470.16,481.99,:
Annual,Per hundred thousand inhabitants,Licensed to practice,Medical doctors,Montenegro,:,:,:,:,:,:,:,:,305.01,:,:,:
Annual,Per hundred thousand inhabitants,Licensed to practice,Medical doctors,Malta,386.48,387.97 b,403.55,421.39,437.92,478.37,497.41,512.61,514.0,519.58,535.77,:
Annual,Per hundred thousand inhabitants,Licensed to practice,Medical doctors,Netherlands,412.45,426.91,439.75,451.76,464.87,477.36,488.98,506.97,389.97 b,397.44,408.23,:
Annual,Per hundred thousand inhabitants,Licensed to practice,Medical doctors,Norway,537.71,541.8,555.32,567.6,582.22,593.03 b,610.62,631.39,643.95,663.33,679.01,696.02
Annual,Per hundred thousand inhabitants,Licensed to practice,Medical doctors,Poland,353.0,357.85,360.21,366.97,371.96,376.35,381.83,384.56,:,:,:,:
Annual,Per hundred thousand inhabitants,Licensed to practice,Medical doctors,Portugal,384.67,398.33,410.12,426.07,442.61,461.4,479.79,497.47,515.04,532.2,548.78,:
Annual,Per hundred thousand inhabitants,Licensed to practice,Medical doctors,Romania,222.26,222.11,213.03,210.67,199.9,244.21,257.23,283.7,286.1,291.48 b,300.38,:
Annual,Per hundred thousand inhabitants,Licensed to practice,Medical doctors,Serbia,357.38,371.37,385.74,400.05,413.28,423.32,428.86,436.43,465.17,488.48,496.02,527.36
Annual,Per hundred thousand inhabitants,Licensed to practice,Medical doctors,Sweden,569.64,585.08,601.07,618.04,633.44,649.74,659.91,669.28,680.88,692.66,707.22,:
Annual,Per hundred thousand inhabitants,Licensed to practice,Medical doctors,United Kingdom,361.13,367.96,370.85,371.51,366.71,360.45,361.58,367.31,376.46,:,:,:
