Time frequency,Unit of measure,Income situation in relation to the risk of poverty threshold,Age class,Sex,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,Total,Females,Albania,:,:,:,:,:,13.2,11.5,11.9,11.7,11.5,:,:
Annual,Percentage,Total,Total,Females,Austria,14.8,14.7,14.4,14.5,14.3,13.6,14.0,13.9,13.3,13.5,14.0,12.6
Annual,Percentage,Total,Total,Females,Belgium,17.8,16.9,16.7,16.0,15.8,15.5,14.4,14.3 b,13.2,13.0,13.6,14.0
Annual,Percentage,Total,Total,Females,Bulgaria,20.4,20.7,18.9,20.6,23.4 b,22.1,21.5,20.0,19.0,18.0,18.8,17.1
Annual,Percentage,Total,Total,Females,Switzerland,22.0,21.4,21.6 b,21.5,21.7,21.9,21.6,22.3,21.8,22.0,21.2,21.9
Annual,Percentage,Total,Total,Females,Cyprus,8.3,9.1,9.4,9.5,8.4,8.4,7.9,7.6,7.6,7.4,7.6,8.3
Annual,Percentage,Total,Total,Females,Czechia,19.9,21.3,20.7,20.1,19.4,18.7,17.9,17.0,16.1,15.9,16.3,18.4
Annual,Percentage,Total,Total,Females,Germany,23.1,23.0,22.4,22.5,22.1,21.5,21.1,21.3,16.8 b,18.5,19.9,20.1
Annual,Percentage,Total,Total,Females,Denmark,25.3,25.2,23.5,23.2,21.7,22.9,22.7,22.0,21.6 b,21.1,19.9,20.9
Annual,Percentage,Total,Total,Females,Euro area - 19 countries  (2015-2022),16.8,16.9,16.7,16.7,16.0,15.2,15.0,14.9,13.4,:,:,:
Annual,Percentage,Total,Total,Females,Euro area – 20 countries (from 2023),:,:,16.8,16.7,15.9,15.2,15.0,14.9,13.4,14.3 u,14.4,14.5
Annual,Percentage,Total,Total,Females,Estonia,15.1,14.7,13.7 b,12.6,11.4,10.8,10.4,10.5,10.0,10.3,10.8,12.6
Annual,Percentage,Total,Total,Females,Greece,31.6,34.1,37.5,37.9,34.3,34.1,34.4,33.1,30.9,28.3,29.6,30.3
Annual,Percentage,Total,Total,Females,Spain,12.8,13.1,12.8,12.7,12.2,11.6,11.7,11.0,10.8,11.4,11.7,11.8
Annual,Percentage,Total,Total,Females,European Union - 27 countries (2007-2013),16.8,17.0,17.4,17.1,16.5,16.0,15.6,15.4 e,:,:,:,:
Annual,Percentage,Total,Total,Females,European Union - 27 countries (from 2020),17.6 e,17.7 e,17.4 e,17.2 e,16.4 e,15.7 e,15.3 e,15.0 e,13.6,14.4 u,14.6,14.7
Annual,Percentage,Total,Total,Females,European Union - 28 countries (2013-2020),16.8,17.0,17.4,17.1,16.4,16.0,15.6,15.3 e,:,:,:,:
Annual,Percentage,Total,Total,Females,Finland,13.4,13.4,12.8,12.7,12.7,12.7,12.2,12.1,11.8,12.3,13.3,13.6
Annual,Percentage,Total,Total,Females,France,12.8,13.2,13.2,13.5,12.5,11.8,11.6,11.7,11.4 b,:,11.8 b,12.0
Annual,Percentage,Total,Total,Females,Croatia,14.5,15.7,16.1,15.0,14.7,13.9,13.4,13.1,12.5,12.4,12.0,10.9
Annual,Percentage,Total,Total,Females,Hungary,23.1,22.1,21.5,18.5,18.3,17.8,16.9,10.3,9.4,10.4,15.9,14.3
Annual,Percentage,Total,Total,Females,Ireland,12.8,8.8,13.1,12.5,12.2,11.5,10.3,10.6 b,10.5 b,9.7,10.1,11.6
Annual,Percentage,Total,Total,Females,Iceland,16.7,17.2,16.3,15.9,15.5,17.8,17.8,18.8,:,:,:,:
Annual,Percentage,Total,Total,Females,Italy,11.7,12.2,12.0,11.7,12.0,10.5,10.7,10.8,10.1,10.7,10.7,10.2
Annual,Percentage,Total,Total,Females,Lithuania,16.0,16.0,14.8,14.6,13.3,12.5,11.2,11.0,9.7,8.9,9.3,11.3
Annual,Percentage,Total,Total,Females,Luxembourg,8.4,8.0,7.9,8.0,9.2 b,9.1,10.4,10.0,10.0 b,6.8 b,12.3 b,14.9
Annual,Percentage,Total,Total,Females,Latvia,16.8,17.1,15.3,14.7,13.7,13.4,13.3,12.2,11.4,11.8,12.0,14.0
Annual,Percentage,Total,Total,Females,Montenegro,:,21.6,18.9,18.4,17.5,17.3,17.8,16.3,14.7,15.1,13.5,:
Annual,Percentage,Total,Total,Females,North Macedonia,20.1,18.6,19.1,18.2,17.0,16.6,15.4,15.3,13.7,:,:,:
Annual,Percentage,Total,Total,Females,Malta,7.1,6.6,5.4,4.4,4.6,3.7,4.4,4.4,5.0,4.7,4.6,5.6
Annual,Percentage,Total,Total,Females,Netherlands,26.9,27.0,26.9,26.5,19.9 b,18.5,18.1,18.1,16.7,15.6,16.8,16.6
Annual,Percentage,Total,Total,Females,Norway,16.8,17.0,14.8,15.9,14.6,15.3,15.3,16.7,15.6,15.4 b,17.9,20.5
Annual,Percentage,Total,Total,Females,Poland,18.8,18.9,18.8,17.8,16.7,15.3,15.1,14.4,14.0 b,14.4,14.1,14.1
Annual,Percentage,Total,Total,Females,Portugal,13.2,13.1,13.7,13.6,12.7,12.5,11.9,11.1,10.5,10.6,10.2,9.8
Annual,Percentage,Total,Total,Females,Romania,21.8,21.1,20.0,19.4,17.9,16.9,14.6,13.7,12.4,12.1,13.3,13.4
Annual,Percentage,Total,Total,Females,Serbia,:,27.7,29.9,30.6,28.4,30.3,29.0,24.9,22.9,22.4,21.2,:
Annual,Percentage,Total,Total,Females,Sweden,18.2,18.2,17.6,17.1,16.7,16.3,16.1,16.8,16.2,17.0,17.0,18.4
Annual,Percentage,Total,Total,Females,Slovenia,12.5,13.1,13.4,12.2,12.3,12.1,11.8,11.5,11.3,11.3,11.2,10.8
Annual,Percentage,Total,Total,Females,Slovakia,16.8,17.3,16.6,17.5,17.1,17.3,14.6,15.2,13.6,16.0,13.0,14.7
Annual,Percentage,Total,Total,Females,Türkiye,13.8,14.4,13.6,13.8,13.4,13.0,12.8,12.8,13.3,13.9,13.9,15.0
Annual,Percentage,Total,Total,Females,United Kingdom,11.5 b,12.3,17.0,16.7,16.5,18.4 b,17.9,:,:,:,:,:
Annual,Percentage,Total,Total,Males,Albania,:,:,:,:,:,13.0,11.1,11.5,11.2,10.9,:,:
