Time frequency,Unit of measure,Age class,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,From 15 to 34 years,Austria,42.6 e,40.9 e,40.6,41.0 e,38.5,40.9,40.3,40.2 b,35.8,40.0 e
Annual,Percentage,From 15 to 34 years,Bosnia and Herzegovina,:,:,:,:,:,:,:,50.8 be,55.1 e,59.3 e
Annual,Percentage,From 15 to 34 years,Belgium,35.8,33.4,35.1,34.1 b,35.1,36.0,34.9,33.3 b,31.9,33.6
Annual,Percentage,From 15 to 34 years,Bulgaria,46.6 e,45.0 e,46.7 e,49.4 e,48.7 e,47.1 e,41.5,41.6 b,37.6 b,38.3
Annual,Percentage,From 15 to 34 years,Switzerland,39.5,37.1 e,37.5,36.5,37.1 e,38.7 e,39.2,38.6 b,37.1,37.5
Annual,Percentage,From 15 to 34 years,Cyprus,42.1 e,45.5 e,44.0 e,44.9,40.3 e,40.2 e,39.2,45.0 b,47.5 e,46.0 e
Annual,Percentage,From 15 to 34 years,Czechia,38.5 e,38.9 e,41.3 e,39.7 e,36.7 e,36.9,34.8,33.1 b,33.7,36.1
Annual,Percentage,From 15 to 34 years,Germany,35.9,36.2,35.9,35.9,36.4,36.7,38.7 b,37.4 b,38.6,38.5
Annual,Percentage,From 15 to 34 years,Denmark,27.0 e,27.6 e,28.7 be,29.8 be,32.2 e,32.9 e,31.7 e,35.6 be,37.4,37.0 b
Annual,Percentage,From 15 to 34 years,Estonia,53.4 e,50.3,47.2 e,51.1 e,54.1,50.8,46.6 e,47.4 be,53.4 e,43.8 e
Annual,Percentage,From 15 to 34 years,Greece,39.1 e,36.7 e,35.0 e,32.8 e,31.6 e,29.4 e,30.8 e,30.3 b,34.2,33.5 e
Annual,Percentage,From 15 to 34 years,Spain,38.0 e,34.5 e,32.2 e,32.2 e,33.0 e,32.5 e,32.1 e,32.5 bd,34.9 d,36.7 d
Annual,Percentage,From 15 to 34 years,European Union - 27 countries (from 2020),37.0 e,36.3 e,35.8 e,35.9 e,35.7 e,36.5 e,36.4 e,36.3 be,36.8 e,37.3 e
Annual,Percentage,From 15 to 34 years,Finland,31.1 e,29.8,29.0,30.6,31.0,32.9,29.0,32.4 be,33.1,32.9
Annual,Percentage,From 15 to 34 years,France,37.2 b,38.8,36.2,36.8,36.5,39.6,36.3 e,36.9 bd,36.2 d,38.9 d
Annual,Percentage,From 15 to 34 years,Croatia,50.5 e,44.1 e,40.6 e,44.2 e,47.6 e,41.7 e,51.2 e,49.2 be,44.0 e,45.3 be
Annual,Percentage,From 15 to 34 years,Hungary,40.8 e,34.9,36.1,35.5,31.7 e,36.6 e,38.0 e,34.5 be,35.5 e,34.5 e
Annual,Percentage,From 15 to 34 years,Ireland,36.3 e,34.8 e,35.1 e,34.2 be,35.0 e,35.5 e,35.4 e,36.8 be,36.1 e,37.0 e
Annual,Percentage,From 15 to 34 years,Iceland,34.6 e,36.8 e,40.4 e,40.5 e,33.7 e,30.2 e,34.4 be,36.5 be,42.1 e,38.7 e
Annual,Percentage,From 15 to 34 years,Italy,26.4 e,25.7 e,24.4 e,23.9 e,23.6 be,25.1 e,26.7 e,27.2 be,28.2 e,29.3 e
Annual,Percentage,From 15 to 34 years,Lithuania,53.8 e,55.3 e,50.4 e,53.9 e,54.6 e,52.1 e,48.6 e,56.1 be,54.0 e,51.4 e
Annual,Percentage,From 15 to 34 years,Luxembourg,29.7 e,32.2 be,29.6,36.7 e,40.4 e,38.4 e,39.2,38.6 b,37.5 e,34.9 e
Annual,Percentage,From 15 to 34 years,Latvia,53.8 e,50.2 e,49.9 e,51.5 e,48.8 e,48.4 e,54.1 e,50.4 be,52.9 e,48.2 e
Annual,Percentage,From 15 to 34 years,Montenegro,43.3 e,34.5 u,42.5 e,44.6 e,43.6 e,56.5 e,38.7 e,:,:,:
Annual,Percentage,From 15 to 34 years,North Macedonia,51.9 e,50.0 e,56.2 e,51.7 e,60.0 e,58.7,54.8 e,:,:,:
Annual,Percentage,From 15 to 34 years,Malta,54.8 e,55.9 e,62.3 e,60.4 e,55.2,51.6 e,55.8 e,58.2 be,54.1 e,51.1 e
Annual,Percentage,From 15 to 34 years,Netherlands,33.9,32.7,33.7,34.3,34.8,34.6,36.3,37.1 be,37.3,37.5
Annual,Percentage,From 15 to 34 years,Norway,31.3 e,31.6 e,31.6 e,32.1 e,34.1,36.0 e,36.1 e,33.6 be,38.8 e,39.6 e
Annual,Percentage,From 15 to 34 years,Poland,51.0 e,49.2 e,53.5 e,51.0,46.1,46.7 b,44.7,42.9 b,41.7,43.1
Annual,Percentage,From 15 to 34 years,Portugal,41.7 e,39.6 e,37.5 e,38.2 e,41.9 e,41.4 e,38.6 e,37.5 be,41.4,42.5 e
Annual,Percentage,From 15 to 34 years,Romania,51.8,51.6 e,48.5 e,47.3 e,47.7 e,47.7 e,46.7 e,47.4 be,48.9 e,41.4 e
Annual,Percentage,From 15 to 34 years,Serbia,35.9 be,41.0 e,39.8 e,39.9 e,43.4 e,48.0 e,50.7 e,43.9 b,43.3 e,46.6 be
Annual,Percentage,From 15 to 34 years,Sweden,30.7,30.1,30.1 e,31.5 e,31.7 b,31.9,31.8 e,33.2 b,34.4 e,33.1 e
Annual,Percentage,From 15 to 34 years,Slovenia,40.9 e,41.3 e,35.4 e,35.5,37.0 e,36.6 e,40.3 e,34.7 be,33.5,34.9
Annual,Percentage,From 15 to 34 years,Slovakia,50.4 e,49.9,46.6 e,44.8 e,48.0 e,43.6,39.5 e,38.9 be,39.8 e,33.1 e
Annual,Percentage,From 15 to 34 years,Türkiye,67.5 be,66.4 e,64.8 e,63.3 e,61.3 e,57.8 e,57.3 e,58.8 b,61.1,57.8
Annual,Percentage,From 15 to 34 years,United Kingdom,36.9 e,34.8 e,35.0 e,35.3 e,35.9 e,35.6 e,:,:,:,:
Annual,Percentage,From 35 to 74 years,Austria,57.4,59.1,59.4,59.0,61.5,59.1,59.7,59.8 b,64.2,60.0
Annual,Percentage,From 35 to 74 years,Bosnia and Herzegovina,:,:,:,:,:,:,:,49.2 be,44.9 e,40.7 e
Annual,Percentage,From 35 to 74 years,Belgium,64.2,66.6,64.9,65.9 b,64.9,64.0,65.1,66.7 b,68.1,66.4
Annual,Percentage,From 35 to 74 years,Bulgaria,53.4 e,55.0 e,53.3 e,50.6 e,51.3 e,52.9,58.5,58.4 b,62.4 be,61.7
Annual,Percentage,From 35 to 74 years,Switzerland,60.5,62.9,62.5,63.5,62.9,61.3,60.8,61.4 b,62.9,62.5
Annual,Percentage,From 35 to 74 years,Cyprus,57.9 e,54.5 e,56.0 e,55.1,59.7,59.8,60.8,55.0 b,52.5,54.0 e
Annual,Percentage,From 35 to 74 years,Czechia,61.5,61.1,58.7,60.3,63.3,63.1,65.2,66.9 b,66.3,63.9
Annual,Percentage,From 35 to 74 years,Germany,64.1,63.8,64.1,64.1,63.6,63.3,61.3 b,62.6 b,61.4,61.5
Annual,Percentage,From 35 to 74 years,Denmark,73.0 e,72.4 e,71.3 be,70.2 be,67.8 e,67.1 e,68.3 e,64.4 b,62.6,63.0 b
Annual,Percentage,From 35 to 74 years,Estonia,46.6,49.7 e,52.8 e,48.9,45.9,49.2,53.4 e,52.6 b,46.6,56.2 e
Annual,Percentage,From 35 to 74 years,Greece,60.9 e,63.3 e,65.0 e,67.2 e,68.4 e,70.6 e,69.2 e,69.7 b,65.8,66.5
Annual,Percentage,From 35 to 74 years,Spain,62.0 e,65.5 e,67.8 e,67.8 e,67.0 e,67.5 e,67.9 e,67.5 bd,65.1 d,63.3 d
Annual,Percentage,From 35 to 74 years,European Union - 27 countries (from 2020),63.0 e,63.7 e,64.2 e,64.1 e,64.3 e,63.5 e,63.6 e,63.7 be,63.2 e,62.7 e
Annual,Percentage,From 35 to 74 years,Finland,68.9,70.2,71.0,69.4,69.0,67.1,71.0,67.6 b,66.9,67.1
Annual,Percentage,From 35 to 74 years,France,62.8 b,61.2,63.8,63.2,63.5,60.4,63.7,63.1 bd,63.8 de,61.1 d
Annual,Percentage,From 35 to 74 years,Croatia,49.5 e,55.9 e,59.4 e,55.8 e,52.4 e,58.3 e,48.8 e,50.8 be,56.0 e,54.7 be
Annual,Percentage,From 35 to 74 years,Hungary,59.2,65.1,63.9,64.5,68.3,63.4,62.0 e,65.5 be,64.5 e,65.5 e
Annual,Percentage,From 35 to 74 years,Ireland,63.7 e,65.2 e,64.9 e,65.8 be,65.0 e,64.5 e,64.6 e,63.2 be,63.9 e,63.0 e
Annual,Percentage,From 35 to 74 years,Iceland,65.4 e,63.2 e,59.6 e,59.5 e,66.3 e,69.8 e,65.6 be,63.5 be,57.9 e,61.3 e
Annual,Percentage,From 35 to 74 years,Italy,73.6 e,74.3 e,75.6 e,76.1 e,76.4 be,74.9 e,73.3 e,72.8 be,71.8 e,70.7 e
Annual,Percentage,From 35 to 74 years,Lithuania,46.2 e,44.7 e,49.6,46.1,45.4,47.9 e,51.4,43.9 b,46.0,48.6 e
Annual,Percentage,From 35 to 74 years,Luxembourg,70.3,67.8 b,70.4 e,63.3,59.6 e,61.6 e,60.8 e,61.4 b,62.5,65.1
Annual,Percentage,From 35 to 74 years,Latvia,46.2 e,49.8 e,50.1 e,48.5 e,51.2 e,51.6 e,45.9 e,49.6 b,47.1,51.8
Annual,Percentage,From 35 to 74 years,Montenegro,56.7 e,65.5 e,57.5 e,55.4 e,56.4 e,43.5 e,61.3 e,:,:,:
Annual,Percentage,From 35 to 74 years,North Macedonia,48.1 e,50.0 e,43.8 e,48.3 e,40.0 e,41.3 e,45.2 e,:,:,:
Annual,Percentage,From 35 to 74 years,Malta,45.2,44.1,37.7 e,39.6,44.8,48.4,44.2 e,41.8 be,45.9,48.9 e
Annual,Percentage,From 35 to 74 years,Netherlands,66.1,67.3,66.3,65.7,65.2,65.4,63.7,62.9 b,62.7,62.5
Annual,Percentage,From 35 to 74 years,Norway,68.7 e,68.4 e,68.4 e,67.9 e,65.9 e,64.0 e,63.9 e,66.4 be,61.2,60.4
Annual,Percentage,From 35 to 74 years,Poland,49.0,50.8 e,46.5 e,49.0,53.9,53.3 b,55.3 e,57.1 be,58.3,56.9 e
Annual,Percentage,From 35 to 74 years,Portugal,58.3 e,60.4 e,62.5 e,61.8 e,58.1 e,58.6 e,61.4 e,62.5 b,58.6,57.5
Annual,Percentage,From 35 to 74 years,Romania,48.2 e,48.4,51.5,52.7,52.3,52.3 e,53.3,52.6 b,51.1 e,58.6 e
Annual,Percentage,From 35 to 74 years,Serbia,64.1 b,59.0 e,60.2 e,60.1,56.6,52.0 e,49.3 e,56.1 b,56.7,53.4 b
Annual,Percentage,From 35 to 74 years,Sweden,69.3,69.9,69.9,68.5,68.3 b,68.1 e,68.2 e,66.8 b,65.6,66.9 e
Annual,Percentage,From 35 to 74 years,Slovenia,59.1,58.7 e,64.6,64.5 e,63.0 e,63.4 e,59.7 e,65.3 b,66.5,65.1 e
Annual,Percentage,From 35 to 74 years,Slovakia,49.6 e,50.1,53.4,55.2,52.0 e,56.4,60.5,61.1 b,60.2,66.9
Annual,Percentage,From 35 to 74 years,Türkiye,32.5 be,33.6 e,35.2 e,36.7 e,38.7 e,42.2 e,42.7 e,41.2 b,38.9 e,42.2
Annual,Percentage,From 35 to 74 years,United Kingdom,63.1 e,65.2 e,65.0 e,64.7 e,64.1 e,64.4 e,:,:,:,:
Annual,Thousand persons,From 15 to 34 years,Austria,63.8 e,68.4 e,72.4,77.1 e,73.7,75.4,78.1,77.3 b,79.0,95.1 e
Annual,Thousand persons,From 15 to 34 years,Bosnia and Herzegovina,:,:,:,:,:,:,:,9.0 be,10.8 e,14.5 e
Annual,Thousand persons,From 15 to 34 years,Belgium,68.9,62.9,68.0,77.9 b,85.9,85.9,84.0,90.5 b,88.6,91.6
Annual,Thousand persons,From 15 to 34 years,Bulgaria,34.8 e,39.8 e,42.9 e,47.9 e,50.6 e,47.8 e,42.9,44.9 b,41.9 b,48.4
Annual,Thousand persons,From 15 to 34 years,Switzerland,84.3,80.0 e,85.1,81.4,86.6 e,99.2 e,99.6,98.7 b,99.0,102.4
Annual,Thousand persons,From 15 to 34 years,Cyprus,4.2 e,4.4 e,4.4 e,4.9,5.2 e,4.6 e,5.0,7.5 b,9.8 e,11.4 e
Annual,Thousand persons,From 15 to 34 years,Czechia,71.2 e,68.9 e,77.9 e,75.3 e,77.6 e,78.9,76.5,79.7 b,78.4,78.6
Annual,Thousand persons,From 15 to 34 years,Germany,509.3,530.1,553.9,559.3,590.2,618.3,749.4 b,753.7 b,816.7,810.7
Annual,Thousand persons,From 15 to 34 years,Denmark,32.8 e,33.5 e,38.4 be,41.3 be,45.0 e,48.5 e,48.0 e,57.8 be,63.9,65.4 b
Annual,Thousand persons,From 15 to 34 years,Estonia,13.3 e,13.4,15.6 e,17.6 e,19.3,19.4,18.8 e,19.1 be,23.9 e,20.5 e
Annual,Thousand persons,From 15 to 34 years,Greece,23.6 e,21.2 e,23.3 e,25.0 e,26.9 e,23.5 e,24.8 e,28.3 b,35.3,33.8 e
Annual,Thousand persons,From 15 to 34 years,Spain,213.1 e,195.7 e,197.8 e,211.4 e,230.0 e,237.9 e,238.0 e,261.9 bd,306.8 d,343.0 d
Annual,Thousand persons,From 15 to 34 years,European Union - 27 countries (from 2020),2346.5 e,2381.9 e,2478.1 e,2577.4 e,2703.3 e,2884.3 e,3081.7 e,3249.9 be,3462.4 e,3658.4 e
Annual,Thousand persons,From 15 to 34 years,Finland,47.7 e,46.4,46.5,50.8,52.5,57.4,55.4,60.9 be,65.4,66.0
Annual,Thousand persons,From 15 to 34 years,France,317.7 b,351.6,350.2,374.6,387.5,447.8,443.0 e,457.7 bd,441.3 d,525.1 d
Annual,Thousand persons,From 15 to 34 years,Croatia,22.2 e,19.2 e,21.5 e,24.1 e,27.9 e,23.3 e,32.2 e,30.1 be,28.5 e,31.8 be
