Time frequency,Classification of activities for time use,Income quantile,Degree of urbanisation,Household composition,Reason,Unit of measure,Geopolitical entity (reporting)\Time,2022.0
Annual,Cinema,Total,Total,Total,No interest,Percentage,Croatia,26.1
Annual,Cinema,Total,Total,Total,No interest,Percentage,Hungary,19.6
Annual,Cinema,Total,Total,Total,No interest,Percentage,Ireland,33.0
Annual,Cinema,Total,Total,Total,No interest,Percentage,Italy,22.4
Annual,Cinema,Total,Total,Total,No interest,Percentage,Lithuania,11.0
Annual,Cinema,Total,Total,Total,No interest,Percentage,Luxembourg,23.8
Annual,Cinema,Total,Total,Total,No interest,Percentage,Latvia,13.8
Annual,Cinema,Total,Total,Total,No interest,Percentage,Malta,30.3
Annual,Cinema,Total,Total,Total,No interest,Percentage,Netherlands,31.2
Annual,Cinema,Total,Total,Total,No interest,Percentage,Norway,28.7
Annual,Cinema,Total,Total,Total,No interest,Percentage,Poland,19.3 u
Annual,Cinema,Total,Total,Total,No interest,Percentage,Portugal,37.6
Annual,Cinema,Total,Total,Total,No interest,Percentage,Romania,17.3
Annual,Cinema,Total,Total,Total,No interest,Percentage,Serbia,29.4
Annual,Cinema,Total,Total,Total,No interest,Percentage,Sweden,27.8
Annual,Cinema,Total,Total,Total,No interest,Percentage,Slovenia,31.5
Annual,Cinema,Total,Total,Total,No interest,Percentage,Slovakia,17.9
Annual,Cinema,Total,Total,Total,No time,Percentage,Albania,7.0
Annual,Cinema,Total,Total,Total,No time,Percentage,Austria,0.0 n
Annual,Cinema,Total,Total,Total,No time,Percentage,Belgium,5.7
Annual,Cinema,Total,Total,Total,No time,Percentage,Bulgaria,5.4
Annual,Cinema,Total,Total,Total,No time,Percentage,Switzerland,6.0 u
Annual,Cinema,Total,Total,Total,No time,Percentage,Cyprus,7.9
Annual,Cinema,Total,Total,Total,No time,Percentage,Czechia,7.5
Annual,Cinema,Total,Total,Total,No time,Percentage,Germany,: u
Annual,Cinema,Total,Total,Total,No time,Percentage,Denmark,0.0 n
Annual,Cinema,Total,Total,Total,No time,Percentage,Estonia,4.8
Annual,Cinema,Total,Total,Total,No time,Percentage,Greece,5.9
Annual,Cinema,Total,Total,Total,No time,Percentage,Spain,7.0
Annual,Cinema,Total,Total,Total,No time,Percentage,Finland,3.2
Annual,Cinema,Total,Total,Total,No time,Percentage,France,6.3
Annual,Cinema,Total,Total,Total,No time,Percentage,Croatia,6.0
Annual,Cinema,Total,Total,Total,No time,Percentage,Hungary,7.3
Annual,Cinema,Total,Total,Total,No time,Percentage,Ireland,3.1
Annual,Cinema,Total,Total,Total,No time,Percentage,Italy,7.9
Annual,Cinema,Total,Total,Total,No time,Percentage,Lithuania,5.0
Annual,Cinema,Total,Total,Total,No time,Percentage,Luxembourg,16.5
Annual,Cinema,Total,Total,Total,No time,Percentage,Latvia,4.6
Annual,Cinema,Total,Total,Total,No time,Percentage,Malta,1.8
Annual,Cinema,Total,Total,Total,No time,Percentage,Netherlands,5.0
Annual,Cinema,Total,Total,Total,No time,Percentage,Norway,6.8
Annual,Cinema,Total,Total,Total,No time,Percentage,Poland,13.1 u
Annual,Cinema,Total,Total,Total,No time,Percentage,Portugal,7.1
Annual,Cinema,Total,Total,Total,No time,Percentage,Romania,8.6
Annual,Cinema,Total,Total,Total,No time,Percentage,Serbia,9.4
