Time frequency,At risk of poverty - Yes/No,Age class,Work intensity,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,From 16 to 64 years,Total,Percentage,Austria,:,79.5,79.3,80.7,81.2,80.4,81.6,78.2,81.8,85.3
Annual,Total,From 16 to 64 years,Total,Percentage,Belgium,:,80.5,81.2,82.1,84.1,81.1 b,81.2 b,71.6,76.6,85.1
Annual,Total,From 16 to 64 years,Total,Percentage,Bulgaria,:,77.9,81.3 b,82.3,79.9,83.0,84.3,81.2,83.9,87.9
Annual,Total,From 16 to 64 years,Total,Percentage,Switzerland,:,:,80.2,79.4,81.1,79.2,78.6,85.7,87.3,87.2
Annual,Total,From 16 to 64 years,Total,Percentage,Cyprus,:,80.9,79.6,80.3,82.1,84.5,85.8,85.0,88.0,88.0
Annual,Total,From 16 to 64 years,Total,Percentage,Czechia,:,69.7,68.8,69.8,72.4,73.1,74.2,71.9,75.7,86.4
Annual,Total,From 16 to 64 years,Total,Percentage,Germany,:,81.5,82.0,82.3,83.1,83.5,84.3 b,80.2,79.6,81.7
Annual,Total,From 16 to 64 years,Total,Percentage,Denmark,:,:,:,:,:,:,:,88.8,89.9,91.1
Annual,Total,From 16 to 64 years,Total,Percentage,Euro area – 20 countries (from 2023),:,79.9 e,80.9 e,81.5 e,81.7 e,82.0 e,81.6 e,78.9 e,81.4,84.3
Annual,Total,From 16 to 64 years,Total,Percentage,Estonia,:,86.4,82.4,82.0,82.6,84.3,82.3,81.1,82.7,87.7
Annual,Total,From 16 to 64 years,Total,Percentage,Greece,:,89.4,91.8,91.8,90.3,88.5,88.6,87.8,88.7,90.9
Annual,Total,From 16 to 64 years,Total,Percentage,Spain,:,64.8,67.2,68.4,70.0,69.4,70.6,67.4,69.4,74.8
Annual,Total,From 16 to 64 years,Total,Percentage,European Union - 27 countries (from 2020),:,80.1 e,80.8 e,81.1 e,81.3 e,82.3 e,81.7 e,79.5 e,81.9,84.6
Annual,Total,From 16 to 64 years,Total,Percentage,Finland,:,:,:,:,:,:,:,:,:,78.0
Annual,Total,From 16 to 64 years,Total,Percentage,France,:,78.9,79.7,80.4,79.8,81.2,77.9 b,78.5,83.9 b,83.3
Annual,Total,From 16 to 64 years,Total,Percentage,Croatia,72.2,71.8,71.6,76.7,74.3,76.9,77.7,78.1,77.0,81.6 b
Annual,Total,From 16 to 64 years,Total,Percentage,Hungary,:,79.7,79.5,:,83.4,:,:,81.7,85.8,89.5
Annual,Total,From 16 to 64 years,Total,Percentage,Ireland,:,65.9,79.2,78.3,79.6,72.0 b,77.2 b,69.6,75.4,82.8
Annual,Total,From 16 to 64 years,Total,Percentage,Italy,:,86.3,86.8,86.1,85.8,86.0,85.9,80.9,83.1,87.9
Annual,Total,From 16 to 64 years,Total,Percentage,Lithuania,:,89.6,88.3,89.2,88.2,88.9,87.9,76.5,77.0,80.4
Annual,Total,From 16 to 64 years,Total,Percentage,Luxembourg,:,81.9,81.7 b,82.3,82.6,83.8,83.8 b,85.7 b,86.5,86.2
Annual,Total,From 16 to 64 years,Total,Percentage,Latvia,:,87.3,85.8,84.4,84.8,83.5,85.8,82.1,76.9,82.7
Annual,Total,From 16 to 64 years,Total,Percentage,North Macedonia,:,63.1,65.8,67.1,70.9,70.9,63.9,:,:,:
Annual,Total,From 16 to 64 years,Total,Percentage,Malta,:,:,:,:,:,:,:,:,:,95.0
Annual,Total,From 16 to 64 years,Total,Percentage,Netherlands,:,:,:,:,:,:,:,90.1,91.6,91.3
Annual,Total,From 16 to 64 years,Total,Percentage,Norway,:,:,:,:,:,:,:,:,:,83.9 b
Annual,Total,From 16 to 64 years,Total,Percentage,Poland,:,75.7,75.9,74.1,71.7,82.2,79.3,78.7,80.3,81.9
Annual,Total,From 16 to 64 years,Total,Percentage,Portugal,:,85.3,84.9,87.9,89.0,87.4,88.8,87.1,87.7,85.3
Annual,Total,From 16 to 64 years,Total,Percentage,Romania,:,93.7,90.7,90.1,91.6,93.3,91.5,88.8,90.0,89.7
Annual,Total,From 16 to 64 years,Total,Percentage,Serbia,:,75.4,71.6,76.8,76.5,78.9,78.8,93.5,94.4,:
Annual,Total,From 16 to 64 years,Total,Percentage,Sweden,:,76.8,77.0,78.5,79.6,78.3,79.4,81.7,81.5,83.3
Annual,Total,From 16 to 64 years,Total,Percentage,Slovenia,:,80.9,80.4,81.5,82.4,84.0,84.9,85.7,86.9,87.3
Annual,Total,From 16 to 64 years,Total,Percentage,Slovakia,:,:,:,:,:,:,:,84.9,87.6,91.8
Annual,Total,From 16 to 64 years,Total,Percentage,Türkiye,:,89.6,89.3,89.7,89.1,90.3,90.9,91.2,94.0,92.0
Annual,Total,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Austria,:,31.4,33.1,31.4,32.6,25.0,25.8,27.5,29.4,48.4
Annual,Total,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Belgium,:,21.2,24.1,25.2,27.8,25.2 b,24.4 b,17.0,20.5,16.1
Annual,Total,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Bulgaria,:,74.1,74.6 b,77.5,72.2,72.4,78.1,68.2,71.1,67.2
Annual,Total,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Switzerland,:,:,54.5,62.2 u,79.5 u,43.0 u,43.6 u,-0.5,9.7,-0.4
Annual,Total,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Cyprus,:,43.4,32.8,23.8,33.2,28.7,45.4,38.6,42.7,44.6
Annual,Total,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Czechia,:,26.1,32.9,32.8,33.9,33.3,32.3,34.8,40.6,37.9
Annual,Total,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Germany,:,28.4,27.8,28.3,30.1,31.8,39.7 b,36.3,15.7,17.7
Annual,Total,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Denmark,:,:,:,:,:,:,:,22.4,26.9,24.3
Annual,Total,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Euro area – 20 countries (from 2023),:,39.0 e,40.5 e,40.9 e,40.4 e,42.5 e,42.6 e,38.7 e,32.8,36.0
Annual,Total,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Estonia,:,53.4,49.3,53.9,55.5,50.5,46.9,46.7,50.1,52.6
Annual,Total,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Greece,:,76.7,79.3,75.1,60.3,55.7,58.7,58.7,58.3,57.3
Annual,Total,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Spain,:,39.6,39.3,44.0,40.2,41.3,44.7,46.0,44.1,48.3
Annual,Total,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,European Union - 27 countries (from 2020),:,40.9 e,42.0 e,42.1 e,41.8 e,43.4 e,43.6 e,39.8 e,35.1,37.8
Annual,Total,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Finland,:,:,:,:,:,:,:,: u,:,20.3
Annual,Total,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,France,:,34.8,38.0,37.4,34.4,37.8,31.4 b,30.7,32.8 b,35.4
Annual,Total,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Croatia,64.1,59.2,63.3,65.7,67.2,69.2,71.8,67.1,70.9,66.0 b
Annual,Total,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Hungary,:,47.4,52.9,:,55.5,:,:,56.1,65.3,62.3
Annual,Total,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Ireland,:,14.0,19.1,20.4,19.9,15.6 b,16.2 b,20.7,20.5,16.1
Annual,Total,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Italy,:,66.2,67.1,62.9,62.7,69.7,63.7,53.5,51.6,61.3
Annual,Total,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Lithuania,:,88.4,88.3,90.0,87.1,90.9,83.7,57.0,53.0,48.5
Annual,Total,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Luxembourg,:,20.6,44.4 b,46.1,45.9,48.6,31.3 b,22.7 b,32.5 b,43.3
Annual,Total,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Latvia,:,67.8,70.6,68.9,72.7,68.4,65.6,65.6,62.4,63.5
Annual,Total,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,North Macedonia,:,65.4,68.3,67.1,69.4,71.4,60.7,:,:,:
Annual,Total,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Malta,:,:,:,:,:,:,:,: u,:,53.4
Annual,Total,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Netherlands,:,:,:,:,:,:,:,18.7,18.5,10.6
Annual,Total,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Norway,:,:,:,:,:,:,:,: u,:,8.9 b
Annual,Total,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Poland,:,49.8,45.8,44.0,40.3,44.0,46.5,51.3,46.5,51.5
Annual,Total,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Portugal,:,51.2,48.2,53.1,54.7,54.8,54.4,53.5,46.9,52.4
Annual,Total,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Romania,:,72.1,71.6,71.4,75.2,80.9,83.5,80.2,82.3,77.3
Annual,Total,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Serbia,:,75.0,74.5,79.4,76.3,77.3,77.7,89.3,88.1,:
Annual,Total,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Sweden,:,27.4,28.1,29.4,29.6,29.6,30.2,30.5,30.2,34.3
Annual,Total,From 16 to 64 years,Very low work intensity (0-0.2),Percentage,Slovenia,:,49.2,49.4,48.0,46.9,42.9,38.7,43.0,44.5,49.5
