Time frequency,Unit of measure,Forestry indicators,Geopolitical entity (reporting)\Time,1990.0,2000.0,2010.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
Annual,Thousand hectares,Other wooded land,Lithuania,80.0,83.0,84.0,62.1,58.5,62.1,62.1,62.1,62.1
Annual,Thousand hectares,Other wooded land,Luxembourg,2.8,2.4,2.7,2.7,2.7,2.7,2.7,2.7,2.7
Annual,Thousand hectares,Other wooded land,Latvia,115.0,123.0,113.8,110.8,110.2,109.6,109.0,108.4,107.8
Annual,Thousand hectares,Other wooded land,Malta,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.07,0.07
Annual,Thousand hectares,Other wooded land,Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Thousand hectares,Other wooded land,Norway,1868.0,1869.0,1941.0,2043.0,2063.4,2083.8,2104.2,2124.6,2145.0
Annual,Thousand hectares,Other wooded land,Poland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Thousand hectares,Other wooded land,Portugal,1086.0,987.0,1501.0,1543.0,1543.0,1543.0,1543.0,1543.0,1543.0
Annual,Thousand hectares,Other wooded land,Romania,314.0,234.0,404.0,93.59,15.57,15.57,15.57,15.57,15.57
Annual,Thousand hectares,Other wooded land,Sweden,2432.0,2432.0,2432.0,2364.0,2364.0,2364.0,2364.0,2364.0,2364.0
Annual,Thousand hectares,Other wooded land,Slovenia,41.0,38.0,25.0,23.0,23.88,24.77,25.65,26.57,27.42
Annual,Thousand hectares,Other wooded land,Slovakia,19.22,19.99,20.99,20.82,20.75,20.41,20.41,20.41,20.41
Annual,Thousand hectares,Other wooded land,United Kingdom,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
