Time frequency,Currency,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0
Annual,Total (all currencies),Pension funding,Czechia,2477.0,3097.0,4011.0,4989.0,5786.0,7250.9,7866.73,8991.85,9781.98,10613.11
Annual,Total (all currencies),Pension funding,Denmark,4975.0,5117.0,:,:,:,:,:,:,:,:
Annual,Total (all currencies),Pension funding,Estonia,64.0,159.0,299.0,478.0,707.0,726.74,790.65,1601.63,939.26,1236.66
Annual,Total (all currencies),Pension funding,Greece,:,:,:,:,23.0,32.52 d,44.57,58.88,64.46,77.19
Annual,Total (all currencies),Pension funding,Spain,48506.0,58979 d,71229.0,79347 d,79385.0,70606.0,78409.0,77.9,76484.0,79071.0
Annual,Total (all currencies),Pension funding,Finland,5287 d,5022 d,4778.0,4700.0,4728 d,4312.39,4394.45,3826.46,1792.88,1904.62
Annual,Total (all currencies),Pension funding,France,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0
Annual,Total (all currencies),Pension funding,Hungary,:,:,:,:,0 d,12776.47 d,11462.95,13543.49 d,3893.06 d,:
Annual,Total (all currencies),Pension funding,Italy,:,:,:,:,:,52.64,52.64,70.81,77.0,87.64
Annual,Total (all currencies),Pension funding,Lithuania,:,37.0,119.0,262.0,489.0,645.59,945.4,1125.72,1182.14,1392.45
Annual,Total (all currencies),Pension funding,Latvia,:,40.0,54.0,74.0,99.0,115.21,135.48,159.99,171.69,:
Annual,Total (all currencies),Pension funding,Malta,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0
Annual,Total (all currencies),Pension funding,Netherlands,482416.0,531077.0,628595.0,738897.0,665933.0,614335.0,693692.0,755912.0,810038.0,:
Annual,Total (all currencies),Pension funding,Norway,:,:,:,:,20795.0,24856.21,21420.75,25572.25,26991.56,31417.91
Annual,Total (all currencies),Pension funding,Poland,63.0,94.0,149.0,219.0,276.0,293.84,308.95,386.01,378.34,447.58
Annual,Total (all currencies),Pension funding,Portugal,16171.0,15186.0,18982.0,21185.0,22301.0,20281.0,21915.0,19711.0,13238.0,14471.0
Annual,Total (all currencies),Pension funding,Romania,:,:,:,:,:,:,: u,:,: u,:
Annual,Total (all currencies),Pension funding,Slovenia,:,:,:,:,: @C,1170.01 d,1559.32,1737.19,2011.13,1950.58
Annual,Total (all currencies),Pension funding,Slovakia,:,:,:,1270.0,2312.0,1573.8,1675.36,936.46,917.45,984.66
