Time frequency,Unit of measure,Type of ownership,Geopolitical entity (reporting)\Time,2010.0
Annual,Euro,Private ownership,Austria,2471.0
Annual,Euro,Private ownership,Belgium,2906.0
Annual,Euro,Private ownership,Bulgaria,337.0
Annual,Euro,Private ownership,Switzerland,4721.0
Annual,Euro,Private ownership,Cyprus,1802.0
Annual,Euro,Private ownership,Czechia,929.0
Annual,Euro,Private ownership,Germany,2810.0
Annual,Euro,Private ownership,Denmark,4195.0
Annual,Euro,Private ownership,Euro area - 13 countries (2007),2452.0
Annual,Euro,Private ownership,Euro area - 16 countries (2009-2010),2442.0
Annual,Euro,Private ownership,Euro area - 17 countries (2011-2013),2436.0
Annual,Euro,Private ownership,Estonia,839.0
Annual,Euro,Private ownership,Greece,1666.0
Annual,Euro,Private ownership,Spain,1843.0
Annual,Euro,Private ownership,European Union - 15 countries (1995-2004),2592.0
Annual,Euro,Private ownership,European Union - 25 countries (2004-2006),2369.0
Annual,Euro,Private ownership,European Union - 27 countries (2007-2013),2286.0
Annual,Euro,Private ownership,European Union - 28 countries (2013-2020),2278.0
Annual,Euro,Private ownership,Finland,3092.0
Annual,Euro,Private ownership,France,2550.0
Annual,Euro,Private ownership,Croatia,946.0
Annual,Euro,Private ownership,Hungary,772.0
Annual,Euro,Private ownership,Ireland,3264.0
Annual,Euro,Private ownership,Iceland,2402.0
Annual,Euro,Private ownership,Italy,2157.0
Annual,Euro,Private ownership,Lithuania,553.0
Annual,Euro,Private ownership,Luxembourg,3597.0
Annual,Euro,Private ownership,Latvia,634.0
Annual,Euro,Private ownership,North Macedonia,444.0
Annual,Euro,Private ownership,Malta,1465.0
Annual,Euro,Private ownership,Netherlands,2910.0
Annual,Euro,Private ownership,Norway,4575.0
Annual,Euro,Private ownership,Poland,797.0
Annual,Euro,Private ownership,Portugal,1133.0
Annual,Euro,Private ownership,Romania,436.0
Annual,Euro,Private ownership,Sweden,3223.0
Annual,Euro,Private ownership,Slovenia,1346.0
Annual,Euro,Private ownership,Slovakia,791.0
Annual,Euro,Private ownership,Türkiye,744.0
Annual,Euro,Private ownership,United Kingdom,2775.0
Annual,Euro,Public ownership,Austria,3133.0
Annual,Euro,Public ownership,Belgium,3379.0
Annual,Euro,Public ownership,Bulgaria,360.0
Annual,Euro,Public ownership,Switzerland,5445.0
Annual,Euro,Public ownership,Cyprus,2949.0
Annual,Euro,Public ownership,Czechia,969.0
Annual,Euro,Public ownership,Germany,3273.0
Annual,Euro,Public ownership,Denmark,3836.0
Annual,Euro,Public ownership,Euro area - 13 countries (2007),2767.0
Annual,Euro,Public ownership,Euro area - 16 countries (2009-2010),2752.0
Annual,Euro,Public ownership,Euro area - 17 countries (2011-2013),2738.0
Annual,Euro,Public ownership,Estonia,773.0
Annual,Euro,Public ownership,Greece,2165.0
Annual,Euro,Public ownership,Spain,2399.0
Annual,Euro,Public ownership,European Union - 15 countries (1995-2004),2925.0
Annual,Euro,Public ownership,European Union - 25 countries (2004-2006),2564.0
Annual,Euro,Public ownership,European Union - 27 countries (2007-2013),2454.0
Annual,Euro,Public ownership,European Union - 28 countries (2013-2020),2441.0
Annual,Euro,Public ownership,Finland,2791.0
Annual,Euro,Public ownership,France,2630.0
Annual,Euro,Public ownership,Croatia,1095.0
Annual,Euro,Public ownership,Hungary,735.0
Annual,Euro,Public ownership,Ireland,4004.0
Annual,Euro,Public ownership,Iceland,2082.0
Annual,Euro,Public ownership,Italy,2689.0
Annual,Euro,Public ownership,Lithuania,597.0
Annual,Euro,Public ownership,Luxembourg,4563.0
Annual,Euro,Public ownership,Latvia,620.0
Annual,Euro,Public ownership,North Macedonia,533.0
Annual,Euro,Public ownership,Malta,1507.0
Annual,Euro,Public ownership,Netherlands,2834.0
Annual,Euro,Public ownership,Norway,4619.0
Annual,Euro,Public ownership,Poland,863.0
Annual,Euro,Public ownership,Portugal,1895.0
Annual,Euro,Public ownership,Romania,480.0
Annual,Euro,Public ownership,Sweden,2847.0
Annual,Euro,Public ownership,Slovenia,1728.0
Annual,Euro,Public ownership,Slovakia,736.0
Annual,Euro,Public ownership,Türkiye,1310.0
Annual,Euro,Public ownership,United Kingdom,3043.0
