Time frequency,Economical indicator for structural business statistics,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Media,Geopolitical entity (reporting)\Time,2004.0
Annual,Turnover or gross premiums written - million euro,Advertising,Advertising material distributed by post,Germany,1570.6
Annual,Turnover or gross premiums written - million euro,Advertising,Advertising material distributed by post,Greece,58.9
Annual,Turnover or gross premiums written - million euro,Advertising,Advertising material distributed by post,Spain,1827.1
Annual,Turnover or gross premiums written - million euro,Advertising,Advertising material distributed by post,Finland,41.2
Annual,Turnover or gross premiums written - million euro,Advertising,Advertising material distributed by post,Lithuania,8.6
Annual,Turnover or gross premiums written - million euro,Advertising,Advertising material distributed by post,Latvia,8.1
Annual,Turnover or gross premiums written - million euro,Advertising,Advertising material distributed by post,Norway,82.5
Annual,Turnover or gross premiums written - million euro,Advertising,Advertising material distributed by post,Romania,25.8
Annual,Turnover or gross premiums written - million euro,Advertising,Advertising material distributed by post,Sweden,30.8
Annual,Turnover or gross premiums written - million euro,Advertising,Advertising material distributed by post,Slovenia,19.0
Annual,Turnover or gross premiums written - million euro,Advertising,Advertising material distributed by post,Slovakia,3.3
Annual,Turnover or gross premiums written - million euro,Advertising,Advertising material distributed by post,United Kingdom,1039.2
Annual,Turnover or gross premiums written - million euro,Advertising,Internet,Germany,657.9
Annual,Turnover or gross premiums written - million euro,Advertising,Internet,Greece,31.3
Annual,Turnover or gross premiums written - million euro,Advertising,Internet,Spain,292.8
Annual,Turnover or gross premiums written - million euro,Advertising,Internet,Finland,99.3
Annual,Turnover or gross premiums written - million euro,Advertising,Internet,Lithuania,4.4
Annual,Turnover or gross premiums written - million euro,Advertising,Internet,Latvia,3.7
Annual,Turnover or gross premiums written - million euro,Advertising,Internet,Norway,86.6
Annual,Turnover or gross premiums written - million euro,Advertising,Internet,Romania,5.7
Annual,Turnover or gross premiums written - million euro,Advertising,Internet,Sweden,92.9
Annual,Turnover or gross premiums written - million euro,Advertising,Internet,Slovenia,7.1
Annual,Turnover or gross premiums written - million euro,Advertising,Internet,Slovakia,25.8
Annual,Turnover or gross premiums written - million euro,Advertising,Internet,United Kingdom,610.5
Annual,Turnover or gross premiums written - million euro,Advertising,"Newspapers, magazines and journals",Germany,3828.1
Annual,Turnover or gross premiums written - million euro,Advertising,"Newspapers, magazines and journals",Greece,380.0
Annual,Turnover or gross premiums written - million euro,Advertising,"Newspapers, magazines and journals",Spain,3425.2
Annual,Turnover or gross premiums written - million euro,Advertising,"Newspapers, magazines and journals",Finland,585.8
Annual,Turnover or gross premiums written - million euro,Advertising,"Newspapers, magazines and journals",Lithuania,40.3
Annual,Turnover or gross premiums written - million euro,Advertising,"Newspapers, magazines and journals",Latvia,31.0
