Time frequency,Unit of measure,Age class,International Statistical Classification of Diseases and Related Health Problems (ICD-10 2010),Sex,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Rate,Total,Other ischaemic heart diseases,Females,Austria,105.34,112.11,107.02,99.76,100.57,90.73,86.93,82.95,77.96,75.27,67.86
Annual,Rate,Total,Other ischaemic heart diseases,Females,Belgium,24.31,22.47,21.55,19.38,20.75,18.75,18.21,16.42,16.23,14.59,13.7
Annual,Rate,Total,Other ischaemic heart diseases,Females,Bulgaria,107.25,127.63,107.97,104.25,110.46,101.5,104.36,96.86,106.6,122.46,129.28
Annual,Rate,Total,Other ischaemic heart diseases,Females,Switzerland,56.05,58.23,56.19,50.72,48.54,43.29,43.07,39.04,37.26,34.28,31.68
Annual,Rate,Total,Other ischaemic heart diseases,Females,Cyprus,55.39,44.5,28.35,36.06,41.65,36.38,30.18,28.82,26.39,35.11,24.94
Annual,Rate,Total,Other ischaemic heart diseases,Females,Czechia,242.85,241.34,247.69,229.61,236.04,193.44,197.93,183.84,173.53,181.68,165.84
Annual,Rate,Total,Other ischaemic heart diseases,Females,Germany,72.22,70.28,70.23,63.89,66.85,60.16,62.59,60.96,56.02,55.67,53.95
Annual,Rate,Total,Other ischaemic heart diseases,Females,Denmark,40.97,38.15,37.28,33.98,33.81,31.3,30.27,25.86,26.79,25.16,26.18
Annual,Rate,Total,Other ischaemic heart diseases,Females,Estonia,258.01,254.21,220.76,204.88,183.42,167.96,153.27,145.37,104.85,87.38,91.52
Annual,Rate,Total,Other ischaemic heart diseases,Females,Greece,25.11,28.12,29.85,36.81,35.16,29.94,34.69,34.84,38.4,39.06,42.9
Annual,Rate,Total,Other ischaemic heart diseases,Females,Spain,26.5,25.56,24.18,22.7,24.21,21.77,21.35,20.16,17.74,17.35,16.41
Annual,Rate,Total,Other ischaemic heart diseases,Females,European Union - 27 countries (from 2020),71.71,70.73,67.27,63.91,65.43,59.41,60.64,57.4,54.76,56.71,59.22
Annual,Rate,Total,Other ischaemic heart diseases,Females,Finland,103.54,102.13,96.88,92.47,91.16,86.93,83.64,79.25,70.41,67.39,67.67
Annual,Rate,Total,Other ischaemic heart diseases,Females,France,18.28,18.48,17.6,16.9,16.38,15.46,14.9,14.55,13.74,12.93,12.59
Annual,Rate,Total,Other ischaemic heart diseases,Females,Croatia,220.78,200.69 d,199.99 d,200.29,212.64,178.41,192.74,166.68,126.26,118.36,114.24
Annual,Rate,Total,Other ischaemic heart diseases,Females,Hungary,293.42 d,293.5 d,280.49 d,280.45,288.45,259.87,270.66,258.5,251.7,253.07,244.34
Annual,Rate,Total,Other ischaemic heart diseases,Females,Ireland,68.85,60.74,60.78,57.18,58.18,56.84,49.05,48.18,45.07,45.39,46.11
Annual,Rate,Total,Other ischaemic heart diseases,Females,Iceland,86.09,58.94,71.17,59.07,54.96,49.33,60.02,49.71,47.3,45.19,44.99
Annual,Rate,Total,Other ischaemic heart diseases,Females,Italy,56.16,55.51,51.17,48.32,50.13,44.08,44.53,39.43,38.7,39.2,35.67
Annual,Rate,Total,Other ischaemic heart diseases,Females,Liechtenstein,79.13,54.78,20.73,41.49,45.3,28.41,34.62,61.55,15.05,32.59,80.93
Annual,Rate,Total,Other ischaemic heart diseases,Females,Lithuania,447.5,451.02,455.43,435.15,452.35,427.24,408.0,381.51,349.88,364.18,367.57
Annual,Rate,Total,Other ischaemic heart diseases,Females,Luxembourg,26.0,25.21,36.99,24.54,28.64,31.02,26.42,25.08,21.77,19.03,15.63
Annual,Rate,Total,Other ischaemic heart diseases,Females,Latvia,327.07,340.9,322.91,307.32,307.56,270.53,242.54,250.32,229.53,225.81,239.96
Annual,Rate,Total,Other ischaemic heart diseases,Females,Malta,95.58,128.63,77.75,75.53,90.41,73.87,81.48,54.53,55.5,65.61,49.92
Annual,Rate,Total,Other ischaemic heart diseases,Females,Netherlands,16.54,16.2,16.88,15.82,15.43,15.1,13.42,12.33,12.91,12.09,11.97
Annual,Rate,Total,Other ischaemic heart diseases,Females,Norway,28.28,30.59,26.87,25.59,27.08,22.17,19.88,21.11,18.67,21.13,25.63
Annual,Rate,Total,Other ischaemic heart diseases,Females,Poland,91.65,81.88,69.8,65.83,65.57,66.63,81.06,75.95,78.23,93.91,151.33
Annual,Rate,Total,Other ischaemic heart diseases,Females,Portugal,19.07,18.85,17.42,19.17,19.62,18.91,16.77,15.57,15.7,15.89,14.58
Annual,Rate,Total,Other ischaemic heart diseases,Females,Romania,200.54,205.39,187.59,185.16,184.7,171.38,170.11,167.4,159.36,174.92,184.78
Annual,Rate,Total,Other ischaemic heart diseases,Females,Serbia,82.01,80.28,68.34,74.57,72.44,67.52,72.19,72.39,64.69,60.52,61.8
Annual,Rate,Total,Other ischaemic heart diseases,Females,Sweden,58.83,56.66,52.85,52.05,48.08,46.12,42.98,42.01,37.19,38.69,36.18
Annual,Rate,Total,Other ischaemic heart diseases,Females,Slovenia,54.74,49.8,43.38,36.86,41.16,33.38,31.91,29.62,27.57,25.36,24.06
Annual,Rate,Total,Other ischaemic heart diseases,Females,Slovakia,344.42,334.95,332.17,297.53,304.7,270.44,276.33,251.11,253.5,291.23,307.9
