Time frequency,Type of perpetrator,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Intimate partner - male or female,Percentage,Austria,4.3 u
Annual,Intimate partner - male or female,Percentage,Belgium,6.4
Annual,Intimate partner - male or female,Percentage,Bulgaria,4.0
Annual,Intimate partner - male or female,Percentage,Cyprus,5.6
Annual,Intimate partner - male or female,Percentage,Czechia,4.2
Annual,Intimate partner - male or female,Percentage,Germany,3.2
Annual,Intimate partner - male or female,Percentage,Denmark,9.8
Annual,Intimate partner - male or female,Percentage,Estonia,4.7
Annual,Intimate partner - male or female,Percentage,Greece,7.0
Annual,Intimate partner - male or female,Percentage,Spain,5.5
Annual,Intimate partner - male or female,Percentage,European Union (aggregate changing according to the context),5.1 e
Annual,Intimate partner - male or female,Percentage,Finland,7.8
Annual,Intimate partner - male or female,Percentage,France,6.6
Annual,Intimate partner - male or female,Percentage,Croatia,4.9
Annual,Intimate partner - male or female,Percentage,Hungary,7.3
Annual,Intimate partner - male or female,Percentage,Ireland,5.6 u
Annual,Intimate partner - male or female,Percentage,Lithuania,2.9
Annual,Intimate partner - male or female,Percentage,Luxembourg,10.7
Annual,Intimate partner - male or female,Percentage,Latvia,2.2
Annual,Intimate partner - male or female,Percentage,Montenegro,3.7
Annual,Intimate partner - male or female,Percentage,Malta,4.3
Annual,Intimate partner - male or female,Percentage,Netherlands,3.3
Annual,Intimate partner - male or female,Percentage,Poland,4.5
Annual,Intimate partner - male or female,Percentage,Portugal,3.1
Annual,Intimate partner - male or female,Percentage,Romania,5.5
Annual,Intimate partner - male or female,Percentage,Serbia,3.3
Annual,Intimate partner - male or female,Percentage,Sweden,11.9
Annual,Intimate partner - male or female,Percentage,Slovenia,2.1 u
Annual,Intimate partner - male or female,Percentage,Slovakia,: u
Annual,Intimate partner - male or female,Percentage,Kosovo*,: u
Annual,Non-partner - male or female,Percentage,Austria,12.7 u
Annual,Non-partner - male or female,Percentage,Belgium,17.8
Annual,Non-partner - male or female,Percentage,Bulgaria,7.4
Annual,Non-partner - male or female,Percentage,Cyprus,20.2
Annual,Non-partner - male or female,Percentage,Czechia,8.1
Annual,Non-partner - male or female,Percentage,Germany,10.5
Annual,Non-partner - male or female,Percentage,Denmark,15.2
Annual,Non-partner - male or female,Percentage,Estonia,13.1
Annual,Non-partner - male or female,Percentage,Greece,20.7
Annual,Non-partner - male or female,Percentage,Spain,13.7
Annual,Non-partner - male or female,Percentage,European Union (aggregate changing according to the context),13.6 e
Annual,Non-partner - male or female,Percentage,Finland,21.1
Annual,Non-partner - male or female,Percentage,France,17.6
Annual,Non-partner - male or female,Percentage,Croatia,14.1
Annual,Non-partner - male or female,Percentage,Hungary,16.0
Annual,Non-partner - male or female,Percentage,Ireland,16.7
Annual,Non-partner - male or female,Percentage,Lithuania,5.6
Annual,Non-partner - male or female,Percentage,Luxembourg,18.4
Annual,Non-partner - male or female,Percentage,Latvia,8.2
Annual,Non-partner - male or female,Percentage,Montenegro,8.4
