Time frequency,Classification of individual consumption by purpose (COICOP),Unit of measure,Geopolitical entity (reporting)\Time,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024,Décembre 2024
Monthly,Services (overall index excluding goods),"Index, 2015=100",Albania,117.56 d,117.73 d,117.88 d,118.24 d,118.55 d,118.44 d,118.47 d,119.14 d,119.56 d,120.11 d,120.41 d,120.88 d
Monthly,Services (overall index excluding goods),"Index, 2015=100",Austria,134.39,135.86,136.2,136.33,136.98,137.72,138.49,138.85,137.98,138.38,138.87,141.09
Monthly,Services (overall index excluding goods),"Index, 2015=100",Belgium,125.58,126.45,126.74,127.12,127.8,128.24,130.11,130.13,128.68,129.33,128.81,130.1
Monthly,Services (overall index excluding goods),"Index, 2015=100",Bulgaria,134.97,135.61,136.6,135.72,136.07,138.13,143.17,143.21,138.61,139.63,139.99,141.69
Monthly,Services (overall index excluding goods),"Index, 2015=100",Switzerland,105.04,105.29,105.27,105.72,106.15,106.16,107.05,107.0,106.46,106.58,105.92,106.14
Monthly,Services (overall index excluding goods),"Index, 2015=100",Cyprus,112.57,112.89,113.98,114.74,116.65,117.7,120.77,122.91,121.24,120.31,119.05,118.03
Monthly,Services (overall index excluding goods),"Index, 2015=100",Czechia,152.3,153.9,155.0,155.2,155.7,156.4,159.5,160.3,158.3,158.9,158.9,159.0
Monthly,Services (overall index excluding goods),"Index, 2015=100",Germany,118.1,119.3,120.7,121.3,122.4,123.3,124.9,125.1,124.6,124.8,122.9,124.2
Monthly,Services (overall index excluding goods),"Index, 2015=100",Denmark,121.4,122.6,122.2,122.5,122.9,123.6,126.6,124.9,123.6,124.0,122.6,122.8
Monthly,Services (overall index excluding goods),"Index, 2015=100","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",118.41,119.42,120.21,121.23,122.02,122.77,124.26,124.7,123.39,123.4,122.3,123.23
Monthly,Services (overall index excluding goods),"Index, 2015=100",Euro area - 19 countries  (2015-2022),118.38,119.39,120.18,121.19,121.98,122.71,124.18,124.62,123.33,123.35,122.24,123.18
Monthly,Services (overall index excluding goods),"Index, 2015=100",Euro area – 20 countries (from 2023),118.43,119.45,120.23,121.26,122.04,122.79,124.28,124.72,123.42,123.43,122.32,123.26
