Time frequency,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,Less than 18 years,Percentage,Albania,:,:,12.2,12.8,11.2,11.9,11.3,:,:
Annual,Total,Less than 18 years,Percentage,Austria,7.4,6.6,7.8,6.2,7.7,6.5,6.9,4.7,5.3
Annual,Total,Less than 18 years,Percentage,Belgium,13.7,13.2,13.2,12.2,10.5,10.8,9.7,9.7,8.8
Annual,Total,Less than 18 years,Percentage,Bulgaria,14.1,14.9,13.8,10.6,11.3,10.7,10.6,10.6,8.3
Annual,Total,Less than 18 years,Percentage,Switzerland,4.8,4.7,6.0,5.3,5.9,4.4,4.2,3.6,3.7
Annual,Total,Less than 18 years,Percentage,Cyprus,9.1,8.8,7.5,8.6,5.4,3.9,4.8,2.5,3.2
Annual,Total,Less than 18 years,Percentage,Czechia,8.3,8.3,6.2,4.6,3.7,4.1,6.4,5.4,6.5
Annual,Total,Less than 18 years,Percentage,Germany,6.9,8.2,6.8,6.0,5.1,9.4 b,10.8,10.9,10.8
Annual,Total,Less than 18 years,Percentage,Denmark,7.3,6.5,6.6,7.2,5.0,5.8,5.7,4.6,6.6
Annual,Total,Less than 18 years,Percentage,Euro area - 19 countries  (2015-2022),8.6,9.0,8.0,7.2,6.8,8.3,9.3,:,:
Annual,Total,Less than 18 years,Percentage,Euro area – 20 countries (from 2023),8.7,9.0,8.1,7.2,6.8,8.3,9.3,8.4,8.1
Annual,Total,Less than 18 years,Percentage,Estonia,5.1,3.7,3.9,3.8,3.6,3.1,3.9,3.6,4.3
Annual,Total,Less than 18 years,Percentage,Greece,10.6,10.8,9.5,9.0,7.9,7.7,7.5,4.7,4.2
Annual,Total,Less than 18 years,Percentage,Spain,11.9,11.5,9.7,7.3,8.1,7.1,9.1,6.5,6.9
Annual,Total,Less than 18 years,Percentage,European Union - 27 countries (from 2020),8.4,8.6,7.6,7.0,6.4,7.6,8.3,7.6,7.5
Annual,Total,Less than 18 years,Percentage,Finland,7.2,8.2,8.6,8.6,6.8 b,7.6,6.8,8.5 b,5.8
