Time frequency,Economical indicator for structural business statistics,Client/Trader,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Geopolitical entity (reporting)\Time,1999.0,2000.0
Annual,Turnover or gross premiums written - million euro,Public sector,Hardware consultancy,Sweden,29.3,:
Annual,Turnover or gross premiums written - million euro,Public sector,Hardware consultancy,United Kingdom,:,: @C
Annual,Turnover or gross premiums written - million euro,Public sector,Software consultancy and supply,Denmark,:,745.4
Annual,Turnover or gross premiums written - million euro,Public sector,Software consultancy and supply,Spain,:,1231.2
Annual,Turnover or gross premiums written - million euro,Public sector,Software consultancy and supply,Finland,:,178.7
Annual,Turnover or gross premiums written - million euro,Public sector,Software consultancy and supply,France,1173.1,:
Annual,Turnover or gross premiums written - million euro,Public sector,Software consultancy and supply,Luxembourg,:,49.9
Annual,Turnover or gross premiums written - million euro,Public sector,Software consultancy and supply,Portugal,:,41.7
Annual,Turnover or gross premiums written - million euro,Public sector,Software consultancy and supply,Sweden,1017.8,:
Annual,Turnover or gross premiums written - million euro,Public sector,Software consultancy and supply,United Kingdom,:,3535.9
Annual,Turnover or gross premiums written - million euro,Public sector,Data processing,Denmark,:,55.3
Annual,Turnover or gross premiums written - million euro,Public sector,Data processing,Spain,:,74.0
Annual,Turnover or gross premiums written - million euro,Public sector,Data processing,Finland,:,205.6
Annual,Turnover or gross premiums written - million euro,Public sector,Data processing,France,177.9,:
Annual,Turnover or gross premiums written - million euro,Public sector,Data processing,Luxembourg,:,3.4
Annual,Turnover or gross premiums written - million euro,Public sector,Data processing,Portugal,:,6.4
Annual,Turnover or gross premiums written - million euro,Public sector,Data processing,Sweden,291.0,:
Annual,Turnover or gross premiums written - million euro,Public sector,Data processing,United Kingdom,:,: @C
Annual,Turnover or gross premiums written - million euro,Public sector,Database activities,Denmark,:,19.7
Annual,Turnover or gross premiums written - million euro,Public sector,Database activities,Finland,:,21.6
Annual,Turnover or gross premiums written - million euro,Public sector,Database activities,France,45.3,:
Annual,Turnover or gross premiums written - million euro,Public sector,Database activities,Portugal,:,0.7
Annual,Turnover or gross premiums written - million euro,Public sector,Database activities,Sweden,11.5,:
Annual,Turnover or gross premiums written - million euro,Public sector,Database activities,United Kingdom,:,: @C
Annual,Turnover or gross premiums written - million euro,Public sector,"Maintenance and repair of office, accounting and computing machinery",Denmark,:,5.2
Annual,Turnover or gross premiums written - million euro,Public sector,"Maintenance and repair of office, accounting and computing machinery",Spain,:,69.8
Annual,Turnover or gross premiums written - million euro,Public sector,"Maintenance and repair of office, accounting and computing machinery",Finland,:,: @C
Annual,Turnover or gross premiums written - million euro,Public sector,"Maintenance and repair of office, accounting and computing machinery",France,166.8,:
Annual,Turnover or gross premiums written - million euro,Public sector,"Maintenance and repair of office, accounting and computing machinery",Luxembourg,:,0.1
Annual,Turnover or gross premiums written - million euro,Public sector,"Maintenance and repair of office, accounting and computing machinery",Portugal,:,2.0
Annual,Turnover or gross premiums written - million euro,Public sector,"Maintenance and repair of office, accounting and computing machinery",Sweden,88.6,:
Annual,Turnover or gross premiums written - million euro,Public sector,"Maintenance and repair of office, accounting and computing machinery",United Kingdom,:,94.4
Annual,Turnover or gross premiums written - million euro,Public sector,Other computer related activities,Denmark,:,6.0
Annual,Turnover or gross premiums written - million euro,Public sector,Other computer related activities,Finland,:,: @C
