Time frequency,Sex,International Standard Classification of Education (ISCED 2011),Unit of measure,Age class,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 45 to 54 years,France,31.5,27.6 b,25.7 b,24.7,23.2,22.8,21.4,19.9,18.9,17.5 b,16.5,16.4
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 45 to 54 years,Croatia,21.0 b,20.3,20.4 b,20.1,20.7,18.5,17.4,16.7,16.3,14.9 b,14.0,13.0
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 45 to 54 years,Hungary,17.9,18.3,17.4 b,17.6,17.0,15.9,14.3 b,14.8,15.2,14.1 b,13.0,12.4
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 45 to 54 years,Ireland,29.8,26.9,24.2 b,23.5,22.9,20.8 b,19.5,19.0,15.9,14.1 b,13.6,12.3
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 45 to 54 years,Iceland,29.0,28.3,26.6 b,24.2,20.5,22.4,21.8,21.3,21.4 b,18.1 b,18.7,18.7
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 45 to 54 years,Italy,47.2,46.9,46.0 b,45.7,45.1,44.6,43.0 b,42.2,41.6,40.8 b,39.8,37.2
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 45 to 54 years,Lithuania,2.6,3.1,3.0 b,3.0,2.7,2.9,3.4,3.8,3.4,5.0 b,6.2,7.5
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 45 to 54 years,Luxembourg,24.3,21.2,20.7 b,29.6 b,26.9 u,29.4 u,26.2,24.7,26.5,24.8 b,23.1,21.0
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 45 to 54 years,Latvia,5.7,5.2,5.3 b,5.3,5.1,5.0,6.4,6.7,6.6,7.0 b,8.8,8.9
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 45 to 54 years,Montenegro,15.2,15.5,13.6 b,13.4,14.8,15.3,14.8,13.6,14.0,:,:,:
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 45 to 54 years,North Macedonia,35.6,34.8,36.4 b,36.9,35.9,35.2,36.4,34.5,33.2,:,:,:
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 45 to 54 years,Malta,70.5,66.1,63.9 b,62.5,58.5,52.7,50.1,49.5,44.6,46.0 b,42.0,38.2
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 45 to 54 years,Netherlands,28.6,26.5 b,25.9 b,25.4,24.1,22.6,22.8,21.8 b,19.9,21.2 b,19.7,20.1
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 45 to 54 years,Norway,21.3,20.5,20.0 b,18.8,18.0,17.9,16.9,15.1,14.7,15.1 b,15.5,15.1
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 45 to 54 years,Poland,9.7,9.5,9.2 b,9.2,8.3,7.6,7.8,7.8,6.9,6.5 b,6.6,6.0
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 45 to 54 years,Portugal,72.5,70.4,65.7 b,64.2,62.6,59.6,57.3,55.1,52.3,48.1 b,45.8,45.0
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 45 to 54 years,Romania,20.6,19.3,22.8 b,18.9,17.2,16.7,16.4,16.5,16.2,16.6 b,16.5,17.6
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 45 to 54 years,Serbia,22.8,21.7,20.6 b,20.2,20.5,20.5,19.7,19.7,18.7,18.8 b,17.4,17.7
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 45 to 54 years,Sweden,17.4,16.6,15.1 b,14.0,13.7,13.5,13.4 b,12.4,11.9,11.2 b,10.7,11.3
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 45 to 54 years,Slovenia,17.3,16.7,15.9 b,14.8,15.4,13.9,13.4,13.6,11.1,9.6 b,9.7,12.8 b
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 45 to 54 years,Slovakia,8.3,7.2,8.3 b,7.7,7.7,8.0,6.8,6.6,6.4,5.2 b,4.2,5.2
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 45 to 54 years,Türkiye,77.5,77.4,77.9 b,77.4,76.7,76.1,75.5,74.1,71.8,70.1 b,69.4,67.3
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 45 to 54 years,United Kingdom,25.2,24.7,23.8 b,23.5,23.8,22.9,22.6,21.9,:,:,:,:
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 55 to 64 years,Austria,26.5,26.5,24.8 b,23.3,21.4,20.6,20.5,19.6,19.1,18.0 b,18.3,18.8
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 55 to 64 years,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,31.5,30.5,29.3
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 55 to 64 years,Belgium,43.7,42.1,41.3 b,39.3,39.0,35.8 b,34.2,32.8,31.1,28.5 b,26.5,25.3
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 55 to 64 years,Bulgaria,25.2,23.6,24.3 b,21.8,20.3,19.3,19.6,18.6 b,17.4,17.4 b,16.3,15.2
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 55 to 64 years,Switzerland,18.8,17.7,16.5 b,16.6,16.3,16.3,15.8,14.6,14.0,16.0 b,17.6,17.6
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 55 to 64 years,Cyprus,43.6,40.9,41.6 b,39.6,35.9,34.3,31.9,31.1,28.5,25.8 b,25.2,22.0
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 55 to 64 years,Czechia,13.0,12.8,12.4 b,12.3,10.4,9.6,9.0,8.6,7.2,6.5 b,6.0,6.0
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 55 to 64 years,Germany,15.3,14.9,14.2 b,14.0,14.2,13.9,13.6,13.4,14.8 b,16.0 b,16.4,16.2
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 55 to 64 years,Denmark,29.8,30.1,28.9 b,28.2,27.1 b,25.7 b,25.5,24.5,24.5,23.8 b,23.2,22.0
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 55 to 64 years,Euro area – 20 countries (from 2023),40.4,38.7,37.4 b,36.2,35.4,34.3,33.4,32.5,31.6,31.3 b,31.1,30.1
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 55 to 64 years,Estonia,11.6,9.8,13.1 b,13.7,12.1,11.6,11.1,8.5,7.9,7.8 b,6.5,5.7
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 55 to 64 years,Greece,53.5,51.6,50.2 b,48.2,46.0,44.2,44.8,40.1,37.3,34.8 b,32.9,31.5
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 55 to 64 years,Spain,64.9,62.6,61.4 b,59.1,57.3,55.6,54.1,52.3,49.8,48.0 b,47.2,45.8
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 55 to 64 years,European Union - 27 countries (from 2020),36.4,34.8,33.8 b,32.6,31.7,30.6,29.8,29.0,28.1,27.9 b,27.6,26.7
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 55 to 64 years,Finland,26.0,24.5,22.8 b,19.8,18.3,17.1,15.7,14.6,13.1,14.8 b,14.3,13.7
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 55 to 64 years,France,41.0,38.5 b,36.5 b,35.3,34.8,33.3,32.2,30.5,28.3,27.1 b,25.4,24.5
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 55 to 64 years,Croatia,30.2 b,29.0,30.1 b,28.8,28.7,27.5,25.8,25.8,23.4,21.3 b,20.6,19.1
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 55 to 64 years,Hungary,25.2,23.9,22.8 b,22.3,21.9,20.5,19.3 b,19.4,18.4,16.2 b,14.7,14.1
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 55 to 64 years,Ireland,44.6,41.2,38.3 b,36.1,35.6,34.2 b,32.5,31.9,29.9,25.4 b,24.5,23.9
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 55 to 64 years,Iceland,38.6,35.4,31.5 b,32.0,29.1,29.9,29.8,29.6,29.0 b,22.4 b,21.9,22.0
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 55 to 64 years,Italy,57.6,55.8,53.9 b,52.8,51.6,50.2,49.8 b,49.7,49.3,49.4 b,50.6,47.7
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 55 to 64 years,Lithuania,8.9,7.1,6.3 b,5.5,4.3,3.6,3.3,3.5,2.5,2.4 b,2.5,2.5
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 55 to 64 years,Luxembourg,31.4,26.8,26.9 b,32.5 b,32.0 u,37.1 u,32.1,33.5,34.3,31.0 b,28.3,30.7
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 55 to 64 years,Latvia,12.6,11.7,10.3 b,8.6,8.0,7.4,6.5,5.9,4.8,4.9 b,4.9,5.5
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 55 to 64 years,Montenegro,27.8,23.5,23.8 b,22.5,21.8,20.7,19.5,19.1,18.7,:,:,:
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 55 to 64 years,North Macedonia,45.1,44.4,42.2 b,43.0,42.6,41.6,40.7,39.9,39.1,:,:,:
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 55 to 64 years,Malta,79.9,77.2,74.5 b,72.2,71.0,71.7,69.0,67.5,64.6,63.4 b,58.6,53.9
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 55 to 64 years,Netherlands,38.6,35.3 b,35.1 b,35.1,34.0,32.8,31.5,30.9 b,29.5,29.9 b,29.9,30.1
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 55 to 64 years,Norway,18.4,18.5,19.4 b,19.0,20.3,20.9,20.6,22.1,22.1,21.9 b,22.3,19.9
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 55 to 64 years,Poland,18.8,17.1,15.8 b,14.9,14.1,12.9,11.8,10.7,9.5,9.6 b,9.4,8.1
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 55 to 64 years,Portugal,80.6,79.1,77.2 b,75.6,74.0,73.4,71.8,69.6,66.5,66.9 b,65.7,64.8
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 55 to 64 years,Romania,37.5,36.1,38.7 b,34.8,30.6,27.5,26.5,25.8,23.0,21.9 b,20.2,20.1
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 55 to 64 years,Serbia,35.7,34.9,33.5 b,32.6,31.5,30.6,29.1,27.2,26.2,25.7 b,24.7,22.7
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 55 to 64 years,Sweden,27.8,26.5,25.6 b,24.5,22.9,21.4,19.2 b,18.3,18.0,16.3 b,15.2,14.4
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 55 to 64 years,Slovenia,25.6,25.6,25.4 b,23.1,21.4,21.3,20.8,18.6,16.0,14.9 b,15.1,18.0 b
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 55 to 64 years,Slovakia,14.3,14.5,15.5 b,14.3,13.3,11.6,11.6,11.5,9.4,8.4 b,8.7,6.8
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 55 to 64 years,Türkiye,83.5,83.3,83.0 b,81.6,81.1,80.4,79.8,78.4,77.2,77.0 b,76.5,76.3
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 55 to 64 years,United Kingdom,28.9,28.3,27.7 b,26.9,27.0,26.6,26.9,25.6,:,:,:,:
