Time frequency,Sex,International Standard Classification of Education (ISCED 2011),Unit of measure,Age class,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 34 years,Poland,5.6,5.8,5.8 b,6.1,5.8,5.5,5.6,5.8,6.0,6.8 b,6.2,5.3
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 34 years,Portugal,41.6,38.5,35.4 b,33.2,30.5,30.4,28.5,24.3,21.3,17.6 b,17.4,18.2
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 34 years,Romania,23.2,22.8,24.5 b,23.8,23.6,23.5,23.0,22.0,20.7,19.1 b,17.3,20.9
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 34 years,Serbia,13.8,14.7,12.6 b,10.7,11.0,11.3,10.4,10.6,10.5,9.9 b,9.7,9.1
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 34 years,Sweden,13.1,12.8,12.7 b,12.1,11.5,11.9,12.3 b,11.4,11.2,11.1 b,9.7,10.1
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 34 years,Slovenia,5.8,5.5,6.1 b,5.9,5.9,5.6,5.7,4.9,4.4,4.2 b,4.8,7.1 b
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 34 years,Slovakia,5.9,5.9,7.4 b,7.0,6.6,8.7,8.1,9.1,7.3,6.3 b,6.4,6.5
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 34 years,Türkiye,56.1,54.4,52.6 b,49.8,47.2,46.4,44.8,43.0,41.0,38.2 b,34.8,31.7
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 34 years,United Kingdom,15.9,16.1,15.0 b,14.7,15.2,14.6,14.5,13.9,:,:,:,:
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 64 years,Austria,17.1,17.0,16.1 b,15.4,15.5,15.0,14.7,14.4,14.3,14.1 b,14.1,14.0
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 64 years,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,19.9,19.1,18.7
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 64 years,Belgium,28.4,27.2,26.4 b,25.3,24.9,23.2 b,21.8,21.3,20.2,18.5 b,17.6,17.8
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 64 years,Bulgaria,19.0,18.2,18.9 b,18.1,17.7,17.2,17.4,17.4 b,16.6,16.3 b,15.6,14.8
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 64 years,Switzerland,14.3,13.6,12.8 b,12.7,12.6,12.2,11.6,11.0,10.7,12.7 b,14.0,13.7
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 64 years,Cyprus,22.6,21.5,22.4 b,22.1,20.5,18.9,17.8,17.7,17.0,15.5 b,14.8,13.8
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 64 years,Czechia,7.5,7.2,6.8 b,6.8,6.6,6.2,6.1,6.2,5.9,5.6 b,5.6,5.9
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 64 years,Germany,13.4,13.3,13.1 b,13.2,13.5,13.5,13.4,13.4,14.3 b,16.3 b,17.0,16.9
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 64 years,Denmark,22.4,22.1,21.1 b,20.3,19.7 b,19.0 b,18.9,18.4,18.5,17.9 b,18.2,17.8
Annual,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Percentage,From 25 to 64 years,Euro area – 20 countries (from 2023),29.5,28.3,27.3 b,26.6,26.2,25.7,24.9,24.2,23.7,23.7 b,23.4,22.8
