Time frequency,Type of mortality,Sex,International Statistical Classification of Diseases and Related Health Problems (ICD-10 2010),Unit of measure,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Preventable mortality,Total,Total,Rate,Austria,168.77,170.95,166.38,163.24,166.79,161.06,157.04,157.0,151.97,165.0,173.31
Annual,Preventable mortality,Total,Total,Rate,Belgium,172.38,170.9,167.71,161.47,160.75,154.88,149.74,146.72,142.96,177.16,164.05
Annual,Preventable mortality,Total,Total,Rate,Bulgaria,222.86,236.49,238.8,243.99,244.81,232.15,230.22,226.31,230.88,316.48,459.97
Annual,Preventable mortality,Total,Total,Rate,Switzerland,123.41,122.49,121.52,115.81,116.59,111.18,109.44,108.95,104.11,116.31,115.19
Annual,Preventable mortality,Total,Total,Rate,Cyprus,108.76,112.69,108.23,108.54,110.14,99.94,111.48,103.81,99.81,112.42,139.46
Annual,Preventable mortality,Total,Total,Rate,Czechia,225.72,219.43,219.72,204.71,206.6,195.07,196.95,195.14,188.33,218.38,285.92
Annual,Preventable mortality,Total,Total,Rate,Germany,163.45,160.8,162.24,155.92,159.85,157.64,155.55,155.65,149.66,157.23,171.28
Annual,Preventable mortality,Total,Total,Rate,Denmark,183.37,182.63,172.52,173.19,164.21,160.76,156.77,151.99,151.27,145.85,148.93
Annual,Preventable mortality,Total,Total,Rate,Estonia,301.67,303.58,281.71,280.01,270.72,262.38,247.27,253.0,234.11,251.77,304.67
Annual,Preventable mortality,Total,Total,Rate,Greece,148.68,151.0,149.78,142.35,145.15,141.38,141.4,138.56,138.07,152.9,195.91
Annual,Preventable mortality,Total,Total,Rate,Spain,128.2,125.74,123.32,120.14,119.41,117.8,115.86,113.39,110.01,143.35,133.97
Annual,Preventable mortality,Total,Total,Rate,European Union - 27 countries (from 2020),177.96,175.02,171.01,165.82,166.28,162.48,160.0,158.57,154.0,179.91,200.83
Annual,Preventable mortality,Total,Total,Rate,European Union - 28 countries (2013-2020),175.67,172.76,169.04,164.2,164.76,161.52,159.1,:,:,:,:
Annual,Preventable mortality,Total,Total,Rate,Finland,188.04,182.95,179.28,168.87,163.26,166.01,160.87,159.11,153.73,157.36,156.41
Annual,Preventable mortality,Total,Total,Rate,France,147.19,142.78,140.08,135.44,136.48,133.51,129.9,127.87,125.53,142.68,145.24
Annual,Preventable mortality,Total,Total,Rate,Croatia,260.04,254.28,242.72,238.32,244.34,231.72,231.88,238.62,232.63,264.38,312.0
Annual,Preventable mortality,Total,Total,Rate,Hungary,358.54,349.32,331.7,330.09,334.32,325.27,327.76,325.62,315.36,350.44,452.37
Annual,Preventable mortality,Total,Total,Rate,Ireland,157.72,152.91,150.14,147.23,136.92,138.12,129.41,132.06,127.0,141.77,148.42
Annual,Preventable mortality,Total,Total,Rate,Iceland,138.15,129.87,131.59,118.17,126.06,139.35,124.29,114.82,105.24,98.6,110.76
Annual,Preventable mortality,Total,Total,Rate,Italy,124.8,122.12,116.43,112.86,113.6,109.97,108.57,104.44,101.2,130.6,127.95
Annual,Preventable mortality,Total,Total,Rate,Liechtenstein,141.55,108.03,139.23,103.8,90.56,119.11,97.19,96.25,102.02,128.89,96.2
Annual,Preventable mortality,Total,Total,Rate,Lithuania,380.89,371.96,365.13,344.49,343.73,336.09,307.89,292.99,285.12,340.33,394.09
Annual,Preventable mortality,Total,Total,Rate,Luxembourg,150.0,151.51,147.56,146.27,134.92,140.33,130.16,131.46,116.25,133.69,132.63
Annual,Preventable mortality,Total,Total,Rate,Latvia,369.91,365.8,360.78,348.74,340.9,331.89,326.37,325.66,296.47,317.05,439.0
Annual,Preventable mortality,Total,Total,Rate,Malta,133.54,129.97,118.09,121.73,114.23,115.15,118.05,110.74,101.91,114.87,132.8
Annual,Preventable mortality,Total,Total,Rate,Netherlands,141.37,139.81,136.5,132.29,135.27,133.91,128.21,128.69,123.62,141.47,146.52
Annual,Preventable mortality,Total,Total,Rate,Norway,143.84,137.16,137.98,128.84,128.27,129.04,119.25,119.85,115.27,114.86,113.88
Annual,Preventable mortality,Total,Total,Rate,Poland,246.29,242.66,235.26,224.24,221.37,218.47,219.48,221.9,218.57,274.7,335.85
Annual,Preventable mortality,Total,Total,Rate,Portugal,149.25,143.21,141.15,143.95,141.74,140.47,138.28,138.36,135.59,145.7,155.89
Annual,Preventable mortality,Total,Total,Rate,Romania,338.76,332.47,318.13,318.65,314.03,310.22,306.91,306.99,296.17,358.14,440.08
Annual,Preventable mortality,Total,Total,Rate,Serbia,251.72,245.95,239.19,234.13,238.9,235.37,233.53,228.83,229.97,305.39,412.68
Annual,Preventable mortality,Total,Total,Rate,Sweden,127.65,125.76,126.59,123.92,122.39,121.27,118.07,117.68,110.02,123.33,117.83
Annual,Preventable mortality,Total,Total,Rate,Slovenia,208.67,203.29,199.64,188.25,192.61,183.98,187.3,175.47,173.38,198.56,211.88
Annual,Preventable mortality,Total,Total,Rate,Slovakia,280.04,276.16,261.08,252.81,258.27,243.87,238.75,241.32,231.15,262.43,379.27
Annual,Preventable mortality,Total,Total,Rate,Türkiye,181.74,173.94,199.09,193.31,186.47,187.17,178.26,170.74,154.28,191.19,226.15
Annual,Preventable mortality,Total,Total,Rate,United Kingdom,159.22,156.35,154.73,152.31,153.47,154.22,152.28,150.51,:,:,:
Annual,Total,Total,Total,Rate,Austria,250.05,250.84,245.13,240.9,245.81,238.86,233.26,232.25,225.13,235.44,244.51
Annual,Total,Total,Total,Rate,Belgium,254.69,252.95,249.36,236.33,234.68,226.38,220.71,216.61,208.13,239.84,225.69
Annual,Total,Total,Total,Rate,Bulgaria,417.95,442.59,431.63,444.78,442.26,426.5,422.07,414.57,419.87,529.44,685.06
Annual,Total,Total,Total,Rate,Switzerland,185.86,182.15,179.14,172.11,172.39,163.88,161.38,160.04,153.89,164.86,161.28
Annual,Total,Total,Total,Rate,Cyprus,187.9,196.93,182.29,182.0,189.74,171.15,185.41,182.73,176.9,183.26,217.87
Annual,Total,Total,Total,Rate,Czechia,373.46,364.9,362.66,336.57,341.89,323.26,324.18,319.3,308.64,341.24,411.77
Annual,Total,Total,Total,Rate,Germany,257.93,252.8,253.78,243.34,249.22,244.56,241.05,241.0,231.41,238.07,252.54
Annual,Total,Total,Total,Rate,Denmark,274.59,269.53,252.94,251.22,242.02,236.78,229.93,224.96,217.43,209.32,213.18
Annual,Total,Total,Total,Rate,Estonia,462.64,466.27,436.0,432.35,418.95,405.36,383.86,386.47,363.52,375.65,440.29
Annual,Total,Total,Total,Rate,Greece,242.84,247.36,240.91,236.86,241.8,236.31,235.6,228.61,231.12,245.27,290.44
