Time frequency,product,currency,unit,indic_en,geo\TIME_PERIOD,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,4100.0,EUR,GJ_GCV,MSIND,BA,12.2959,11.2755,11.2996,8.0784,9.5356,9.9004,10.1953,11.0284,9.8251,12.6785,16.0714,14.7649
Annual,4100.0,EUR,GJ_GCV,MSIND,BE,10.71,8.42,7.67,6.63,6.0939,5.9066,6.2508,5.3557,5.6431,13.1242,17.0498,12.4785
Annual,4100.0,EUR,GJ_GCV,MSIND,BG,9.8936,9.4948,8.6307,6.0845,5.7726,6.8282,8.2636,6.1499,6.5817,20.686,17.8703,10.7779
Annual,4100.0,EUR,GJ_GCV,MSIND,CZ,8.9999,8.4543,7.9308,6.9719,6.2828,6.7611,7.7802,6.6983,6.6159,18.5335,20.9859,17.3418
Annual,4100.0,EUR,GJ_GCV,MSIND,DE,12.16,11.35,9.86,8.3,7.69,7.6924,7.7126,6.8036,6.6048,12.3483,18.5622,15.4307
Annual,4100.0,EUR,GJ_GCV,MSIND,DK,9.5948,7.5697,7.8222,5.5683,6.6056,7.6181,6.746,4.6664,6.9471,26.9947,16.0181,11.5632
Annual,4100.0,EUR,GJ_GCV,MSIND,EE,9.94,9.42,9.48,5.98,6.62,7.1631,7.9881,6.5654,7.7661,27.1281,22.3691,13.2849
Annual,4100.0,EUR,GJ_GCV,MSIND,EL,13.27,12.11,9.93,6.64,6.73 p,7.2000 e,8.6763,6.3478,6.317,26.647,19.7933,10.4449
Annual,4100.0,EUR,GJ_GCV,MSIND,ES,10.65,10.23,9.56,7.66,7.429,7.9078,8.0566,7.4751,6.1621,19.0023,18.0834,11.7815
Annual,4100.0,EUR,GJ_GCV,MSIND,EU27_2020,10.6807,10.0147,9.1682,7.6545,7.1793,7.3928,7.8801,6.9139,6.6212,16.3842,20.6296,14.7161
Annual,4100.0,EUR,GJ_GCV,MSIND,FI,10.6,10.06,8.54,7.15,8.21,10.6206,12.254,9.0647,10.81,32.21,26.2522,17.9292
Annual,4100.0,EUR,GJ_GCV,MSIND,FR,11.03,10.36,9.58,7.92,7.6892,7.8003,8.4896,7.4488,7.5368,15.1082,20.9629,16.1326
Annual,4100.0,EUR,GJ_GCV,MSIND,GE,:,:,:,:,:,5.93,6.3814,5.8773,4.7814,6.6255,8.9229,8.1678
Annual,4100.0,EUR,GJ_GCV,MSIND,HR,12.6945,11.408,10.6853,8.9766,6.7104,6.9596,8.1402,7.489,7.6287,15.0569,17.8611,14.5556
Annual,4100.0,EUR,GJ_GCV,MSIND,HU,10.9417,10.6814,9.7137,8.3145,6.6198,6.2832,7.5669,6.8846,5.7752,15.5092,28.7324,16.7781
