Time frequency,Item of milk,Dairy and other animal products (except meat),Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Products obtained (1 000 t),Cheese,Albania,:,:,11.94,13.50 p,14.30 p,14.7,14.6,13.6,11.71,13.11,12.62,11.64
Annual,Products obtained (1 000 t),Cheese,Austria,159.94,157.76,172.44,184.87,194.98,201.75,202.47,205.48,206.4,215.59,222.67,227.69
Annual,Products obtained (1 000 t),Cheese,Belgium,78.34,79.43,84.79,103.05,110.24,118.97,116.79,114.86,113.86,116.72,119.68,133.45
Annual,Products obtained (1 000 t),Cheese,Bulgaria,68.51,67.62,77.4,76.8,79.56,89.4,91.9,99.95,103.39,101.46,97.6,98.3
Annual,Products obtained (1 000 t),Cheese,Switzerland,181.18,182.71,185.34,188.81,184.9,189.29,191.31,195.11,203.81,206.71,202.79 b,197.46 p
Annual,Products obtained (1 000 t),Cheese,Cyprus,19.43,19.85,19.99,23.18,26.6,27.79,27.93,32.06,35.17,38.79,37.47,40.84
Annual,Products obtained (1 000 t),Cheese,Czechia,111.55,117.79,116.64,123.01,141.72,145.06,130.79,134.34,151.27,157.09,175.03,164.46
Annual,Products obtained (1 000 t),Cheese,Germany,2161.15,2226.38,2276.16,2238.09,2233.96,2216.55,2245.8,2297.4,2355.12,2360.9,2334.21,2360.52
Annual,Products obtained (1 000 t),Cheese,Denmark,300.0,324.9,368.9,391.3,428.0,450.5,452.0,457.0,467.7,454.5,466.5,496.7
Annual,Products obtained (1 000 t),Cheese,Estonia,42.63,43.83,40.53,43.1,43.29,44.4,44.83,47.29,46.18,47.36,48.45,51.57
Annual,Products obtained (1 000 t),Cheese,Greece,195.0,187.0,190.0,188.3,203.8,218.8,219.3,207.43,228.19,237.82,242.86,251.72
Annual,Products obtained (1 000 t),Cheese,Spain,315.71 p,314.90 p,387.74 p,452.05,460.92 p,481.12 p,474.68 p,442.23,471.84,548.31,538.21,534.34 p
Annual,Products obtained (1 000 t),Cheese,European Union - 27 countries (from 2020),: @C,:,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Products obtained (1 000 t),Cheese,Finland,102.32,102.37,: @C,88.44,83.82,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Products obtained (1 000 t),Cheese,France,1928.23,1946.64,1946.31,1949.83,1918.97,1919.57,1907.76,1903.29,1862.1,1879.63,1913.64,1887.01 p
Annual,Products obtained (1 000 t),Cheese,Croatia,31.63,32.64,32.2,33.97,36.08,34.68,31.02,33.78,31.78,32.75,33.61,33.0
Annual,Products obtained (1 000 t),Cheese,Hungary,72.61,68.0,74.79,80.46,80.45,87.38,83.67,86.13,94.08,95.55,92.78,85.19
Annual,Products obtained (1 000 t),Cheese,Ireland,: @C,182.8,188.42,207.1,206.1,219.9,225.4,278.4,285.4,286.9,282.5,284.9
Annual,Products obtained (1 000 t),Cheese,Italy,1203.76,1157.74,1176.02,1206.67,1232.23,1261.13,1308.03,1327.3,1344.69,1374.23,1359.08,1344.11
Annual,Products obtained (1 000 t),Cheese,Lithuania,111.81,113.05,102.51,100.96,97.5,99.57,101.05,97.85,100.61,97.88,93.98,95.58
Annual,Products obtained (1 000 t),Cheese,Luxembourg,: @C,: @C,: @C,: @C,: @C,3.21,2.77,: @C,: @C,: @C,: @C,: @C
Annual,Products obtained (1 000 t),Cheese,Latvia,31.33,:,34.74,38.38,38.63,46.35 p,47.42,50.51,51.91,52.42,50.61,56.49
Annual,Products obtained (1 000 t),Cheese,Montenegro,0.8,1.0,:,0.8,1.2,1.2,1.3,1.78,:,:,:,:
Annual,Products obtained (1 000 t),Cheese,North Macedonia,:,:,:,:,:,:,13.07,:,:,:,:,:
Annual,Products obtained (1 000 t),Cheese,Malta,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Products obtained (1 000 t),Cheese,Netherlands,783.94,814.67,771.92,870.0,911.0,896.0,902.0,953.26,999.6,984.05,973.58,1019.24
Annual,Products obtained (1 000 t),Cheese,Norway,:,:,106.1,103.8,99.8,99.0,102.2,96.1,99.9,99.6,93.0,96.70 p
Annual,Products obtained (1 000 t),Cheese,Poland,721.49,732.28,743.74,772.67,805.99,840.63,855.59,867.95,893.78,919.71,925.74,976.16
Annual,Products obtained (1 000 t),Cheese,Portugal,71.88,69.95,73.37,73.34,75.03,78.62,80.14,84.48,80.74,83.64,86.85,82.01
Annual,Products obtained (1 000 t),Cheese,Romania,67.1,70.48,74.65,81.65,87.58,91.07,96.24,96.4,97.36,98.82,102.79,102.43
Annual,Products obtained (1 000 t),Cheese,Serbia,:,:,33.75,40.74,44.36,50.09,53.1,:,53.37,53.3,51.23,47.81
Annual,Products obtained (1 000 t),Cheese,Sweden,101.16,88.97,88.12,90.24,87.25,82.66,81.84,81.7,83.48,84.2,78.47,79.44
Annual,Products obtained (1 000 t),Cheese,Slovenia,17.61,15.98,16.64,15.16,15.22,16.59,16.23,15.8,15.56,15.48,15.83,15.46
Annual,Products obtained (1 000 t),Cheese,Slovakia,32.1,32.92,33.27,35.76,38.29,40.31,42.72,43.3,43.29,44.34,42.28,: @C
Annual,Products obtained (1 000 t),Cheese,Türkiye,563.5,598.92,631.1,665.8,657.7,687.2,753.2,696.8,756.6,754.8,713.61,795.47
Annual,Products obtained (1 000 t),Cheese,United Kingdom,357.22,348.56,372.53,396.99,441.53,456.84,465.09,461.53,:,:,:,:
