Time frequency,Unit of measure,Main expenditure type,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Percentage of total expenditure,Social protection benefits,Albania,:,:,:,:,:,:,:,98.29 p,98.31 p,98.35 p,98.25 p,98.2
Annual,Percentage of total expenditure,Social protection benefits,Austria,97.28,97.24,97.22,97.36,97.4,97.19,97.37,97.48,97.45,97.71,97.7,97.19
Annual,Percentage of total expenditure,Social protection benefits,Bosnia and Herzegovina,:,:,96.48,95.97,95.74,95.49,95.23,96.01,96.93,96.66,96.88,96.93
Annual,Percentage of total expenditure,Social protection benefits,Belgium,95.56,95.57,95.88,95.87,95.79,94.82,94.46,95.11,95.18,95.59,95.34 p,95.19
Annual,Percentage of total expenditure,Social protection benefits,Bulgaria,97.03,97.04,96.53,96.93,97.12,97.38,97.51,97.27,96.69,97.32,96.79,96.82
Annual,Percentage of total expenditure,Social protection benefits,Switzerland,95.31,95.34,94.27,93.93,93.83,93.93,93.95,93.87,93.94,94.26,93.68,92.66 p
Annual,Percentage of total expenditure,Social protection benefits,Cyprus,95.13,94.82,90.97,97.91,97.55,97.73,97.74,97.45,98.17,97.62,97.92,96.33
Annual,Percentage of total expenditure,Social protection benefits,Czechia,96.97,97.08,97.07,97.09,97.13,97.1,97.06,97.05,97.08,97.21,97.08,97.12
Annual,Percentage of total expenditure,Social protection benefits,Germany,95.57,95.63,95.59,95.64,95.75,95.84,95.8,95.76,95.86,95.91,95.97,95.86 p
Annual,Percentage of total expenditure,Social protection benefits,Denmark,97.03,96.36,95.75,95.97,95.83,95.7,95.78,95.64,95.69,95.91,95.89,95.74 p
Annual,Percentage of total expenditure,Social protection benefits,Euro area - 19 countries  (2015-2022),95.23,95.12,95.21,95.25,95.42,95.48,95.45 p,95.52 p,95.65 p,95.17 p,95.44 p,95.85 p
Annual,Percentage of total expenditure,Social protection benefits,Euro area – 20 countries (from 2023),95.24,95.12,95.21,95.25,95.43,95.49,95.46 p,95.53 p,95.66 p,95.18 p,95.45 p,95.86 p
