Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,"Index, 2015=100",Austria,:,:,:,:,:,114.1,112.8,109.6,107.0,105.0,102.9,102.1,101.7,102.0,100.2,99.2,96.4,95.0,90.5 e,92.1 e,91.6 e,90.8 e,96.1,97.4,99.0,100.0,100.8,100.2,90.7 be,87.5 e,81.5 e,79.3 e,81.3 e
Annual,"Index, 2015=100",Belgium,:,:,:,:,:,128.9 e,126.9 e,124.4 e,124.6 e,122.7 e,119.0 e,119.3 e,119.9 e,117.9 e,115.8 e,118.0 b,116.7,116.5,115.8,117.3,114.1,110.5,114.0 be,111.5 e,103.7 be,100.0,97.4 e,96.6 e,95.5 e,93.8 e,80.8 e,79.3 e,83.3 ep
Annual,"Index, 2015=100",Bulgaria,:,:,:,:,:,92.1 e,82.5 e,95.1 e,90.9 e,95.6 e,108.1 e,106.8 e,106.4 e,97.5 e,93.1 e,91.7 e,89.7 e,88.9 e,88.1 e,92.3 e,91.5 e,91.1 e,91.8 e,94.4 e,99.1 e,100.0,96.0 e,93.9 e,89.7 e,88.7 e,75.4 e,72.3 e,76.5 e
Annual,"Index, 2015=100",Switzerland,128.4,133.9,131.0,128.3,123.0,120.8,122.0,120.4,120.8,120.5,118.0,117.8,120.0,121.5,119.8 e,118.5 e,115.3,112.9,111.3,116.8,115.3,103.6,102.9,101.9 e,100.7 e,100.0,99.8 e,99.6 e,97.1 e,97.5 e,79.1 e,79.3 e,84.6 e
Annual,"Index, 2015=100",Cyprus,:,:,:,:,:,90.7 e,92.5 e,92.3 e,89.0 e,86.9 e,84.4 e,83.4 e,82.6 e,82.5 e,84.5 e,83.6 e,82.7 e,82.7 e,85.6 e,89.9 e,86.9 e,87.2 e,91.1 e,96.8 e,100.4 e,100.0,97.9 e,94.2 e,92.4 e,90.1 e,74.9 e,73.3 e,76.2 ep
Annual,"Index, 2015=100",Czechia,:,:,:,:,:,129.7,138.3,138.6,140.5,141.3 e,140.2 e,137.4,135.3 e,131.8 e,124.4 e,120.2 e,114.7 e,111.0 e,108.9 e,112.4 e,101.2 e,100.0,99.6,100.7 e,103.1 e,100.0,100.7 e,99.2 e,100.9,101.5,83.8 e,99.2,105.3
Annual,"Index, 2015=100",Germany,:,102.1 e,102.5 e,105.5,101.8,102.4,111.5 e,109.7 e,108.8 e,109.1 e,104.5 e,105.0 e,105.7 e,105.9 e,106.3 e,104.2 e,101.3 e,98.6 e,98.3 e,104.9 e,101.4 e,101.0 b,101.1,100.9,100.2,100.0,100.0,94.6 e,93.8 e,91.1 ep,80.0 p,78.1 p,83.0 p
Annual,"Index, 2015=100",Denmark,123.6 e,122.1 e,139.7 b,144.7,130.5,128.1,128.7,128.4,126.2,125.5,121.0,119.3,120.8,101.2 e,100.2 e,96.5 e,111.6,108.8,109.7,100.2 be,98.5 e,99.3 e,98.5 e,98.0 e,98.4 e,100.0,99.9 e,98.8 e,97.0 e,98.3 e,88.1 e,85.7 e,91.6 e
Annual,"Index, 2015=100",Estonia,:,:,:,:,:,:,:,:,101.9 e,103.2 e,105.2 e,100.6 e,95.5 e,94.0 e,90.5 e,110.8 b,89.5,82.2 e,88.8 e,101.9 e,95.1 e,90.6 e,91.9 e,93.9 e,95.9 e,100.0,104.2 e,99.8 e,97.8 e,100.0 e,79.2 e,78.3 e,87.6 e
Annual,"Index, 2015=100",Greece,:,:,:,:,:,63.3 e,64.8 e,65.0 e,65.3 e,67.8 e,69.7 e,70.8 e,71.3 e,70.0 e,69.1 e,72.2 e,71.5 e,72.5 e,75.7 e,79.1 e,82.6 be,90.6 e,96.3 e,98.0 e,98.4 e,100.0,101.6 e,101.7 e,101.3 e,100.9 e,92.0 e,90.7 ep,93.8 ep
Annual,"Index, 2015=100",Spain,:,:,:,:,:,117.8 e,71.1 b,70.8,116.9,118.9,117.3,115.1,120.4,119.6,112.5,110.7,106.3,105.6,105.4,110.5,106.3,106.6,105.9,105.8,99.4,100.0,100.6 be,94.4 e,94.8 e,93.6 e,77.3 e,88.1 ep,94.7 ep
Annual,"Index, 2015=100",European Union - 27 countries (from 2020),:,:,:,:,:,:,:,:,:,:,107.6 be,107.4 e,108.0 e,107.7 e,105.9 be,103.4 be,102.0 be,98.9 e,101.1 be,108.6 be,103.6 be,102.1 be,100.9 be,100.8 e,100.1 be,100.0,100.2 be,98.3 e,96.6 be,95.4 e,78.6 e,81.9 e,87.2 e
Annual,"Index, 2015=100",European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,:,:,:,109.9 be,109.6 e,110.3 e,109.4 e,107.5 be,105.0 be,103.2 be,100.2 e,102.1 be,109.2 be,104.3 be,102.9 be,101.7 be,101.1 e,100.3 be,100.0,100.1 be,98.7 e,97.2 be,92.9 e,:,:,:
Annual,"Index, 2015=100",Finland,121.6,126.9,130.5,129.5,124.4,120.5,117.1,113.0,109.2,107.0,102.5,101.7,101.9,101.8,99.6,98.3,95.3,92.5,91.6,100.7,98.2,96.6,97.9,98.6,99.2,100.0,98.5 b,95.7,94.9,94.0,89.2,85.3,83.5
Annual,"Index, 2015=100",France,110.0,110.9,111.8,114.0,114.8,110.1,110.6,109.8,109.0,108.4,105.0,106.5,106.4,106.0,103.3,100.8,98.4,97.1,96.6,109.4,108.7 e,107.1 e,106.6,99.6,99.8,100.0,100.2,99.0,96.7,94.6,79.2,85.8 p,96.2 p
Annual,"Index, 2015=100",Croatia,:,:,:,:,:,87.1 e,93.8 e,96.7 e,96.4 e,101.3 e,102.9 e,104.4 e,102.7 e,99.5 e,97.9 e,95.7 e,95.0 e,95.0 e,97.6 e,102.5 e,99.4 e,96.7 e,101.1 e,101.8 e,102.3 e,100.0,96.8 e,94.4 e,89.1 e,85.9 e,70.9 e,71.9 e,71.8 ep
Annual,"Index, 2015=100",Hungary,:,:,:,:,:,141.5 e,146.1 b,141.1,136.0,134.2,130.4,125.0 e,120.5 e,117.6 e,112.4 e,108.0 e,106.9 e,106.7 e,109.3 e,112.0 e,108.1 e,105.7,107.3 e,104.3 e,101.3 e,100.0,103.1 e,103.5 e,100.7 e,99.3 e,91.8 e,89.8 e,96.3 e
Annual,"Index, 2015=100",Ireland,:,:,:,:,:,175.1 e,169.1 e,159.5 e,152.4 e,142.1 e,126.3 e,126.4 e,123.0 e,125.6 e,124.8 e,122.5 e,120.6 e,119.4 e,127.5 e,134.5 e,129.5 e,126.2 e,123.8 e,125.5 e,114.4 e,100.0,104.0 e,98.8 e,93.0 e,90.6 e,69.9 e,64.6 e,65.1 e
Annual,"Index, 2015=100",Iceland,:,:,:,:,:,103.9 e,104.0 e,104.3,102.9,102.9,113.8,117.9,120.6,121.4,116.2 e,117.0 e,98.4 be,95.3 e,90.9 e,99.5 e,101.5 e,96.0 e,96.1 e,94.6 e,97.8 e,100.0,109.0 e,114.5 e,112.5 e,109.5 e,91.0 e,103.6 e,103.9 e
